Full_Story_Links,Number_comments
https://mbasic.facebook.com/story.php?story_fbid=pfbid034vuSsaBCdYMr1K4H33NxNpfCTgxie6vixas2vcK9WV8f4vSDaEFjcXK9f3prBNAml&id=100057352543255&eav=AfbLhbrxdpIvsKwqoOxCzCRwnKgBkcTB_L0Kqg6lpAEXO2RRCz6hKB5KQoF5JX9smYo&__xts__%5B0%5D=12.Abpl8gKXXkz6a7iO8eropNG4SPEBUzglUuCLoisHQeFUcRwxRQdJZsEw3wUdbBjame5IBWLuwNLQXzEZJzGEbXFUJTONsHej6QuZZC_bgp77nTbaeGD_lszA4bjqNsz-ArXGVBHk01qqQFKIB3M2ptjSfh7YE0R7sWViiqpbdZ4B0rklGiGPFEmupoPzOeLjofCdBi_cGgzGhmOLesZXSpehZvB9JfN9qAO588SW1fMgdjcm2kc045mVaAjzzOywxIG8iWfERYJEYGftb70HZ3a44nhCo4F4v-WwQAiaexg3BvIYu-Et2q5MTUiwj5rKITcpP6dVvMv2sFib1mKLIgz8BlCpGLK_3AGn2pvVX9PUmVfh2RaztinIGnWl-1KuO_Gw9PdobYj96TOyxQcFkpkCeqHDe84ggCi1xXDPbAendxgszNXnPMw8i2j_Qp4l7ewXINUSxhssNk-iJRU4f_Zf-CP-_sPQ6aR1Dlcuesre9L9WP1MFQRNHZx5nA5chpF94biGDiRIO-kUWlZLInc1ZHFD8g7jmAoYvf1hkD3rXtxDZREQMQbWUREBNupht5xUwdk8eeKtPLBCc-KhVijMJljia5F3xcI4mAfe3YH_RRhuNRxQPEGtnSdl8li23arc&__tn__=%2AW&paipv=0#footer_action_list,0
https://mbasic.facebook.com/story.php?story_fbid=pfbid025q7GkuUjfQ6pYa5dTSbx9RBAwodcqaqK4YsvETNkiwn3DHA8zTLYiWAvWVTHcd7rl&id=100004094004077&eav=AfZyrLJFqqibcP3fwsfH0-JnwM30sh4D2xQ_d6JqZb7oLLtbImO5GmSLHrcJ05Y61VE&__xts__%5B0%5D=12.AbrBuJRbip5PJleOG0ZUTE9CY3dj0obu8D6VLHcbd7fct9pk0j9O-sfmSylyxQWRE87wx1I1Keiq3cXl6OYErhifg_0iOt-6baPOI3gFEq7V_qc7ZQ7JyywQwVajgEHD90c-6n_ln-eRwxF3cdLqKafOrmejQCUhdWAMZ1jQZ6i_ep_bnW3OWn0irpDO8i24pfIHq-MXS7IGCwr_b6Us8tOvsDn8RHhG-yAHUxN7IwFkhb6f8ME0Ce6IYEnwJM7Wt9en9aH7LEB8-bxjlgEyO-5fWMMzaL1H4XWeiqSA7ohwoJbpb1vLdFZwOBjv2le046Q_WP9DCu9sF-NCQX9slCe90PHnpOLy1iIspHbyVJ2gvbqtI5vz8XU2id7aY6FM7gKIzkMze_RhoUPmaM1zEw6G8m5wZpIHkfKiUKeaZ0ubELwwsOM_pmlKQ3FlalGfqNCAF0L1WExq0g0dMsUpBKtIqlZLZmrJD6C9PGnaARKGa0CH2GTWJWAaNLAXLXW3qsvwNJngY8NYgpKx47YM_UA69q0dgRzRsQiLWG3Rtyv_Hx4hfoN3DHxmwIZG4hG9ML57YrV_fu2WjX_3a85gHSd2_I8E7K-W6CEoa1YGl6DvoOm5fBS2HAKwJjkU7DwOvhOF8QOHeW8JusnU5CkFz6IWMF_7i_L2mvfCWdzdzeNRnJslMX7czMLwb9q6-GcN9dQ&__tn__=%2AW&paipv=0#footer_action_list,1
https://mbasic.facebook.com/story.php?story_fbid=pfbid02hbv1J1U9KFPfG4jWVT7dMTQPbySVxmGsWKA39qNZvfuGSL6GJNnnz8t3gwKFQQVl&id=100056157184062&eav=Afa5T4P2Hk4LYiCr8d-8C37B_us8w9h-C0luGx0mnKat4HE7cBjtYSE-FhsAWBlcN4Y&__xts__%5B0%5D=12.AbqN6RWo-YkH0sQjxxHJ6-PQOAhZQZ7bTJEsF91C76bDkaI9Cxk6VqVvNaSy-lCpyhoob_8i7U8MAZ4ze19FMCqOiWHr_08Qu8VOOHdONSiih1oQ9SL5M61w3oxUL67PuDahEpNIMKeSHFP0X4vMkl_nUefxv6woUK9FdQ9azRbalQoNR-ItF3s6E0YhAMftdRZHhgltcxkTS-s_HKo_ofNgZ3jXKj0kLdMoj7cEiTv-chOdVJr0nGLabkcCrTrJIejYJznCp4fylK5fi9orEIBIXmahQXfwlYEf2Ddv8aZ1Up1gd_e5FDhKRCbq9j-3R9pPIuSxhzXdtthMs-na4zfp4y5TnGa2bIDy87h-62vhya17l0zfjTb6hxGn9haox7Jg1wmsrEQwnQg7KRKoQm4bbXvSP2JlZ9LmhLmeNTCbODal2VEqv2V21XmOVkof80CjYEqtguTfHoDlbx1NvqmC3CE6--xj4BjJt6RcJcVO0rJ6oHO0rLeVyot_tTP4xsDd66boIdgVIoHHRd-eOBoge0LA-vSNOZlE2cF0B7t_2_y__uOS_xVn1BW9AJ32Pxavej0g5lXGtWvdZ1-xwxi2sdL6tyNPtUNZca0yjOJQWgEI2Sltsa_nXeivHEyD8zo&__tn__=%2AW&paipv=0#footer_action_list,0
https://mbasic.facebook.com/story.php?story_fbid=pfbid0TpgdPHgYTAqwPzB11bGoSQyaHnuKPL9z5ninCwTQdu6TtBhQy8DhErw5xZqxgtZAl&id=100064643681682&eav=AfYs9PRgP0DeBoJJ0-8a85_Z-G72D9JUZGNWFMUdSyzv-O5jV7cuGCJou7yVcE248eM&__xts__%5B0%5D=12.Abof2rolE9hDYwWiAsrKrkeYBv-JMRhqkCew9WzXZkdYE3ehJh60WEPTfWhnQgWQIJSR-P7VoZsH2IXB4Obc1sDd_NYcgxEoezG-xiHrFpCnqsTAviPdQZ9Sgdm6lm2rs_83bFExWnLCxvjYZGtgK4AJqifWz1QpHqatJwgefhzAzNILDovX7hLAZGzRVgmHiROCIhpqeq4tMeKCCqODY_8mAFzc4dvlZt0IiKWZVBHusog3ugeUBuDnqDaj3EqzeN85FGMCkYtSe_qwcOsRBmo0ADl9ojv1Qx9UVtu_lUOz9rwLnp2CkoK0FO8tdeILlMwoNDPBHooQdKMpFH7NNu9e_oL2ii-BrQTaKq1uQcj2ce1Q3_HSSglVpLSp5cNOR4Na8icL77rw7VSLrqgfhNm6KbDhDlbOIvQ82iNd8VElPBHt3uYcho0nMXRUJ9lKmlDnGJHT2iryxurmKDh7_cwyDqqA5-F8eNkaL1XGHsLv6dO6NuF6FdyM6URSK_1xAbXOg6S3kzYrG3gIjYSRHSXrW7vEvvVhxD3gbK8oGuAl9ZkXIlYN-Q_74sDtVhioOy0xBkmQwDizA-Xf7aesE1KFnyxtWMNu_HCodWDBx0bvmK1i3K7lpnVYe4RNsPQwb94&__tn__=%2AW&paipv=0#footer_action_list,21
https://mbasic.facebook.com/story.php?story_fbid=pfbid0TsxesNKnJW5QSxUbb884wBKRzSkVZbRLW3gD9naYfCivnZP4xw8yhjp9r1RYoLjbl&id=100064521587252&eav=AfZApeGWlD3b056A-ZDkP1DFqSotDZiMV93F_L3M_Rl_hDTq0yVZ3LSPhjuN9IrjUHA&__xts__%5B0%5D=12.Abruy9iXX2NdBCCUGdZPgjSlkt1Dj-2NY0bb7C_MnrhZYt-SazqbbZPj_8d3g5Os1lw1K-kQBE4Lc-fJzF3I3gZQANW7SqkudB47iITfg5tBRmqta_RPPCXK-WakUhMvUw-lSglhyTB8wyv4Yu7d9HanOkOA3un_N7PtX68Ag1AQvr262dkfHWLzu_Ad0NQmxyEprBg334409HTAV-2XpG8scHar_2nTqyLPOxaj1bhDl7AOscbvxy05NcLTPJQne9chwVB3py1CnSNXfoZLpazSOcQrWRbE1-9vEMuFTuKa-DdLWY6YwjdcSh55NigeLU3XKYosffWY-trxkKCZA8ISf8JzWd7cmXmtvr9CTpqSSknAsB4wzqaAnEhxtzm-Wo6kgZ7utb0wJ7gJ-Pd8re66wg-RpuTvSG0q8NoZSUG8fW8lV566rBt6WktRv8af82YwCd4EybDuSu-31oeqbGUsXaLvzz1CCd7qloIWIj-QvcAUOYAJ3IwNBZVXaGK-NnkG2HSiPWmJxxx31IAXQbotrDbsf0oQ1RdsFsFULs7I7rM9z4L_TKS0uFgKergRddFtyD4wwXW-SVIMiDYEPbrIqjsl00Bd2fzfqGIzYfAnrZr86lWpxzJWnCPVK90b_CA&__tn__=%2AW&paipv=0#footer_action_list,56
https://mbasic.facebook.com/story.php?story_fbid=pfbid0apWTtQH4Gg745so6FxdANLa4W4xYcinctMzzutukai1c2PAfRVHXdNccjYRnhzS8l&id=100068607099362&eav=Afaon9b38CQk91dm-rjyIfy47lpBzzBStLvNjTUzSvuW1si_Ih2_oRnszn2q0TYRPLs&__xts__%5B0%5D=12.AboWBGWm9_EvjtHRVS95jEzmD587c4xUhY24_3MSOgoMjeqTzljkv8uG2X0lCeU1FdsA_6e4ttfT7P0ZZix_NRIVjb9fXSlXM553_1FjwGkZvTngk24yGUQA8l9H_T_m_m2Zh0TqHqL8uwtSNZBGqnM2oW3_0fg6yw_NsmkvO7ImZD9kGtjIwjhDw1JVqThmU7t1yQ4xpsGBkrU0WmVHhkW1LVrOJKhwu1QVb3Z8kCq0kg9yx_6AvVRoIkL0155EjhMPD85TsNnEHa1onbdlrwQ4u7Fbsoe8n5hqGqMbmPB-I4rdUNeO_KeTMxBahYjifaJHBtM0EP4eD3q3GvstZlRgQWFy4edAaAE-ulx-mhohrNB8jREvFR3VHYKSMCC7kUxlJMNmw5Sh_7SdWn-fQ6yXnnVM8PFU9Be6OSZs-hNmEAyfBtIysloKihSTbD-KC9t0womqW0hNbxZLC6tPeW5_L2xEJXtyDfWvooZnaJsYvqJMClmWi6ieSsJ1Cwix3MqMrg4qTW836sHcJ81UnI4Aynl67jtMLFe8CNQp2EXBN8NQvaPY_2JbsS5dutNOkqpcZikkOzNm9PGE0CIhT52O1VuxVvhuk0mhfIpB40POehQbJCXfPUIb2XqQleLf2Ow&__tn__=%2AW&paipv=0#footer_action_list,0
https://mbasic.facebook.com/story.php?story_fbid=pfbid026GE8oX4uBvZG1Puo3vN7b1zKTBpNWRbNXF9vVpxLZ3MkQi4DUN5zhzW2BedcKARZl&id=100090748742588&eav=AfZg9eIXnTm9t7d5D0k9w3Xk1neQoUYDAikqvMXaYxzpbUiLiqpl_5QekrofxgXZOJI&__xts__%5B0%5D=12.AbotHAlay6fH8SGL0A6wX5jOXFdxgUpnD2gQJD6eQ-OND5ASJt9QiLiOuahd3X5SpD9ZRk9N20dq6_8aAlJUHNX7XBykiw0juqmV8O5QV8ssngJ9QucdkZXeeGEVYxNCQYrHQu04pjRSViCGIBygjgoQ_nK92D29Mw_kuoQpxBPwSNjYK_DlPxeTaEuxdZ0yQbmDlMB_2ttmIrfGn8nC-WSScuX6dh-6t6Q9iOcpOPWMVWyZyT0ihMnuehAuQiJeHHxB9KDAy1tYJtZgnAp2nJc5D3dY2GeKXcxQkzThE3UdQkMZxUzfBMci_bEay93fB0ffZY9MMbDdI0oLRxhbg1QpgF9aV6TykhB2SsncfRSXGJNfBNZcRPgt3DeoxmqnGqG4CeQSeAmxzYqq44zawJk84Rk8Et5Ht6pMQis_9q6kGGCdkhu6nyF9bC3EAD8KbAacOmHQPVZhz5Y8e-CmGxUgsN4EQv2Ulht3JldAizi-FvjiaGqgDY9d7Z5ei29BHjwqLhvkONviz4Ns5gkrmE0MSqceDJK2GLywRsudJ86pox0Wtae3S297I4VMjt68szkZI-M_1Qm33LqZu8KMon_DZ0U2FgKJRiQ_oswCiaovF4L10qEDNyNMM2KBJRxlVd4&__tn__=%2AW&paipv=0#footer_action_list,5
https://mbasic.facebook.com/story.php?story_fbid=pfbid02G7cbdsqkR9aZgJUAfLPfx5Tu9uWzix4u8mqR9uEkkhxoA3uqWrzn32Xt5PxqfHoRl&id=100021280699768&eav=Afbi9ngln_AQzr8pdPfQ-E0h14NlZt2tJuTNZXUaLAbEOc-EE8rmu-yTKh5BrGxxxjs&__xts__%5B0%5D=12.Abp6Jz0wBslDzSEu5wtUsDw5NLxIyeAnOre5hszG2d614FzShz-pBaCWj28jT-xgTnQAc1L61orU43wbf5_giFQDK7KIQIpdJ8mO28X6E2Cv5ZwdA2aBggKnTMra3zJov172bY_vjWU4vrvjNFuxmUmjmj4K5XbG_9UWBH2N6AnDo-tChUiiP8osP6RaeTAE7aA5MKqiK5mGL1rV-vBS64Qjsrbb5HNKFvqkYN0ktZHWLmRVdwjk8iCMaGpebjEh4CYZTuuqEvpnxAGv5PvmDdCMRMPJVmP6Wn3qOPeG6vbjsXvXVZqDmMT5Xf5BwroTA9rGDjMYed7dCk4PuZrVhZtvcM3N6uaNy5HybfUGkHc9hdXdNEssTHv1_Yu9FHdU0O_bx0auwAWm9QOFjMTBQ6vdzAHyeJ8M36Idra6Ij-4aUKPNQ7_Qa1AJJaHSDtMqJm3OhogdC0C5Yplo22G4UBAcD82daxG-MGDhITLbsQ1N7yKGoGTpQSPhyI6DzrNi7mbjfgsJVqqk8-0nVEftc6hN3bBp8CwQohvyA-W6OFX17h8b4EhvVJg5djS6b5duvmDYNaSvruB1htcgDqVpUTEhaO9Tw_1KInSBPyouPWDPSb5r2DbVAISiAgHaLcv2NYM&__tn__=%2AW&paipv=0#footer_action_list,0
https://mbasic.facebook.com/groups/2257293344580735/permalink/3427301264246598/?__xts__%5B0%5D=12.AbrR3QHlAFSm5-8fH3oj8eFlFH1TranVIVLRe0Oh2NZczMiebB-iPTv04mVyfpWa5qSVCK2rAJutnQeIoBNzU6S72jGQaqRz6jYuXx2Xpwpxon8st7Lr6Jz4LMRUSJ_m5Idx59c86RURF5zUtJ18O3vHF5jw3uyY_xTsdHjE2frxSUCq75ydvbx-tCTnanwh2hBhO42-UhtivKby9GeN4mIUI91Ngzr66nj-WddkS1Na5-hEO89reZf8v_0MNJUg5PmIH5lA2T5HlCH_Lzz6j4FcXGavESgoISZzrV3yw1iXB6bUwPc9aA9GGMCCt8G1Z6KKBnsZaI_QK0Bc85m8VYJcUMf34K4oc_Q1NBI4dFn0G-ltDvmNH7NXba-642hDuHcjqC87fuW_G6I8bUl1EyKpoiDyqWk5WTA6GkuYNxeXoRPNGPma4DCR0zzdVbIARFxsm3VfGvHcf480ee6IeJO1zBZYDBAD-4DZeq_xLc27CKg3cl7K3gRsAYuHgxjP4P8DLlAmlDnd1ak8ewfimx46JMgqZwTBMVWw22RgdEcD_Qaac4CpuU4ao9HEcZIav3SgFtawnrVKSk4foj1hz-_-Kic2TtNsrvymRk0Gw5LTSvnc98zk0Z-nezbGANbMMR8&__tn__=%2AW&paipv=0&eav=AfZITt_zPjw7CzWKalpho4EijSzXb38bODIiuC8rEE2kuapM2w9tmTRApnImVpmSwFQ#footer_action_list,0
https://mbasic.facebook.com/story.php?story_fbid=pfbid02feQvYcmGFawNSW1HBBwSfhxS1G9hLNiSLDxjw7DQimaRZub9rKzu6aaN4ENFueHEl&id=100052477868658&eav=Afa5uRRqXNuU_lvD46SF8mXgtkDCc2ZJ7AOSVt1U5bqFGQKBuZC1FmhGWQ4oJGb9CvQ&__xts__%5B0%5D=12.AbrJ1E5qUBNg_4V5v0wrxvh7QlrwSAvNtPy9vaZsS38zFFmYCf0OJvagMCrRTapALPtHPC19GDskpL88lOUY0JvYHbt96-zbkVq5t-DhWTChx3H9PdPRzl6XXMEWX9IWPfmE0Ovw3vIQB2IjxRNVdUF1_T3m6fk1DkkVR9HBvJCKk8AX9-_3nRYMkn2bHf25YJLNS9jyXgvvxCgmBV6bd0BWx45zGo7nLxfY73DMuTUAL2onkz0mpA9I-J-lhnLPgvktH5VbtUVTkrDApkaT7un_ucXC2cacXC_5t4bCjUSNEGZ_9-Giukb9M3HHxDQArw5daHhRPI7lPeHB4aUBPrkw01hMrZz6ZLRy43cY2KN9zS77GIS8rxw-radYRosfZ8vfhE5o3YOQGuQAOWNSnyuXZ2XwY3mIU_GIZSdcqdUdpneHzHOwbNl0pTjow5AOu-eLx46XzSY1kzDiyW3ecfxH0XLS0mC28vxsCiBatXo2BOSjTI-ybbQg2gsWzU3FsKuauA0V6UzfP5oFdZsbCQMIoXcjq3219ohpLGlWOKQZE9Hh4jNUWTkkZac0HlENmPdvTFy797ax29vS6cWvD8mr47mLuXIXVS_t3CambjPEsf7r7yaz3plfFMdjmYfthl0&__tn__=%2AW&paipv=0#footer_action_list,0
