Full_Story_Links,Number_comments
https://mbasic.facebook.com/groups/885855725840000/permalink/958430651915840/?__xts__%5B0%5D=12.AbqqEZHGQUpmbX47VzxE4IEv-QAYBUvReE3Eb97tIN5t3O5XPN60Om7eTjGTCHcjBcjJb-FkuV8zmeldSlSNTqn3bkHfdUx10Y-0iALcOTu3bTFdQkfNwNRnKnptsF0XqUCpTBvYkaCwxQq-R6C4WW952ITHr1Nge259DCDmSOcGtcNlhlEfri22PUeqvTwf0KKYYNZLkiG-YNoJhhphs37t8D2LdCyQ7-ts1qksnIcsX5qff8URRZgsss3B3-lj7tYf56Ec7bejRIrKmBD2_jtM3Fhj6-Qi0qXf6N66-H84P6sMed2ieHw0HIfAiD68FhkAzlN5FkdQCwYXc89-97Y85q8v88MgHPG6RWnxq1JJVVb3_x2L1TOnN14I5f0Go1rR1VEMxkR7e0ZHZ_D3XJ3BkiZRfMB5fBFMBrL8ZwgyQEd_kvZUooAeBNMeElzRxs11qrN5n1r1n1fxJruogL8fUJs1UAzPSuc0gsbTokopeH37xbu5XB73pANxunVZSbcV5o4tWwTucm1AFjto6Sxh8ipCoqcG2RNnmYPdgMZgnXOnI6OBYAa70K_abp5xWFkN0Uh3CxgXBjB-2o8Sd0Z_9ZjGdvCCk65z7XjfRag8vuUcLe0Wh4RAK6SVwQ65H1c&__tn__=%2AW&paipv=0&eav=AfYUaKkz7sNfsCWIRm8l-nSdlimtQY5K-9eky5DqZ4Z99ron6G3c1JPI8FhHtMMOMjk#footer_action_list,1
https://mbasic.facebook.com/story.php?story_fbid=pfbid037j5jmmbd6dgrrSwr4AVLBtf88xr59QRdstBVGqyw5c7iwV98tmjzVRoWRjQ6EShcl&id=100064404683207&eav=AfY8nmEC0mqcABF7NgQdkPD3Iz8EBsZV6JHXXfoE4SKotptOe6c0Mxr36-69-XNJWUI&__xts__%5B0%5D=12.Abr57LaIIng_nDb-3Jf2faoH2SseQuoPSe5Ue8YP84VzCg3Da7WMD17Mk_-RDqvVR5uFmc5D1jWkBXeRjvbG9Lbbp7XSU79eZmx4oCvxO_P7caOThUTIIxpxp6XrNn32uG2Xi9B5pfUSvXpXteatrBfCQnV1KuDWkXslOjOzFjCghjU40qRPIDMMMUaGU3xjCMzKjAK0lVDROTZnIMzy0n8JIfYD5E6JCapllFSdtsKvuePjAshDM3p_h-6-4raIvkkOX8XXCMmRj2Gte69uTh8bNdAJDjVX2UpDwU1qYWB3Wsq_UKOiSvl-nuDVEfGVblrCykknnoCgn3EaPWlCe68ckX6YEdpoA97AN19YkAz0a713mOAWG3o-hYMYGXf-WLjvWdYQfKrforsigFMu_7OZUzyEIk5wIG1kATZk8AjZWOlNjvQhwiy4eNsf36SUUlGlkYi2XOC5KH1DduGoTulBcItkyjQb0LZnCJVm8SVEdT6BoR18rsSfD-oTdzepsz3lS9XPX2ILGPXLyOTAMz1XpFuZmXMpBM0clOROnS9QKSg9KVhkY-fdJVjMnqlmugX6ZC2R2TxGoPfiXFv2qTipBFqkzQryLSKUXXMIh7cgSuKJ_eYZO_fEzSWxlXa-Fg7fHniNyBN3Mtzyl8s63-VBMLOyY5oJEA7GucgF4Z0yEoZ8mC91vbmFjs-WIqjl5-w&__tn__=%2AW&paipv=0#footer_action_list,9
https://mbasic.facebook.com/story.php?story_fbid=pfbid0HTowCD8YZVHA5ZtUKGdH7rFMtiy8Wf67HarTqYcTAh3Q7bPqy1EaKLTmfEjW6kSZl&id=100064605285960&eav=AfYmUM7Z33a2ZOQAXedkE6WgJSZB8MxUA5Auw62dmomAa9IMDS44mkWFPJ_2QkKS5Gw&__xts__%5B0%5D=12.AbomOQvH5ewvWhS_dI69ZEja1mV41ehc1T7eqUHX3iVzy4FS8SNK3TUtP2wBEP27qW4EQgBEJptpcmwqppJgbv8lIT8E0-8cBjxCAy9r5pJPMIM5A7_DoOiyWXa-fT_mQyqk54q0Mu0au-PcqcxB-ccyusjbg2JBDOucs9vB6ySFdBLtA16Czlx3OCYPXvdlNndTUEq6AjpxKBmsO7n7nkOzQzGsv8Q_iN5B4hZnZx3QlZSCfj38UBZM99VQLffwvCVVy1yEJCy0JL3puXxOQHyPxwGhDc6TaxQN5vmSIc8DgKXZuMVpcG54WgakE6kFbUaTuvbU2gAgEPs9Tmz99QGkv-Y9MB-_-VJhRwzr7l6XSrM17mNGOu67oSxm79E6hYaB4wmijnW2V_11cZNO58-nvb2Hg_jF0NxCk-rVUumbHQpcYKctA9Ysqk8m-hyCEhnat7Fag53j4vnPVU_b_Fs3x_TCykCsUo9b30MXvE2DoH7IRbT92_-mL4s397_oFb8HulHxMzWwJTPK4NFAxPyzLBOJfszvCKJGapyvsXfRT6ZUGazRk470ug4iwUw0tLoncH_BxatUjA08jR13qqhXqa5Jk1P-DTJMoXJEh-J4iNDNfKU9lyXauordepjqwHA&__tn__=%2AW&paipv=0#footer_action_list,0
https://mbasic.facebook.com/story.php?story_fbid=pfbid0HuoUJSkuWhz5s5DS48FCD4XrgjWEQESXMC6X27EBqC45hBV2Z1dJzzeK8JsnYrPNl&id=100051923117969&eav=AfY0K20ekOqWx6INeQMBhI3hT8IiAk9KyFgX0U1f-nabG8XGtt9ml4YCsf5748nAUwY&__xts__%5B0%5D=12.AbpKcB2IoW-57_ScCb8EJiOfTptNc3U0VWbyhYmz3XJiKlUepYh1AU16U5Zm8gbrPxkc_7Cz6c3NDwxGbjzBuZWSv2mchW9OZaNXUN7Av57WvF1QBnVevd_0FQfjfmpcBL-KhRBJ_o0uR3b5rd7SHwmb2QAwibIL056qiOMLQ4GBcG3MWHgwPfVCJ1D2bIE5Ldz4xx5xN3TwRr07N6wTexb42jHG5a-hc6YUGDoZxZ-qb6mVxPAkpbfaQkkQ8uUPQNRhGbQkLdm3KBMoz49G9JM4a8dQDyfPUvlOZs4H3WADUzybYIA5dftXcVbP5rsD9fb-2B6gp_bK7fts078BWbH1OJKwA--dN0BDqX5Z6g1GIDfP67IlCQ6yBWzw9h3nnpxblt1YvD1dScauRujL8Kx5no4TJbd7F_0JLAcPB0jHyzXwsZyYGXJmMe15wU2IOCz1uQabk_uYGN14ra9Yc-zvdL05quPdBue52tbhxmDKC2T9wSi0UTW6WRQLqvqm43mhvn9EC1Vi2J9M1CtLFG1z5gIEJUvlzfAWeUqGZeFK0BPPs2YFr82G_fxKWsNIhsBCztOVF7PZhStPfH8B4fkO_V-ciexVT6Q1_HL3I1_J4ibKBxV3_8pqx-8q3R5NiVKkKVe8fzZbDwhv_WwWFv5RI10b5rQ31pWZExiRBc6ovFPxO8nYfXtNXZhPgM3LiJQ&__tn__=%2AW&paipv=0#footer_action_list,1
https://mbasic.facebook.com/story.php?story_fbid=pfbid02G2NXpuyU1tXoP5SNTf6jbpxWcU1tQX9iNUYWT1oUJEmqmqMjGznFUnaxF8nTarnDl&id=100094715509144&eav=AfY0LOFmbsyiXkIrbRTtwrvZ5jYFFl8yLPEASEq1ytMeOjRHbnUYicFKAld5wFIbFi0&__xts__%5B0%5D=12.Abod8ZdKVzSi_Thk7DkfuEU-CRRpS-6IHN6Ln4gAp6gE09tn94bYAPTH04suap8QOhtJUDLfPyCDhbkgUKjRCx3nwiXmTyeaneto6lITPWK5XX4v_rnjyNwsyQL0A1ZI_RzkdCydDVhQMMo2_gvoMQUGQpjz3Jh4xI99RPerXz3a1AOGePUottOfVu2bylyjsxGngwXs86IkgOGYSYAnLYEBc7FsSgZkfhSBtLBSXx2b5yVN1E0mNyP1vK28hJ_nfnnLMwJ3yjjdLHkbJHnXIdm8SwMfkxVI1jQtKdHlWHb0XhY5Q1n54_LYlMtLmuLZAh_6CNKk4fyFamt8bGouhOUM1hrwTIqcaAGq-YuAvrRlvfIlHPXtuZuhFQKSf0uSPp3Irycv72K8vlYpNK9KqcGDZ-9MueMguIL_NhGQoXqGCZA2ENEfC5FbIkeaW-9juiFN5Nmm5DbihrEyvD5egSLXHxE6-McuKs5cKMVS2YnM24-LUXJPRpXsALLzX3EFkEJrtQ9mKPky_7vbsSI1urOw7aWlcSeef_rshhlzd0xg6ZmESnHB1gFpqCTzbXL64-CWistcQqXxF4_VclJ8qZoYqPrb67flSHNFLAHuMJTuZusvZ1h2mTgjDPk5g9NPno0&__tn__=%2AW&paipv=0#footer_action_list,0
https://mbasic.facebook.com/story.php?story_fbid=pfbid0mKns7rJbohYVKqeaY8mDZ5iBkmPzhY8KwJHiZZhyo96sa7Sdk5J6ayWqgWWAkYGZl&id=100092106831611&eav=AfbBlkLN75-mEDoF5Z3iFCuoGGOkUJsKL10kSn7nGeAdH44YZROg4QccvV92UwhwDCI&__xts__%5B0%5D=12.AboYDx2qEeVE98gpz2sEz7VwrNhIrrAB_81DDjsPp06O8bRU2FfhnhlQquIi1foVBHb4t5DlAEZr1Z2TXT1jmgbueZ2I5QWc1wZX3pacbt_BxViPtjLEMZaO6L6EQh_9eFIR6Op8O95Zzezg9LAnBc0_hN84_cmfvRraL5zExDQRqeV7yc0V33-WUc1inlT1QYS3qLJ9VReI9veE72EhnP6w4ZJBwBHMLffUOxfGXSbJ8Wc9KNQanlwDFee7aK9iBjMzVHj65b7yxzdK8ZbqDyOURLBU8oKTy_nmGJNtJIX5Q863hA7XZNZfo6HQ0cnb6vVWNrLORwra5yXmZnO7h5Zuogp5pjw_aEfYuzCzjxGdCfmURd_Q2a73G_n18KrA5-6uDF7UosE_JXgIyhbHPB5-QvfLTNRAGNrhxne10ntGS5XF3qsB2h7CoNeQOr44iPkSy_WI96oQDooFrZT5ko7i7U-Z0ZDZAQJFMHY6Y8yy-seTeG7B-JP4AXqjKp_3f8OcdPjh0iaNFNNedvzENki_ahmScoj3MdHR4r0nYOk5eHE8_ZLlBmmCihRn6nEOvpZMFIYlYzLxmv4CjouAYaTjGusbMZh9pzl20ALQUJxaYgpUh2iXb8ottZopHXn98to&__tn__=%2AW&paipv=0#footer_action_list,0
https://mbasic.facebook.com/story.php?story_fbid=pfbid022uqHQme4h2xuwvKyuU2FhCNF9Z4FPxjiBCrHF3JMzYv2enVZPzwubvny8eGdPSJul&id=100066542301689&eav=AfbNvADWIF1LbZ4ffgLUdC6n-oY4JYDazq76PLzhOXIvu-FAp9BMYHmPNvO4mFcUTP8&__xts__%5B0%5D=12.AbpUThB-tQUjcOgBDHo9LUgGNpyCUHJV1a1N5Rn_DTbA3IVNow9a8zb9y5j4Vm_R5X6H-ZIQVUpOZrWfWec3d1EoMSGXAQ_-SR7mSz47qPtoxyOeplIitCptOPVMox4tfLDY3fzbyM8WdKA7fkBhKNyqFz78d_NsShHkeLkD_4QboGZwGsHsXixV-luTVwQ1jiwf5gF0UntFqakCBAl-GSxy9yKaPcbgDCdoz8ZaKEzvrNQ7Khdj32YqFmk8Vf2Cmf9boJqEkBckywjsRW8yrY47FjmNyfCYmReZsMlzoF-ijI-bHJSxTy9Avtvgz1b4Xs2HXG_bDlzeD11pA2ErEzjWFPbcEmyQ24jDoC_-nDNdMPfQfYn0S9EmmuZtWqnqMiI7Ne_gP2RaaQiDZCuflBOqhEFnobFfppkXgQy39C3gxOy7p_H3BC4HkoMR4EOBMni73actOZ4L9SVK4ssTXeg9gvJSCeEX1OWQrzZaVYvaG_6nCbwKws_msv7xGpb5E_rh73_jQ6fMxTvaNuf0h51ASxXS14P0bIX22a9AftwK12gsOGhHL2SgdjTKwy5Hia96fjy6uvSLtDPWbV1O1cjaGbEciiMW13UvZpeYCz6htzJFmfDuDwdBmpZN_lYO4H0&__tn__=%2AW&paipv=0#footer_action_list,0
https://mbasic.facebook.com/story.php?story_fbid=pfbid022uqHQme4h2xuwvKyuU2FhCNF9Z4FPxjiBCrHF3JMzYv2enVZPzwubvny8eGdPSJul&id=100066542301689&eav=AfbNvADWIF1LbZ4ffgLUdC6n-oY4JYDazq76PLzhOXIvu-FAp9BMYHmPNvO4mFcUTP8&__xts__%5B0%5D=12.AbpUThB-tQUjcOgBDHo9LUgGNpyCUHJV1a1N5Rn_DTbA3IVNow9a8zb9y5j4Vm_R5X6H-ZIQVUpOZrWfWec3d1EoMSGXAQ_-SR7mSz47qPtoxyOeplIitCptOPVMox4tfLDY3fzbyM8WdKA7fkBhKNyqFz78d_NsShHkeLkD_4QboGZwGsHsXixV-luTVwQ1jiwf5gF0UntFqakCBAl-GSxy9yKaPcbgDCdoz8ZaKEzvrNQ7Khdj32YqFmk8Vf2Cmf9boJqEkBckywjsRW8yrY47FjmNyfCYmReZsMlzoF-ijI-bHJSxTy9Avtvgz1b4Xs2HXG_bDlzeD11pA2ErEzjWFPbcEmyQ24jDoC_-nDNdMPfQfYn0S9EmmuZtWqnqMiI7Ne_gP2RaaQiDZCuflBOqhEFnobFfppkXgQy39C3gxOy7p_H3BC4HkoMR4EOBMni73actOZ4L9SVK4ssTXeg9gvJSCeEX1OWQrzZaVYvaG_6nCbwKws_msv7xGpb5E_rh73_jQ6fMxTvaNuf0h51ASxXS14P0bIX22a9AftwK12gsOGhHL2SgdjTKwy5Hia96fjy6uvSLtDPWbV1O1cjaGbEciiMW13UvZpeYCz6htzJFmfDuDwdBmpZN_lYO4H0&__tn__=%2AW&paipv=0#footer_action_list,0
https://mbasic.facebook.com/story.php?story_fbid=pfbid02noxW7mXihQ3hnxJo7W3fDnVDC25KDVbZYue2pphJEJEQV3PTSyb15Zn4cxfzypw9l&id=100064421692502&eav=AfYyxjjdyStOqddK1oHkdLbAGSb8gsCZGl8q6ab7Rj4i4wypGYmx93inT4K4XXWev14&__xts__%5B0%5D=12.AbridZp3C7GFYsnYw-5gSXHgCMinhr8or6_M6owWtmJvme10xNl4twV7W8-I341wAA1hjKbDAOGVVBkkxUhZtwArmncLnp-LjghEnaLOu3h1cke5N4pspChmJifDcb3Fciy9KQDGhQVHbU6UPHXqX-nbQRwik8wd1eOFbzcHnSM-Th5iT5iGUTbItZ_uuadk89DPTAGduj1Hhr7zDT2RoSRZF5n_2dl-LqA3b9WF-zqypSovKz3r53pEI3xCOMIgnLpoGwGh0-ToyN2sgHc2mSiUMjia6V58dmRJIEwHaakKC70DvbUnbcVAkiAFECT-d4EIbok9zIjVMY9ksNpr3QP8EuWxKSyWqJg6ZUvS4A5Fw904bfAaJ_vo2TKPeMvuinY36NoutTAAIP028WrJx4YMXhuKXuHwbrWjVDL7tjPyHRZKwXAMOke-zbyobh9eGvEacT2wT6lZTgMofo34J12KUt7mWMq2JYUv5MXj8La2rxHegLt4x0WxR1lHLE9M4CZVzlZDNRETLeAozIAVQR-PDaEOC-8wfTrAh-NW-waHPfuO85uWpnFw0ZfMT44YVJ_mPTqvm_L5aG8a4VSpdcRk7SamA7h-zfpauQkkB9zBr1sBpwSpZ-obZlyHiKBLc9w&__tn__=%2AW&paipv=0#footer_action_list,20
https://mbasic.facebook.com/groups/1779481378799199/permalink/6508788092535147/?__xts__%5B0%5D=12.Abru3t9_ZMH4TdP3HHcDrK9KSE_-QXGuyy-sQLJ6i7OyT5zpAb1h3zoMi5zQ0z0TA7AI6E8ZZee6smcADeWsHCFqGpdvLw41syOAterxyWzvHlcXRgn0wj6jUnBclhJNQawO-vhqmm5E6QfTqTYwa_qp8V6HTNLzRUt2pEtaoWkhxgyAoNUF9GrOSeUYT9D9TdvNZDAsTr6Yjq3PX8QLiiA-ha_GoRVlJEDPFeuOBUVb484RbOaPuk1upFnPD4Spy7qOpryjz4UZUDgNkFPei-HpNK_yZSJ7z8UPdHG9OWdcEj-uSiosuwqi-otNUUVyESAEowl92YuJXbg0u1TYM4GxAAfgXYclcs7TnKBA9W5ZU-Qb3VKFoM5CE1Y6Wacap5_Sri3Rj9yfujhbwEI1YPcCqG_7BniD_c4m67rJKOMtBE-d3olbLQUhbaVEFQp6QYhjZGqBtNxg-JYi8OxVcZAb0slTsPHMT8XPPt9FfyDz5Y4o0iWFn8VqYAt2gpikLR0wof9F63GS2LJ7UHwLcc1aPuK-XKjHWrZNkwMY9z0nM4Y7xHwJmKGk1z8-GDTYyJeCZkW1ExMgIMwA7CEx3JPBSgxdKXr-9KPjUHDotZPOGzixRZXqw0d8Qqck7pt9o9M&__tn__=%2AW&paipv=0&eav=AfZ-T9q0CYmUM5cF69VhmEhO4rJ6ZEudC11LW1cibLh-BiryM6od90OQwUQZPB5w85o#footer_action_list,0
