Full_Story_Links,Number_comments
https://mbasic.facebook.com/story.php?story_fbid=pfbid02sXxvhnt4JF8uD4DK3H3EHSeSKEuXEtxRLcyYEEf5m7wc75ViczE8uTXrQBTVyX4Kl&id=100047121475795&eav=AfaPcrnOP6F4PogaeERaY-RutlBPpLh-qS-XWozOktPycLhanQVuH83oiuk3vvufgso&__xts__%5B0%5D=12.AbrpeHqnI1YbV_aX79PqLVfNx4LjTRp_UD_WFwKxM9iS2Awbi7nXOKkkYO67NOIAV5OiwmKbezq6fCKE4RpWmLnhM3oOxEw2gfbBxB1dcrtSTB4w5zypk3ragG3LUmnIHXYC0y-GspLGxBlZl7jc68qVp1kB6MrJ_L854QIBs62jui2ZYEn5z-HUVrhy8kj0KJaAgH3PBEQ4m9Y5PPPIssddhG42r6XJAPj5EhGrJfLC4PukEWF4dWPKxLf_ApL0eqyG4LWIdcSQvXjAngx1lKsteZYZcEsp8TGhG6KPHWUuBGBjvL0CmH7VIHigynuFbcj1LbEL9J5i0C0BbUAPrI6oN277ZewjhPYgj8-KVAHJkjkYrO4kCOd9oAqF0qlUvf_EJ9VRV6_GutoGHPoEzYIQgcmEXvqz7N3cpbFRYERtJC2U1lheexc7gl1FRb_aLoiyBJey_Hk3wR7XqMaTwHOC0eb1thofVrn3bc3IetWrT-p1QnNcn5azO7KafvTBMDGoHl88MWHnPSKC1I7lJgEy9jxYKWfz7stdn9vevMrJdXzO38HJRAjHPUij6v_XQJzgrjLhsWpnafWIZE3x6P0Id7LrLPGowZRUj_qKiL3Zq2oVyg1aQqvmbl5n0Vgv_L4&__tn__=%2AW&paipv=0#footer_action_list,1
https://mbasic.facebook.com/story.php?story_fbid=pfbid02jzaV8sXaLemYfAUrhS7NXGMvTtHwt8WCaNTHkmZjUCs3ejsdf22CGwDxqaZd6npTl&id=100063871590084&eav=AfYJj-xY77YW0ym4ct48J0dJErJqBvX5j8EqgVaDYxkv-PTpfn_aHKzsnhYjkcUSMxo&__xts__%5B0%5D=12.Abrg2aLQSJzbKbgIj3pSiPI_J_TJXTG-pY9ks6YP-f6sEwfMR8_G-LoTPd_O6ma0YCEHFIzSw-85TnfuSY8r2YrhHNl9ckchMsqwMA1aobeJ1dTWF-9ZGnLS3iirqfLorP7cEHlnSXsbQhV60hk3fnNn8pQIb5xg9klBfuGCL_S5wKTLQveCDII1bEzYh98132ZRdYn0P8HeqLgK_RPCXcdOie79ZFKV_MPHrjbGENUJ_5DuNfDN3LSNnwViJ3_d4IVFFODFr454EDuQGgXiGEViZHo4z9baDQAHu6IdmPeVc0nbTAvpebug1WMkvfeB3q1oeT9_XQE-9M5cCgSquhWfVsa46P-X1AQdHCFG7AxZzpKrJekAHPYl5XXgYhmC152-fPJlEzH8MvL0P9t42cEBxrjmc8z6__sQqxUNS0PqDoSnKh-c0YezBEGJbRN0FWt1xMCqWIJoHl51wVJwKN9-2hlSxhUmFctknkLUJc00LRMwJBdduR2hPwxRuCRMCglmzD5_V2dVfB-OkKmfk_FDNEQsmr5FRFindTR9-HLXKONOkLwD8OLQUPxK-N5QWWzvJo0vKG0JY_jVr2FLEXQFzH6QmHOX_RlE3DwMDysgS4jGDDn7zCmbQBsXFWN2Tpg&__tn__=%2AW&paipv=0#footer_action_list,0
https://mbasic.facebook.com/story.php?story_fbid=pfbid03yY5ro3b8emPk7FTn5PM4AovRAZnjFfdo1fsuvVxuiqyzvKgTixqfDpqtZExdWSxl&id=324818237703136&eav=AfarPW1ri7R4H4O5bv-asEbJoxvwC_JBR43sB6VaBTS6B49arKMGG2xz4pU6tV1PSZo&__xts__%5B0%5D=12.AboXK6l5soKH-ja3I6T6bFxEW3UxDBG12XxkDpck7JUreVESyXOBDmA83pGtKXx6_EbqNd9Sad8VWUD3UxD3_DLGGKxWUJG7rjZqWc4gLuxRSdtoLeHQrLHdqGEkNBYZUhjby0xu1OFB8DV0S52QnsDY7R_luTPmjEDLHNlFdHfHk-IumjvNjkTmhUpLSn3_UVsAxdDIM3B9jGz74CVqL8h0bqGn7zU_mWjo0dfYUbnBYxIQV4fqKhlbZGAQiNaIRFck1xeboZi81G-TbAB9Qk0p7Ytq0CqM-AAxkHt2xnfzxR4LFjxkIjfcL1OG1yRjeTm4fjASXyDsrnIpUo3Sa8wUHcf0Zg1AgcGmSB5QAHEiQ7E0dggUUIyjjp1EVAM5gdCJDVbdvrdp9UuD6CGIKRC12VlYUMXHoeZMup9LhX2-jHQhMTKrbgmc3wga6m7HNXGGLdi4UZYehbsxWpeEYPwNvViQUe2-LpuzcEQvVsffL4c6OAWiiJSNXx8ZZFdedLJckInF7aib8Ct1QmK2nQbZ5rqGdGezA1y2szM2tPJvn6ZvlmPo6cePdTORZ6FCDLEtaCpVtIBvVck4R2VrFu9CA_B1Fxy-vw0ZLY262HgBkv4MqhUC4oLV8B2UHCXyMdnIf7kpSxvDK3yBT-t2A44xGtESGSkIJzSeIZNWx1m-HF92MuUFPhHISWj630CodUo&__tn__=%2AW&paipv=0#footer_action_list,227
https://mbasic.facebook.com/story.php?story_fbid=pfbid0A9dt5LpbFrDxqp3yvpZVb8cVM3SMorXiCzXLwdzwmJNgbTKWSXB9q6HxXvoo1tdLl&id=244393219319305&eav=AfayoGF7jK4x8GAX91En5iWKUY58XuRkPDJ9704dc_0lMnWg9a6Ng4PJf6r44wwDCA8&__xts__%5B0%5D=12.AboDz_8BL9RmlaD5H1xIevVKDfAvdeBZpjk4cUyWy-881lJTt__2IzoB6szXKJcMhCm3Ei4Z-n5JAYGfVS96D98V0I5hCLHSdVb20EoCgLLjWtRgPUGSg8p4TWNS_-52SKnQwwuI4HUjrTnfEW_SotsqAF5LLPL2VHH7vw5mkWIPj-YoxczobtP5gL_LtWz7KWjl4s425Zx_x1svtcDljV3moz30kdNvec_uZUEAl_4OoRVjFwDkKClY_tQM4xbduDTMi5lC0MkMaBxXnq7r3oMbg9IaYQvnZk-FoVWH36tdnfiLIs41KHzWTwnkI7y_IXk4jxtp-fBXjReSfn4rhYcYzdZfToUtmJNR9f2dr4-lERmhxU-dGsVVo2Vld20Bt1kuGwX0CjZ5efOLXMxI_OpbFeGg8HyqsdvrVW5ODMRMRONqKSLAwrwKGQ-voeLFjhm8iwId3KQa9gad_v-lmuqPW7sT7h_FSRixfmI_VNhmCZOU3_uFkwqv53r9qwCnPIO3RqfNcTKMIT4h-C0e6C1RbaYUJq1nBOf7-IERc3OJheSViQwjA-Kt89qmbdtY--6G_oI0C90LnAaYTRhw7HVUk_MR4FmXP0c7R-HxohvcoIymOQX_vcxpxUXwArhyRDw&__tn__=%2AW&paipv=0#footer_action_list,0
https://mbasic.facebook.com/story.php?story_fbid=pfbid02qykqdvC1nbiEvnCiYi6y9srGKHiPqE23G2Ucn6ZG2x6z1ps6DVLUAuamch47aTLjl&id=100199896084679&eav=AfYPgnKtOnJwKVYs-o02WvZKCrCTx8L-Zoq9meL3wpxrimYkLL7seCxxhXGirS44SeM&__xts__%5B0%5D=12.Abrm_lpU3juQ0rVntMoaqAbl7UuyXseAHMQtgiRoIT3gCI0C6t3NzWisLh8UE0mIig6CT9jin_LTXejWV1aW1s6fcEKrpX9qEyWQfalcAicc9V088j6k29H9mZVddz0WXaDKCMwUzSN-NHxnGyi1p16vi5FIsNftCea1Ve3_Abjfox5t9HV7utnIr-x6wo6ok_rXsmikKMS44sqU5R_olS9rX9HBrXOeAj8rivOTFUo48OpRI2R2Pim4QX2vGzVPPyISnszBCVjp6zG1WE4llKqXA1EtVtkXqFcc9btEUyUXc7rTlK1R-IE2Ix0LNvmLxIo6jcMhWSOlpOWo9A4pmYv3NEPdhysVQlKsZ9vqmRjawBs9DoMSDkFZtUmKvyPnAo2384fgs6mRBXHJ35ITsn6wl54mm9E1QFODYkq8iBs8se5c70TGjNZqPHraUgysPH03_EX6msPwaO-HZuy7srRQizx5rvQZPEIElL9JyY0Atb8tiQdi6sG_7ty6ASQCv3ASeZn-Zm8jA2EB1ME1zbb9I5GEGDRBxU1XZU9FN1W2TWtAOwZWJEv-1hbBkJPeeVEHCjoGAf4dl9puip07UfYkKoYgGVtufLjRZoUA-6mYCSr1IQgFTWhfcLOf72yKDrw&__tn__=%2AW&paipv=0#footer_action_list,1
https://mbasic.facebook.com/story.php?story_fbid=pfbid0qqMC4mcda5ytS84Po23Hnu4xfbUT4bf8kJdAMLWBmbGm6vffnQmVjzPizreWKevMl&id=130885564570&eav=AfYapArVWL6tnlEVD-TOHaGUz8ZdhsgQa7ehR_MBr-jbgYyknhOhianab_x_n_ULoeo&__xts__%5B0%5D=12.AboxRPFAF31Fu4NIHoyEvsSAoncI7-vv9bJkeHCKk52V11F2UuKhIJfltkk-Kal29SGd1iAzsmTXUJ1QnJiMjJKlc-fzvQ_w8yk9xhsoD5eDdg4hdrirCIqmkw30VwFXCdxZ0xaTWgu0vD2CNAPZHft71uZ_q2V4ox8UxsaJ4ospHQkZx4qHxxN7CyjtKa7T7726LqSNAKj0vHn0YII3c3sroaZk3e8QKu6uY6Tv1GWaWnluWmUfKSmODcmH7MRKbUljRK-6Wbnk5wxTwyhwe0yaar5_NJ4ubxlFw5-T_G56jakDFNxCr79JqeuJ2S1InzwCil41d2MfUj7BNCE4gwja5wYlxH7nyfrlBRIIqiGEJhR5Jz2mxUUVw3TxQOyTzzU8LlxQGdohmxIFiiz0IOa79F6vLODUQCtgdwENLmPHtOmUkBEWjUyPMcBLJiyJ2wwjF6qqAsS2gJoYVMi7e4FtAnYPM8L996YPdYh0e3beBTFzo_u_tVyeMvt2ibwwSiRGdXOJMwcY_NWmPRq3mR_Hf8XcVJFVDscN4ShzbL7gqwAcXTckIlRbP1NgUK5JlliHZ_SV9irF71JB_BHLMn6Ype-R_D84UtEglyQiscUqovhhFk52U1mHDBCyd0Umytk&__tn__=%2AW&paipv=0#footer_action_list,282
https://mbasic.facebook.com/story.php?story_fbid=pfbid02D257zz8xfDBpjw14XHCCPyxJe9d2dXquxLPxTws8UrSJnkAFGHLieyM7u9Y9xQfjl&id=244393219319305&eav=AfbnjIwpsSArWrdrnLuW0vt7HY-JXMsMEPMozPQYxl9UVpuDa5QyZi7rBz9W5vQD8E4&__xts__%5B0%5D=12.AbpOTn43U0dUzHAH3f9Xbz6qJsITNMAWMzsDE0jGjEVu_WLCIQ18Qpx4L0VTcBoWNK1rCRwVB_oenl1RD5lrzXcv9AbwfRqagC08LAKymnybh7e80Dc-T3wZesY6XwliIURRACL8l7zGAF5fBEmDqAL8Gl4jfHloyxPIDeNXb2mLbXbgH8OVgWR16kCxr6s8Qa857jTTUABS-hQXU2wU_XQ9ATYpjSlTsXkrN_uRlnwrGEh8YIisl1seKYhpn09MniaffQc0VBUKxOsk9qp9hzzGF0jWCxq2qzRuqdNsnIboJ1kYUhJfW9xaihYxmmhXOmqhGqto8DymAHRMYFc_xN412gCpSFK85tR8qpwt9h73Lf6Tj8b00KZ0WOkEy3lwKQ-RKH4iDD2FC8kmZpXiQjyYtR9OD0e4iJ9lUpCdiHZxX7VYF8CYENlXdSy708FHcXUuf_JMFPA4rP-7DewY9QhXg5kDV3YgreFyRQhfkNT2GBZ5V_ptwFqgQxwKaDEVViQ6IczCi-s5MJYqjc5-EEQQ0jC7zT970AcM9kmvT5MlsbRhz61069e4wOOeGtqn3QYI1XeYAQ4IZ6C-Pi_zIMLgggUldllIAizR2RP2zR0Iae3Sr60_pqihqNhUsg3CP6RzdZ4neh182MBQkCE4PG4VqCN7c9jMvEmWsl93j3Lp-jWHNwnDdua1RYmxDJZJGBA&__tn__=%2AW&paipv=0#footer_action_list,0
https://mbasic.facebook.com/story.php?story_fbid=pfbid0dDe9GttdViedigScC3HzhBBF78cfwMJ1cShxVkQ8uTZVzMyUsCqbMBz4bidCiTTzl&id=100063627457998&eav=Afa4vN5gaM2WdVUQKCbGpez3OzxVCfph5VaWwJsowTCw5tb9LZw5zEIE8oANqNA66S0&__xts__%5B0%5D=12.AbpjFXv3pAvbY8vn4JXg052rauRmKl41LnCeiYRtmUzLx-c8tKr_hfXCmPwpFAvMcD2bdgrkefFROoL6q0xpd5nwFjE58nAdBEfS3wfarCu4pXCA2Ynv4e391Qai5K7aSKmeikA82jel1-o0HadB2ZCjJ-OcHiGD4lJCu_rh-AjN7uYPe_8ogW6THE7lHAxOC1zr3nberhVgcd9gx7oPL7vRC_sh9AkOwg1Ac0Gh-OEeoIoxBg3-SJiD31HuBFVQZgSPcsqN5D0J5CkWhEg2J4-TT_2sqFk2lZcHvYM6yAa63KgmXRidalayiU9ZY8ys3LMt7UcH25ftMksYRxsCJrfH9_EvRDoulq1eaAfmKMJtsgQSv_1ytbB7MHavAJv_ev5ooqNwMFxf5JFpPQU4qWUqLPhEGglDwjun0Hw5T_KOh-y3FLNfT8EsTIjaF1ChCo-qHPxPFASV-ffkxjAj6Obhmd09pfqklVGSd_U9q4bov-8WwI2uasHQ8IMbFhirjzST31-i_PSgPLafxtl7uCi8WbFHr9x6aRrlb5MBsvP0AEAHvPj8rBhJI-lBM45WQaXePn_uqD44L-Y_Hnt5qedKUUUSOiSGYkhEKecx6Pf9Uq06nSQSyU-nUbNSCyUdmYu0VDxipPsdrwlouIyDpVpVSG4W3VnT4sjv9KjH-1VWe6QYvHSzEzB29c9WXpXKJoI&__tn__=%2AW&paipv=0#footer_action_list,0
https://mbasic.facebook.com/story.php?story_fbid=pfbid0TtPv6URaVseF7krRnAxj4AUrvqbXvyqazagUVAm24p5nZynU452ZnCymzDcNUaDml&id=2142530499140291&eav=AfY3xAJ6fXV1G1miLDvb5hGX28DIestQ5dsLI7TeV2PuUoQBBrzkcXU9wLxNJtr6S5c&__xts__%5B0%5D=12.AbrS6tYtVvd08kVRfLH-3HIaJkjbIV-rkDPZhJz9C1waKH2SCFr1PsofEihlKULlJjD38a92Ba5-OpxVHlFspJRHe2kzSUO74jb6jH9PxV6_xADSzLGPzdJBzrOEQX8wqCWR7EF9x4XrfxLuFCBOGXzrFjO2YxV7frFfpS1YqRB3cQJpvrDhw4P0fiuCzG3ovN_3f3RB1Y8vasRDqPU_nZO2zCdE06iG--mJ6xm1heCLIryJ_28c3jeZy52PjoMhjFiQNz7lRerZ6lTTsk9jmEd2ZpbiwvNqgzTka0vKGtXXzAASzdK6bf3utPS-eUYqhrTXFUY6ytY6_hkIfP4nuH0ASNcsWDCR2dOs223WIdl4ouFcvSc_RIA5plMGvWc8R6fUQZ5Ef4qzaEKouWke5seOL8VKHSZH9JsULvYgtbTo-WcNHPnYy-DGtUZk1ncBthZeZfJLGXeamq5UsLYohk6vyLIlswF-alK79kkzh79y6kFTQ5ZDDwdU7JEvMnceBVgiqkv4mFwQ3Zu-EJ3xtZua8THl_zJR1AUL_1u_M0nu6rYVYf2XTPaCJ2VzHoF3TK0Dpalah4O9HF-xKg0BqzuYWz418qlCptnl8oi0JHjl3bF5JozFfiK5agWOo6k9n9g&__tn__=%2AW&paipv=0#footer_action_list,1
https://mbasic.facebook.com/story.php?story_fbid=pfbid0qfC62gnVPwREBcj6M856p6J2Dkze6EoPWuJyScRWS38MfA1X74AXc5iVuFme8Xabl&id=324818237703136&eav=AfZE9qSbp3kYEqKavuTSxEk-9bYpovPwR0PqdCVMGTlm6bemjjGrRpOi4YcFxAsxYgE&__xts__%5B0%5D=12.AbqltMi1PSFvgcsCT8UZ59cFgUzYKld7wYK8__U3HnnO41DLZRLMDX_ojAKBtJbUM92XjRTtNZ-9DSxF9T55f8hW57JpZZw9eSQNFxZIEfQ8pINPIoklk5ggrW7MdgsITNGBbUjTOJYZBb8ZZknOT5PGwpBdOnBCkud0RukRDQlHpB4Y3ypCcaGoX6vov5diEki4Y9_GczDru3Giq947Lar3ZQvFqwyu5sGgITf7DKaYyYsIAu-jzOA_CPMJ2-mZZoVNw-cSDQWxlGFoFivgOv0VsM0G_vYFQPVV0kmqNML7guPitGFiGAieoUqfbvE1hEvACYmF8KDS00zbui87Vmf2v85xd2XWw0xYLW0F61z-vRbkyvt5-CTU95tNXrARH8mcaK_Mi4RTz0Ll9iIc9N6epOI-6MIEFRtzThi5VRAWKszgGKBaE1WNNoSJcOevKtwqybGqX5C3s8jm3VAegBZT4W-F9s45w18wv8vUyw6FjpUnaGuV5DFCogZ7aQ0YEXnKSLS0aHjPq4xMyx2kJT7dUg4lNgQ23U5k_EzouMeybpmp-mO6KZ-vCSYiJIAePwIbmHzWGfD3uwC3btH78NJemQ0TXLdTSWMlf3Tjz3hSDBj8T78W95jtiTooXE9CaFCznRzYRJIGBCfwLLpgI7-JpSo88O1D1IrEQIL_ZsKUvgdrV0Bp5lkl09OKASD6myE&__tn__=%2AW&paipv=0#footer_action_list,1
