Full_Story_Links,Number_comments
https://mbasic.facebook.com/story.php?story_fbid=pfbid02M7EfMUHFjeJhZTRbQvkH6ak4dFocn6tsUEjrfU4AzoWuxugdvUiUNK58D2FkR2U6l&id=100079484427316&eav=AfZdg_xibuahodUm437DXsm0SacdlKQvS18tSz9sQHtnhGQhpI166FFiIdAxAT4WL-Q&__xts__%5B0%5D=12.AbrUAVb4uF_eNkI2ZaRgVXxRrVeqpyWVUHrrDMdDkxY4KgaxVf-z57mmanQl5SG7_kn4F0aoivEVfqYSltJ7uV41EfVjOWaaq6iN_TlFKQEg2_KDUWo6vkh6PC5SSFVdmMH9DFQex-GkPHmLBj62ORJzwX0cW-vpyL1IweCAMhqA4t7w-Gqk-y1M7SOhhYkFWT62XOrKnEjw3MyGKWRDp5tvGbREQxdKv2TMLC9O2o_Mrksg0pSVlW4uKhtg-I2NfttjvOlEvTa-pPMx168OqCDtIpS0l-gWF_Z75z6ObkdVxUbu4NVJ7JUdZqtSb2yEB-x2UtO_AWqjtBQlsY5lBlhmwOIvDBXZZ2Z4HzOOifPbk-oXxuiUQHJtu_O3FixwA4fM134fjIVziGZx1FbiOZ38WJMNZ8XCpvqLO8p65wNYYy4KinPCJ8iuhyXr1A3NkLrZfxyOa4nNCTIixaQ_pNABSDj6wlfDMkBYmrbEm3uGBCArNCwNFYa2QDvcy0LaTvPKZROM2HUXh2YVdUMpyqrdFtLo9OR2EGzfHzIhuaeDS8bj1h9SESj5q0IXwylW9PgxF11g9Wtlu8pY5BHpqSanAV3xdr6-IHkli0Bm_0x8bNItn6WxZ9mInLk1ghdlQoExYLvCIEcICIcv5N-RPr1buxgdjJaqhUN7nD63Q8qYl49XWXDllVXvE9VtybSY0t8&__tn__=%2AW&paipv=0#footer_action_list,2
https://mbasic.facebook.com/story.php?story_fbid=pfbid0YNkVXTWnXusEq2r3eV8cGa8vtAX2Ey4tEXDcUZiwRqiRDZ2ctHWM2VfGWg5gi6cMl&id=100006460213066&eav=AfZ5XaK96HEKON_EAfRQHY6M23gCbu75WRyu5fNeIUqpfjUobsfHb1Mi0pBnv-2Q3xM&__xts__%5B0%5D=12.AboJqSdaL6KUtedSIC-c6WUYXD5fmv91QsVwHq15kxX0lotrfE2rvQENdDebAbCgI7LrE8uweXTWb4pVkykESYChwCuzUqPgYddKyxSNj7ik8D-CTCmZzamlaNnQT2OmCvLnBoM15BGgPHWuAx4f5beCMK_cC2fmcx68s5iYk8kz7VJNGDcQ3elo_m1MppAu4ZZ0-OPBfJFaJE3T7RepWBDNdpRbaer29V_UBvGW90H-PHii4bNh1MbtKdaZ3GHm1GTgG1d8RCu2YGrFg0m1MSEZccSTi0iXJpB1Z7FbdEN7tc0WrGkCMLDHXaQP9CJqtc1KLTdAgU9T8gNcaFRdcv-do-VuVokmuCY0A0NTRwTFxRjPg4mub4CKeujGuhxC_yBVojlSHHxVddGXZ2jYdGiFBfEf5Vz1kG5sz-NCty4TdTpdig5KckVciMBe4S28EXlhQ44N7iPr6PeRHXVVXk_4tTAzKtfCwRhZZNFgG9ayyC4QOzBwRgJrZSRM5Q4XYBbSzsdJ3T1BzGY3cbZoa5gxPWBG5AN-TNdy3azdln3jlrjTv78qvj6bhTQ6fvTgDakim51NjM8txSmdaYTArYVJFpecu-icZcXPphLFwRXrhagj0nkaFNxaD-vnEMmzfVY&__tn__=%2AW&paipv=0#footer_action_list,0
https://mbasic.facebook.com/story.php?story_fbid=pfbid02DQgB4mAodcj16ukKb35hNa46PHaM3u55DG3WM5AZBvRkPWfsqoGupQvm47YdJx1Yl&id=100006498173117&eav=AfbK4zb5ZICPCGLvD17NpBql-r_l-kVV9BQrEcMHFWT03GA66ftrDz0qg8ram92HnAw&__xts__%5B0%5D=12.AboBd6R4Fr-4wcyUY6TzQia-CK6pVeIjHTQGr4IQjXf8-UzG1yu0g5ixnRKc2Igm7-RlOC5_NJoIGqhxqolOoPORvdUkupxH8PcNJF4dTBBjI149VvH70rTD4a1J3IzLQpVbp4QhwvnZwMDzOVBTGxWSZColEZt_Dbpf9G4-AIpxxQIZGaSinvS35FefoPgAf4eyBLYH4U0JUI748z_vzkz9p-W0N7lywmx68oGpTrqjI5zi-LociVixWPiMRsIABHhr2cQze6cY09Axxf_KufhO8zER3c18D7kTVoJKyHs-Rv3UwzD4u721spEnNEncnftzoggoGBWSP_laQcXGKqLp_hm4PMqQv9-xS2fh-H5h0OGlsFqJrlXr38_CHxrrR300KgDl9TgX5z4eALxzWXEOBP_rXsSbrFlb4IJtHAvXBv05GQVojbnC0qT_sqld10ETAibHefnhh8hX-xsybHhjz3p6fsRwg-wa3JnMYU8A3ro4Bdc_rgbI-1oQg-u5Aes-CqILZDYYJtAiYwbVbk0F9Rd3vECxqYa1NPcbpV2xn7j4jgfoYLYqUxlKxYTKjr3q8KkUY1Pwm8-WMnyDcuRuljw9f5qC8v8AIo4ZVBtRijzhDOhsEsQdoLgQCMHNdMKhErYUfVMbVq5C994KgZoicb4A3q6H5x0rrO0p_j-m8I3v_Hcxn1NZZwuQyAJNdqg&__tn__=%2AW&paipv=0#footer_action_list,3
https://mbasic.facebook.com/story.php?story_fbid=pfbid02mx9teEcaokwsnkPkfm422JadYLFvcFUK7EbBC92BnbfvvoemdJyd5BHVPe58E24fl&id=100003516945981&eav=AfY44qBhpEUtwGg4_jmD4g8m0ClExYX10JGg6EqJvIkpUmg0isQu5bNETd9fwdBb5EM&__xts__%5B0%5D=12.AbryUKCirXQM4pkEvK4LJ1MphvyAi_VbLP_EY8MopJXq5zi1ykvKZV6f_L_kfph5T7Ap0oLyB7b0z8gsAeN8HFoJOwNnlaGN4_pj566grnIM0LmB364gi-r2M5v_FaPoqYjKHfisB2UvbHjMKqSXNRRAtBts2VV4WqdVSwc97Yl7Umlf11jg5xL7pUz1UvEiroibXT2rCb_bXaoTrhLdqKkwJAPAucL_Ok6U2tHxdE9cM2GCoqReXuel1IqTEuiDDG4HKW0FdlRf9jp6siVxFpfYN96WHPCdC1SEP2J65D6YsEZhJcetORup8UMpBDINiBmzgaV7r36Apy-B67kYi_SUQNPTBaJLou5Xk2zKI_MPlnGDNlbaSxE9Ogmqj-FGBj5DnXGfUpQAvfrOuuotUK6doxd35PzUwHWpB9Ko2FJZaCdvXBsd4E9v24NBT_CWkwH8-x0NAvHyEBMfHbyi0zjCyKq1p7G5jNoIV9pdG2LZR3LHgVvpFhjimwsrMsQ8Rv4FJFDQy9bFR89TWe4y73ETf6MwQXD2LCRuFLPUBoo6ChWYvzTz7pyGtOXtt-pjJl-zkySZNZ5gOMhxSuQ0jc1JMaY8xm12-3wFcNzEPm_ph2jBqrK9lcuQEbU6nHvwohhqpSvpiqCGWah168IlxjkxdrYLo5vkvnjrm1tD5cXagSTABC5IfPuKQtV6lGgL0-8&__tn__=%2AW&paipv=0#footer_action_list,1
https://mbasic.facebook.com/story.php?story_fbid=pfbid02mXN4BTvquTKq1DcTeKC6SE91tvJ5HjKhiuCVHJURyAm3RU89wbgoi4c1yXZizNRFl&id=100087655664574&eav=AfbHDpdQ1Ge_MOsfGmOpP5J-MJqPfpybpEE7OLjZkqgBVVui6sL6aeTZqDgthh_66zw&__xts__%5B0%5D=12.AbqxItYRtXUTjC3ZX9swBhtL2i5Xc--55i5P6EwTXmQKkea3GQ93YK1un1qXKTSnvML4LgqkHAkPPyQtWeMw7EMhXDri2r-ieErQIyETuu_om2TeZFd-ILjo7K-nX0MCYheNn1uD-KUEkxne5phriiH2PGBOTSJ2icGOK5gNyNdkfzQ-qxNA3PbkooZpKdlw_jxRsoNGU3X4tDYqhycd46pvh5lFfexClwOJ1WMjSjyPBiad9MOqmw8_ZB19jnZbrD6pKIBmsO1Y5L-4v5ISYLpbKEnPeduaqC-RvPnTQEZt33OHiZlA7VxBDhjMO967wxLhTRfXZjBFhx4qq_mH3n2tb3mKBKUULLZ_HaLRoysJSOJK-W5iX9mXSBYEz-b-RN3eOhi9c4gsYWcWCzBS_y96BtF-W5kZOgXDN9-IgSn57p6facK27v9iBJQhyRd46ZIbw7g0A88FJubpYnho59AxJeCNYZsY_ZrQG52Zyay9d3XEKI8YpgHIdLFn0WG12CXpvh0hQS9imXzJsAQLnv5dpV85hKetfcl3Iz0d5gRTr9Nxqk23nPESzELvBTwff2xJlIYTHFHW1_GgFsPpz8sH1QicSy6MmoKzyt6mty8EK_nPhNlcoM7lA1KsVfOq5CA&__tn__=%2AW&paipv=0#footer_action_list,1
https://mbasic.facebook.com/story.php?story_fbid=pfbid03ubvuKgCWi6yU1u7gnMZXm3UP9pvV9jP5NKWNziWpB8fs3gZAEENGX9HDWHV54cgl&id=100005851773242&eav=AfZgNXPtIrPiLe9wPGa5KdzQUWCff9aLrchNaxVeo2stXZNRtIqt2AOJSV5g_7d-pmU&__xts__%5B0%5D=12.AbodVnI9gkaCpcTKPY-yy6mxJLAphk81_MpH_FoeMlRVGyLMbCz36OqCm_BcAg3ggMyWOo6WK7c5_3kIU_MxjW-fwY-2iADwOBZ_U2g7m9FXud_AZ4_TTx8kCtizswSRMhzkNcUOXc7oGXmJs52UF9WZl0nKrawyKsryM8YfKtE2lPO7ej79uF8jM1jDIgoJP6hlccZlU5p_qf4D7JUjLBDaTSlItVUGZzYbNFT27BGb8fV1v79adrw3FTRv4SyPwwGawf65qa7W6DeGE06_tHKGhEXRS8IZJjsz8DyrB7loxf35AVRYHKkIUmEUIQka2EPUfFDHzao6kEQxqGASelQmSZL2QQvBMruIvFYw_go5oDtlflriodZddgZ4ZkpA7QAoehHAcrUBr15aXrrxY9EVBY2Wq6bW4ktNi1GhnWUHVnDPpPR0vEGpVDr9UQ4Jj1VptIqTD9wUQJNOf8uooNrO72Vmrw6GNpakJp3ZjX_XBvwe3Qx7h3Ub0PskcPd-GPbM8wzWFjU2MotwSAr4sTYqHjgFyX5MdekTBUYVEvi3xGAisiZjP1PjEQuKT93ehlrRqVLmxt2kmZBdhLoF2r3ymw0f7Adm6bC1bglkUmGsoXKFWbEEUuc7xrK4SdIYgf4&__tn__=%2AW&paipv=0#footer_action_list,21
https://mbasic.facebook.com/story.php?story_fbid=pfbid025KQB9u5ERoj3jScsXQQjxZ2gpvWYA7YE5ZLs66VFjGcJcRGwXjsor1rQeTMJyjsKl&id=100089590900643&eav=AfYxFStntJV-GwEax3A16AYD0LY8wB1fNWA8iaLtHBnKX0Kq52QXyoa748feE8Bx7wY&__xts__%5B0%5D=12.Abo0oRAk_QyWvs_9u6DwjJfSwIThq8GJcIGTuwHsD9IajVsnc77fTwDzGi9UCriEL5T1Q67IyLc-8XazdurHZX7A4aJP1mtAvhc7muEBfrxqWOSanHFbjGbSKSX9JqabIXAp5iPdYdobH3fQoeOugKQclkV9-SzZ5t7qw7g1bXG6faK3pLb7sgabUOd3EuV9Oy87r2c7lIYnUXHfr4tTEbkwdPWmi9-IfR77_7eTtq99uWaZ1JeWe7_suhCqIEXdlBNsWZqRm5slGuLPtJgpnG7QLvRYSECHXNUUB75_odTNYJ3zE_7UiXJI7pNbqbaAUIv5zz3OuvBdmhYpWbKXhaFfK8CagHjpmd0jiB5BsiuxP9qJ0fAFkq1qLT0dBuvyBqMtQgZe0WXqmkKp2m6hRBceBQu5ZEbVZRM_UbHhC9rfV2ZZIFEcSD9le5MhN3fisznLNcv25zxUWpd0Je4JWfk-RiUuS3Ncwictm6uBms1kdWlxYzAcJNH1pxoORYkJUbjGZBKuzQrh0LxJNHDt9gkNpXYAErsGMR1jWw7SM0JvuuyyQP5hKmT-MKdbbDiFf_UD0bc2YMKIw2BBVpmrweyaQ5pYE8VJTCjURDy8hcFMh0G3Ce6hfL79UM6YXGlzU_8&__tn__=%2AW&paipv=0#footer_action_list,0
https://mbasic.facebook.com/story.php?story_fbid=pfbid02Bm7m7Rn1K43mBKAf9YLhTKJj5hiEpAYXVPYyJYxD3kHkbxC9MiatLNJAdgou8nwNl&id=100004373557297&eav=AfYIIdYvY8kP2XgPkgZFvMR7zIaHVyHxm9wMRgXH0ZpHsDLwnjxBlrP0x8PEZuHgU1M&__xts__%5B0%5D=12.AbrS3YgHZv7Oziyz-ogiVngbIf9X2g9NCixbf5u3XAkvRQTPlntgUtO601YthA73g25PWyre1bgY1WSEOQ24RCw_KQJm6ma3uoKLdd4iPP6wYHzmiSJzabi2KL6TS8vl2Aa0QJbOk7ZVH9qxmgCYezzE2sGWs9256jjSYhEOGwohwikLC7QS2WgIoV0Kg8KIHEyckrYarNbSCEu7JROOkc7xdtKc1GfI98788ssntN7qQxuClKpWXlkhRd-fVFk9bKy0rZb1QwCLNA8Sf-NtpsgDnLkRptkFVN4hQ-cXGrA3fL2xBbCrfvvjSkb8ReOx3YlaYtHZd_FXcn99i04srscuhmAv6R_rtmC_I56wx0Y1ViZ9T2infC8zMkx_QQwznsic5J5cArlWfQDKOBfq6HTkNrlHOCWhCwFYtdlpN_7CcTxyXTlIWSC_GBOcUqFoaPXlDRLiIYvfmgq1rezzmw3-JW0xC5UVDSdx_4mmDgQvRwmar2f930LU-V71MfnAyuLUJNEgb6mEyrLTSDPPklfxYjQhT2VNV8zaBZo0uSsxf5Hzbvac4LXRESQaSW_SGj9QR97YPyxL8Ehg2ROugpP-sjaohiDFHT3Ze5qRLgjKAaE-pnx5HgrHbRIDnzFRgYJtdHjhG1FkxkUiBNji8N6Lh8yc0GND6_yXSfFBXZkz98WDraAdLFuNBIQcuxnF7k0&__tn__=%2AW&paipv=0#footer_action_list,1
https://mbasic.facebook.com/story.php?story_fbid=pfbid028nZkHDJ6V71Y4qYzdAChpA78h7rji9Zu7wnzXHYPqYkdkLGseNEkYG5LKQtQr2UGl&id=100080012784577&eav=Afa3gMtojSOWfVlC-zS3duqgTt4DzeNmnAy0louD3EsXEzZfirVlKqe8jEwWkZhbwYw&__xts__%5B0%5D=12.AboxbTZMfvbkxd2BRGaT92I8JEBY9f_3VOylYdDiCX2ROIzCHZ5jDjOwhX30d-l2LLC7TZnSw0EDqWwK-WqOHvEcSGq5mOHN8CS57lPBdVVU1ArlZoxxJ3Q8XPKY38fY4k7RY8QFVqbscbT-0x9soXnBKdbA5PLi49lukQHCKQsElzh2KxL0taDEsAH-eH-Z5J1u7iIv-NDWcV2nnysjGPPgXDsvUFq8UdQ7pkvM_l-2ZNlJvD3OGoDU5RavDkPC2TXecHy58afQ7yy3iUSuU0PvGxfRjq8LL5BIWtZq4wlmZBu-KWGjSIunsAQzCOiupJvQqs0xClVl7CYYNSZwhe4HcHl2rSfy_BatKeleIc8nWKPSZdPj1ccdU0VLjj-pi3xwcP4Omb6LoUxjrhJvCr59n8SQ8Q0IVXHNQXGoVnbRRIVJTFUHLMG4rIOGjJcMpSe5g1lhbKF7IUIqPGsKmppyf8Pjv--0F8KFSoFWEs-7Xt73Fgb4YiBfs_zmrhLcKnbx8isJy41IFicZXlBmucO_DS0Nef_0qXqMKk35mBacx5vLOLhH00gK1x77X-GkeATAH6Y5yTyOcNhQUdFHfFKemA3QlJgXKZCMIkYUrRiaRUTl6iDtjAdVgK2yIOKey1U&__tn__=%2AW&paipv=0#footer_action_list,1
https://mbasic.facebook.com/story.php?story_fbid=pfbid034sBup33ABqo6NkWEmhRpHxnDeuDK5MMuQhYxNnoSxUQoDHvfY1KSDa5h9PzrD4VAl&id=100001032274532&eav=AfbJ84bDwrylSydWcSUW6hqnhHVKldlTLbpPsY9EZicYhHVHL6dExfgpM8YwfkusJI0&__xts__%5B0%5D=12.Abpa8e2Gm_ZLIWBh-nKEBMXO0-Iv3ScCT-ui5Joa0UacTU5Zlb_knfVY73VHu50FHNXVgtYlu5EehiICaRzpyG6JxZfsmy57NdnT-tfTowceV7BExrN_Nk3gwaX7ddvwOuLDGCCMjQowwpLSnylb6E7G2hqluIn0cjwwQ6nHz6VmRLpJ1yFVfrmiqUNRUAURtvSVd5u7h1EIQP5ugZzMJ-6tCkCwvzaYNfWuRIcEx9-t4U-WMkqJb2oTX45Yfs-9fI9wufwXNPJ-Cieeh_c-Vs1h3WzSenneDPwRaUg29ZYKX0j7GZKL_D-Ivpr66SrWjcIufjuGZQ-p7CIKjC6fcXZXhu7oyBRw0J3qirOxsexFY09Y3GXRvGlV6PJullXYJbEFVUYlEYXuqX6Gi9N3INAnIPC2tERBlEuHJxwMGDjWuGqLk1XHgSxQ4POIM_dO7kFSe3Mrh1c0A_Nc03FTxaJXnjWWqghagAY6YD0rMMKvhO4VB3jXPR8dC3OB2626iYoJ_uXdlqiW5C3ebX1CDjDgS8805H_x6inPt1aYCNkE8nTvuURDzkOoxGTEG3Hcbcfc9t77TkTi0uudfE9aqmGnOx3smukpzo6pZRhwAOkUiWX5agGcfhcE0NPHU96BHjM&__tn__=%2AW&paipv=0#footer_action_list,3
