Full_Story_Links,Number_comments
https://mbasic.facebook.com/story.php?story_fbid=pfbid023DCJ6pSj71pUAMZmyshPdBYkSCUya6mRWUNDktDYE1B85WfZ1EQoHtKrSDYonYc7l&id=100004717806964&eav=AfYKTQo1z8zoAuzNgrxQHN19RFjgaVTFrATYTwEJ2qNVenYwwv6YXLRu1hZ_BvgAEp8&__xts__%5B0%5D=12.AbplYgJqBiuuOzEhMMHwtZA_nbAC_fPBUVqNnEZcHlUL60WUWtflelH1QWM3NVXoAL0AMa_poPVYPOTEN_GJDukHzqZIe-r5Se4-DouoVtCAK1eq0a2gBNtXpKcs72J9ADk_8g3JbdPpfWIx2LEfBK8K-L6tcC_gIl7WRcGObSzOnMzLCElY6uA6Kmyy6I4Q12dJaeThbL3JisyjnbcFpDt3pFnzhIJEF47XfPygSeVWqHtjuFtad_9jJtzzE8BoQJR3kHEexo7B6MWLuzvjK31WeyxQKii-29zqI-rz6N3lJEPb1LzvOg3Yvmq2Sm5Niw0_LevBLoyKCymE4IYgNl0QDkz7FuLsDYStMgVBLw8rSJxnFNt7rzYaPsOZ8io0CCiWdPqO4X4rbT27GGzDvXwzfPr0GHBFXYMjcc2O20owkbN2rmKDYXyW3faAoUkOp7Uei3rlc58mhnllj-FF4J_Srih05n62wfRGi5isVvFC9jX0U3v-IZNeuS1QET0ySMLyuVZr4Yb5YdXxyRgS9y6nQOYTnBmhdgB7CB0tt9BKgq_tq66o14qH1kPh-A-9Ie29GPB_RWdZVjjmRxPiRH9svybkOwHAcZmMC-vk0wrKoU7_Usq6pqby957R88h0Xy2z52pTx3kLs7i9qaZhkDRIGfxvMv8iucEBuTrb4CHuFRHO8GdGVWbz_gExLbg7KBU&__tn__=%2AW&paipv=0#footer_action_list,26
https://mbasic.facebook.com/story.php?story_fbid=2092360901083473&id=100009287504138&eav=AfYC-hfpd0ej76KRnGiFkvLY9oxewi_c-aIuLAKRBpMNmJ_0g5qNhCTQnBX6PWTmni8&__xts__%5B0%5D=12.Abo0OJ8nAzhCyR-SnYne8ur0MRI6WxqYlB3DEmF4IkkcnNCSe5QH7SgiybsB3A_qygnWFZE6umU1Sj8N8G9rUDOr_pROoERyTprQNLUk9g59Cy7gxn1t8JnD8IBPY-DYWNwCZvvXNlz5WQpT6FkNQS6nBhZlydxlJO-nblpKQIC5uCGwxKQBx5IEA0UsApH_q8tHg5m0XfwYYgDyE6YPQEFpp1-UVKYv1eIKUJSt48C6l1hBPwgWxHwEvk8HOd1-b-NsU3j8muwZA0q_SfTvg42KpmBKLMRfSMccyNJyJHvXmWEQsKyYxltBVXq0FyphXDErhQg7Q5Oyv2lCNl0P4UlEJDlGCnk_dEDPuY-HOYoay17IAGvEBBowWWSVQTnXlvykhSWa8d3nf6qkvh9LG14zGyR2LbYDbzKOlVWvS9yRoYqlKEQ0eijwkbbWYaJ8Xl-U_k0hZtiWLoCjaUb3wMEQ5C5iMFrKsBRuvnGe25dwQA8VpMDKpP7qtnfELNvklOFXdJGxPXOLThjwFnWv3soddWULeOP6hSuYnSI5EBjn5lj_QJAYcb1CffnGtXSLiXxfHPG_eUQVQEmmewtQvRsYSBD1-Zn0AwPjjrA0FnDeTlhtD2VERu9AnTsqgiXd0As&__tn__=%2AW&paipv=0#footer_action_list,7
https://mbasic.facebook.com/story.php?story_fbid=pfbid02LxifoNL8qpTKVAEdmy6dmxqW4FK7xeHUVcVaVPnU9uhANWgdQ2qcn8FcJysH3eeLl&id=100004839064471&eav=AfYjbRLsI5Q6ldND9HQLP2DA9o-GfjyfgnriU-GpzT-JnzeNbPKGQWYSIa8DD2FxJH8&__xts__%5B0%5D=12.AbqcULCLXPZdCybRvwJeaVNxMDI0jFegdVVS91IFwr0fLEKEleP3bD7A8FZB54_eaU6kfZtBZDTcND4lpevAZ-A_OYjsJL_2BNArHL_wRetZ0oZtjKVCLzkQQzaF9L4N_cdPxR5FEW4WM4sDr9r6bFNORG0yrBWvD7uPS7R_5b-D-eROKSG_x-VhkOnT6s_md4fOuNx1oJe6Fi7aHUrE8Ww3ufikgxtQMq5z---gBhNg0p74VL-PsCNPFHaWUBno3yfNxIFJdTmVlsNIj1L9SP65sdj2knwxTFeq2jjuoJsAam9TXF6BzSJKuFs0RbqlCqXfjFr6aglnX5ikitDSklj8Se7Tll8ZNY1bH-JBPu03ofqaoRbkXbY75ohuSqWU2DTKRSaiknfGYpJa4Ua3uBr_kgZBcH9Ji07J66JlAyTA3efbIfUqbARu4Zax-fTNRsick_21B5jT3hPIJZi0k7DsrMeaodK_i6TCJh4CC7R9jxQkZKXDG2M7feCAG7NhTzsYFFJK9_f0LZDPmoO-OVGZWVi5MP5V1mQ77Dh0Z5zfrKlEy4Jh1U5HmASMp1HvnQzSn2M5cdWKRanpIOgtJ8gKmKKMRrJ9HVm8y9kqN9vNMYRFeI6h61iLcE1lE1chDHg&__tn__=%2AW&paipv=0#footer_action_list,3
https://mbasic.facebook.com/story.php?story_fbid=pfbid0mc4ZR7Ccn1d6tsZFE5S6bnhH6TpNCLH4aoy1nLfEUPfM3vYPg3G3PJ8q5bBpw6tol&id=100002888862606&eav=AfYc3OhXb7ejPNz78BiYUGSP62zc_Y5-BfrCr9ZnNm0m14qiZTbMCyXDmtohCaQ4uVk&__xts__%5B0%5D=12.AbppPlxgZRco1Kpku-SbK8KQNp9RQ-BQEnIo5DD6eHFDuLbXlUVO8yj0VWK5rXMB55rfL3aq1JbfrHoHKZJl_7Ri_btlz82iOH0OLuoA7T8za37NbBURB9Ha9x8iGoiuGyVxHLFzozC8Qx2QnVhQ-hKAeuSbSciRS1ReJJK9kbYjeNEZsWeYS9j7gZ7GM_Nzve76lR719r0kz02zpvet8eRMhSu4fpi0Xbn0E17oFQXsFQodA5t2E7mU3D0FixvpctMh4f2w1WlkvJo-jH4wL-t9vuNDELTGOCXg1cer0j9IAvFLQLtViQNUFX1GEBwsq07ojSrhcu8Li7lUBbA-nY1rUzdtZr0P_iy562X8kaXxt9KD2h454i1zIG_zEPlLzF8TyhOD5El4mTSAdtTm0sJPnz8e5utIDagaF8cB5DDmGAy9FEs4iivG_orJVACFSPC3QxtX1dIf_wogSQf7LhnNyUF0SFrYA5vyvFbeuJzr1ErVK9-A4C_slAi4exSuwQxjAf5avWtpWWXvejD4877hywhc2CLN3CVgk4J_tNFJ-f9ZqG4g0gkbPAb-IrY04324F-0gUZ65mIc8rpdXBe7kL9M-mmslaoibE4baH3JLFCwWE1733X99NLyd3dhfvxY&__tn__=%2AW&paipv=0#footer_action_list,6
https://mbasic.facebook.com/story.php?story_fbid=pfbid027ZMvzn8Li4c5Dmf9TJJRkNcnY1tqF7ncV61ppbCgeGCziV96jrfSDTmhdMthimNAl&id=244393219319305&eav=AfbNFIaYQWwzMXROiSDIuddsRRH1YXX_G9hoW6ADjL83sl7C7mO9gRO2mayG4f6kHck&__xts__%5B0%5D=12.AboHS95w0XvVaoqqofcpR3W6Oi6rfbq4mKXm1ptHQpDBYyfVenwYfbaDKUy-zhN87en58zL-TGBHzheJifNZyzXxtcb4bhXERFCCN-aG8cC1wuuDM4aHpXJca1y6QtHNFJ3ETlyRckT5_sf4H8sBo7wIhW7A_Wgr0GK70_19nc0FSvuRsmaagV35qbmq9hYGfAvnwqgSO2NDy5rwMIldUo602NJKEECAMnk8fO63DZ_Y_tkDt4DRZtSePNmtRvA3rdBl0wZcVPF3b6x91G8x0Z2F9weRc8lFSiKQblVaqeTi00jYQw2poof_a6_Qwg4OWhmmihwgxwGg7mcpOrB7E59TEwVaQMZuEo_aX3vS7t_CGj0MxhOcw8q6E1HXpY8Cz_7TgbVDOmsfJRjlE4GMc8MeTI7MGbnMaI9WohEKX89X9vYS5clCBV191S18MBdmekiTlSxRCt8Pe7V8KxeKRo9b6S5_xyIVQXYqDXy4qc6wp4j4mKUvlohsTAePcAQXhCDf-9JWPbR6r7mfGaN-HFNv0JnU2s3aGJnlT7kuWOxXc5kGqMlBFSlGkibF2IATD3b2yeOY5f4zyfqHQhz1TJGGxXCfRUQEpM0YvuXBqpVWyiBn2U9HddbpgPfFtRTzXi8&__tn__=%2AW&paipv=0#footer_action_list,8
https://mbasic.facebook.com/story.php?story_fbid=pfbid0p76MnFVKejEboAnpDCRkHtMpaDbrzV4yzyLeTiGUeAzu2aoHjeSGHofUVcRuTwq4l&id=1401475740&eav=AfZI5CPA9vSumP18IWeiArty-BTbE8_7_4ZUUYSDdzWXb6vE48SnJfN0Fwe31HJopvs&__xts__%5B0%5D=12.Abp0AqRcR1Th7MsRN7KZGUgbIS0P4q4HFlE6tG9KsyCPnlhBAnhI5Bv-ShGJ_eN3lOylbT-KPuQnZYCMiU7Hv1EyR258q02qOq3Xqfy4WvPB02VcVQXdDpSK86wRu8YW9l2ZGXz3mjkaQ-RAHQSrjiLJCv0UEhRuSwWGHDSrRWwF-zOeZN2rxAXruZtKkoWsJVmtsiirFH-uB4yQrll8lKbB13a_r7X50-vXMqyQsD5LX9E_9B0n8nxPl3IHZjgkVP9jcSHI3kpQG5ELwZytGfYUuq7SXVpj5VLowblhS2HDXf5qUiHNfLwYYxgRkvG3d2AHKMALVl7GaCWauVVeSlV7kr_IvtvxZAGL6IlAs6F_hf828GmkTu_b1WrhcGbpMRJwyRpRe6OS061pmksHawQg_h_eZb4XqElPn7QPqrxyINX2qLtVbekaQ2pf-03FNJMhY2vlAOfI0MdJ5tPfm9bf0WTfUfc1iDe_swo9X5FooGqOKQlLJGxoRHV_Oc_-MMX0vmBA2NiVeYR59ZDWN4JBAI_Q1IMKsgEZa74cRl76W_Z3n9vTABoVpSS1f0laCsW2A8hB4dcXWswxbVdJqomCItlwT2_ifawuhN_HFy8pUEoz97rfVZfb5LsNksRuby0&__tn__=%2AW&paipv=0#footer_action_list,1
https://mbasic.facebook.com/story.php?story_fbid=pfbid022w9CGG8xUMc63arZSwxfASgZMLRmgg3yyA2d1xeCR11ypxeuYUzqt72ZLGfB1KeUl&id=100006866414313&eav=AfbLUaDkxoP61-LS8AkJCVrR4DMLP8Xo2-rD2qhMo5H8uYCNQsVaUqd5-K_0ByvNKAQ&__xts__%5B0%5D=12.AbpESlJGiDdzJVjkdIJV09DhrbAu6LNLQ4gXeaWN1AMf4wi6O-0JGA8EwfyVsVuD9Y-QHjWt2C0NJVnx3_3sZiWaYaty0DBa2pahS1rJHtEpPWgP2pkRizB2SUow1X9WXDFt9VYmm9-A7vTj3s5jJhJuoBiGXC0c9dcCigqp0vrPG5XNSUghanCslCHjy7UrTtuAohN_g5MsL0HJLpUL_UDky7woG0zHQl2svzJqI-Z5YKmwMkPysffJJGiG3XpPJjyoOd46YF7AK9qeg23lunIvGq_eWPgzTf_Vn2pZmC8-_5RcLjfFacubYmqG-jOwf9OurCu4TOGnJrsBxEwMsxKe8GYSQ1sUKEvgvjkVeBT0q3ifzfW-qhZLe9g4q6LeE9R_NlHJWIYLMw3_97xrbaVsv3z-dDNeXf_dhbKO8UroW6ubL1xKJyFSC2SE8OU9AwDNM8T7hIwju6MQYcMDuuJJ2snJmLw4DwEmKue2miICUVjISkc2otLT8j5x1qMOW_4hbSHENqynbyOLvksiykHs5xWscKxedt2zJVzL9ujuS_ZZRdCJXwTkiEDIGCnbB9yGpHQtz-5TK5x52Ni1ZartHY71MPhfIsdGGfG665sGd2Nyo1rR_vh4kdbs8mnWG68&__tn__=%2AW&paipv=0#footer_action_list,0
https://mbasic.facebook.com/story.php?story_fbid=pfbid0W91Z4Poq9YAcp31eXUTApepGGh5t3BcxcSvWdDr4gUYRyihc6bzXdd8BoQdmmC3hl&id=244393219319305&eav=AfZINbprnLLG9fSdY34btyxX0thIv7yGx1ocb-t-X7N8YUbZUPOoPoL9DG3Sf1uosdg&__xts__%5B0%5D=12.AbqatJ3_L1p0IZYD-sPumsPA1zkGhO0xfLljKdjvVjk5QNlTLv0ejLNh-RGi9r1i-ivF-_OYqPMgWiFMZKG1o0KWb6n2mQ-bpuFtWwRylV6u_XSJUfV3FZqjNPWpqLWT0ZolkF_03uDpKt4TeCkpgRka62VtRXn5AlCjIX07zilOy9BS9c8xqOj-T9Mre7TPdEs6fvJsbRl2OZlM0R6ZxPMthcQntZZ4knf8SYBmDkQu079zbSmCnYNENnC84lDEs0Qv3vE2jUANlPz0GoRJqpzaGqxvOjMkOjKTYY2CXhomDHRatiOA31GTN1GSq9tfHcFh-s79LI4suaoVdmQv6FBww9pSw4ZCGMsE2_jPPQYbfjxC3RSoUpGY4fLgE-nT71HjEEq7-X7RLahwC6mJ2j4yMNoL_tdsOx1xfvxTba3Rm5vxHVPqiYDvQaSQKLlB8osxc24YadpNFKrgW0Q5uJ6oAWgTZO67UYOQC0DndV5t7SptkmdS3qsaqcj_C9kRJsc2FOEZM20wAdknyT390nJZDqHIfoOmwvK7JYi-gBYi6iuqUn8KSMgW2SHlBEDCg3NijvQbKJrhjuwbBdwsrgCTDTrU1UJsyHDWQpN2PBgYmNPLPAUyqAyag0e78tVzqAs&__tn__=%2AW&paipv=0#footer_action_list,1
https://mbasic.facebook.com/story.php?story_fbid=pfbid0zcvUoBZwWCjGTKdW4UTteaUF9jVBGPRgpjkrbUqt9TzUtsWYdvRE6pE9croSk8vXl&id=100003794240918&eav=AfbdVHUW7ObgJM_j8lI75HraAFiLILak_2TJvrotDIKxhhsYAbFQSxnMQkPWAI1M0WY&__xts__%5B0%5D=12.AbpHj_AE4pQg86_98B40ynDiCvDE87ZeNlD7BvnU153b7y-QuMcqTcJfX0lqw2V254nh-dzAY6XfYwMHVjN1fLuGMFDpl36THdk2njJXsJsNksXlFRUMmOVXBO4LZxFGR2Un9hXoTDSmdMnrkTDNlGKSI_CSrrENvodHXmsmb46jnetWa0EUZ8bAF5UYT2r_y4JtE6aXfBZDIUkAOU1nM8R763r7q4A-E2MUgkbAInztJzVGAC6ZfQ0GBVWQyX8gJ9A0GZ7niaw_oxRM1qaOv5ITJJlyH9NfRR7pH_pskNifsGMGxwnihIj5siGLqdqj2xQ85xElbIXkl5ioEaoaSCDmIJzbPOm7gIUmbOTenKtRr4YZ5l_hbCxZLvaNChsgwUnGnsLJGbaSMvq5PrMkig34UBjsOan0vr4GH7PZZH6-PB2l9s4pQxY91aJqO2Mx91hWVXuT6xUy8ZbHKNyEn0cLE46RTV2ooiSnx0irKySXQHTu5QWwB6LwpwvUKXJ7ovPZTPWZ_2vV4yVApP8s1mY-rDqYSRPWWRq5kLjCcnd-5jktEIUNUPmgtNsYXqiiqffG5ZkBKGXmCCZsTQZPld14NrJam0rLCjUTsYPisquepcpu3ZkqM2VX-sMtSrEWloM&__tn__=%2AW&paipv=0#footer_action_list,2
https://mbasic.facebook.com/story.php?story_fbid=pfbid0WiyV7RXjsP6dgDAKXRpB27bMzT3Non8V3zSdiYvAPPRZw3WMAFuNHL6iWswJ2UnGl&id=244393219319305&eav=AfbQDYH_DBdKT5JRvgAL4LfTMbDRSPOZqc-3wdZqQJM1Psccu1ejBG6RFNpTNkzpQyg&__xts__%5B0%5D=12.AboHFEcPEHTShRXy0zTRDZ9OlTeCXYl8BoA95_JzT4gyzNbBYISP4StFWxdrT8PYOnvtEroE59EEkc2LSlAq8TLSHSWubL2JX1Vd4iLXWMqLAZ4feTAviifevoSVDOga_RA_9evW-tYXTWPJJbzozU3nFqHjWo8-yotFuDTjXtqUdE-JvPyCDjWwomW-BN6hwEW-C49K3hfRb7QYx9uygSsuKzY0n-bBeUEo1p5N9gS0hcO0A-ZPa6-NytnzFJ7SUebaufQwtpd1Bc-JMN5DnuZKaqsv3dwMHxb8T8ZSjuJLfUnWi2B_gTTn_cHNata3YSK3igm0svegwfVLj_aa6wU7-y6VSorNFBGRguwkjtRPzhKFJWs6m4LmMga_RqEHr0tSLrclPuoNieHZeLlUvEc1shKdGQmbQBxLjAAR9Q4ex2qxsnlKQ7Cv34K3fz46dTv0VIy2K_QAwkMtpb_3JyXsl3bPdlTHXk5hebZT05fOFs0sMoZa5BluvCe9EPtCntNkvPN2tI3Y0ZNo6BG2OBVZJqL1zm1JBndfVGkjV8-T2ZaZWY94NidkfANphv8ty_daIaQALyvQ3fnPT4ToiWFN16SJW_KObLtHlKnXOHHEA7YdvZjVSLn7WBUQb4qocSM&__tn__=%2AW&paipv=0#footer_action_list,6
