Full_Story_Links,Number_comments
https://mbasic.facebook.com/story.php?story_fbid=10223636220668676&id=1086159858&eav=AfYgpLVU718RXc-GEN8g4CY-SZP3ETj9QnvGsqxMVuKXWcaWb7JeTpfL8qpP2NP_VuY&__xts__%5B0%5D=12.AbpllDJj0GehRgGny3TgKqBwL3trzDj-Vod3nJ48EDxx9hcvNahym59gQ0cJBh3Fy6IPG4uIPScweBIVCMH-3b_5zk8LAufCXOBdCq4mK4-0ZnjPPfRUkpuSCEONsBukZ8vSJif1ymonx2_nDS5Sq9ygKb1KT389LbdW4pNGw5UuFfzW_TzaKdYPN_GYOT-vxm50JNXxAT7rIKoIIsk6uUadH4_G5v75hvsLvjiC-Extl1hGrWdUJqLgzhZISMI8ILxvrfY6If4UctvhRqGgjrwwHYh38k_yUV6qwtPXs5DbggDx1um6KcjfMNVh0fwg_ucE3URtY8PGrNgkjKgb9N-q21K6yWN2DnFTe7-fNezRa8ZSuw2th4iuquuiOLtKuHTGHZhURzBQ-ieB_wn6xYsooMNeMU5OxBvG8Y1YPmoagFF2-z9gq97g-r2h4S6brEGWJsrWHrOI1eV4PMhSHxSihk4KJrZeVu_9bQ0oaT5ERwlf8GvKw-VYQIrzeHHE1nn0RJ_GrTjno-U6SWeX4IVyTBnB2V5kW-dCTZKCARfrVQ7iQzzHts6z4FOcduzoJlRcghafc1-k-MDMhag3r-cWcUETB9847DsVJV_GDLegTlvM8Eyq9dYqhxkIFkx6FCg&__tn__=%2AW&paipv=0#footer_action_list,25
https://mbasic.facebook.com/story.php?story_fbid=10231795838543012&id=1355840364&eav=AfYjKv6pQvT89Nk685rFPOmJFuzQwd773aSB38Qa4prsB-ZuEcPvG5XRCvLwYnsFVlE&__xts__%5B0%5D=12.Abo-TcfW_G5ZJlEVgkmdokMDxsWDER1JrQxirIprLi822uO7TYTSC8hWax5ia2c1mAKRPvo5gQN6Yh_nF6l-0eYzKwX0c0lDX07p6ZCgnCx6WQVHRkc64MGTVC0I34blkDMELud37JSTaRWB5QpHrG9RYwJZXp3qHx_fyt6bc1nUYN4bFOTPeonWvIXrJBSJe86iCPXuPXZ6TmD4SYybmNovvpuRw9f4e7DNGLAr-wl5PBthONVk0S2866vFsiYll8EajfJPwEXPL-ZhMaSjqYSVRJUm5YsEsWcKVdCHqNgHSFkZKl2eosbMb-JxNgG2ULtH7Qd715wgs_C7N6KyNo_DUsU-GsqBqvtrrWUjjcf-vfr-bCWtfUx0z-BFcY4kaXuiOElhjGbYOhDjlqtPfw9yz0DQQtK5ERtmbfLAF4pvDUHA3qbrxapUb38d7tGtSw9o_s4Mo2t2s4fIeQI87SSDAup8reLomaBll2q4YmTPz_IdIdTsV1hHSMkztoGNGouc9MfWU4G07EoiMvkEXvg3z1wItG0zzG36zX4cIJxyyEnmye4Qup08amkMtO7-Z06PClnVJcKidYOtry2g2tsn6hwPmaamoHY55eaKe9VwOfnFfBtST5qOsDG0e2SEGsM&__tn__=%2AW&paipv=0#footer_action_list,694
https://mbasic.facebook.com/story.php?story_fbid=288300873891580&id=100081350076184&eav=AfYurxvuR5ViIRzjfMrrK_4n73Gjilk4amjFDKwCoDHUYNnMVqS0iUrL4xJ9-ST4ekU&__xts__%5B0%5D=12.AbpdCi8HXCcG6C1LJZWCkI0weMPeGVEx1qH45L8alrS8R4V2lloKB0MFd7JXIj1S6aew9NzCjKFtmYPMSPdnTSJmBqvetUci0ZQP8LvEWz2BlZ7kdEBYluM5q6TYI0Mh3TprL9EUdu1t641yvZ3bQb0UO7stNE2oOx7OsaXA2fV1h0iorbwUgfWALVWy3I33ao4GgBswmsPm_c7SZ14ORWHZiUhYEgm0RlnJercWPRkOcfrsYGiDiAKJDxSglaSwmVV-AzpqagSusDN-YgZPPUcZfQ2H8utq9WOXLc9c1n7rInawAIBw6MXrOxpTuse0yIRYotUrbthO0rmb5KsElSAHKbBs3yU_LPCf95YAYRLVPpqJXKPopOitdk9ASvruv75Vfb0DTCqFQw51RJfi4QR937B5FBiOY_wIxCq09r4UvkFr1-TqlsK4msq8MrTcKzV2XT6IkTJY2Yo1LYMS25IuEL7R7vqXMrYkQtcFxm6B_TE-VDx6mcQp5quowQbLdgiSQ_hexU4cRAYqgXmWffoaf1lDJStzN7MRD0kGlflNAHTokGS6e3O5qaEvn8s5hAU8ZZ7zFaQRGVVLsj7WhsDhm3xy5e7Jw1GZOD-kepdYp1hbIfEGP4GTGZOwqwIBy9s&__tn__=%2AW&paipv=0#footer_action_list,74
https://mbasic.facebook.com/story.php?story_fbid=832928328198722&id=100044446868923&eav=AfaWdxyy105g5AR-7pXDDIAHAulqjhh2OJLS3gaT5hcjqxqGjbEgD7nrHEfcJUX3MTo&__xts__%5B0%5D=12.Abof6R0bTmVD6L-yvXV2mE0KFby61vxkYwGrdm3apT0Tmv2OoOx5QveT6J_p0fM5vrlDMQ4HpRkSEtJlvi1-ITgutVLFZcsR9d4C8JVKma5fTcfso7_wLPlJfo3PpgjpN_OTq9ZYr4DZpKkN7P1ppaNxoxClcHbNZaa3eYxpp33EWGVNFg0-rdV-a6uaHuT4YYcfG8WkIwI6XfPHpQScWMlbaMgHWj3NvX67UfUg8MRM_6wwtF27Wjb35DwDTTX_YjNtp8C7BeluRzv6vadd94Gh9CGcjLtX4xjzifIMGL7QS7KY0mR1za269m8C6U5VUAxHaORiet2vNDB3S-rO57GBiVK0t3z0XMknVYUvu78ekXQiKNunTgXLwkP1Y-cdTovXQGra3WqABwmELc8FX_J5zqSVUJurPS_SmjeGzslH76LJtaRmHlmRAKqQHoT3m7PrH3SRMB2N0Cc4tD9npOpo3RMtqprv8KdSXA0sHgRTZsXfKlSp822yVxXIGHt9Aknd_nD89pIrR4Ek7U4ryanYMtOPf-VK0bpQDrJKpHSxjujMNwH0RI0Z2wPNdI6_H8exzD7EM0Gzs_4oB0XQVO7h69iE86Lwx0Uw0NZ6xpB91n22VvqOMFPRQQzJBTRcVVc&__tn__=%2AW&paipv=0#footer_action_list,231
https://mbasic.facebook.com/story.php?story_fbid=817484526426021&id=100063752550759&eav=AfalySn8UtAqTKpZsdsFDRHs_Fy7b5Jd4cDKsviAT-LZSDDf3OwZwY79JCmLScWH7HQ&__xts__%5B0%5D=12.AboCnX2jv4bWWiRuovv0xr-uw1deM_kX1OA8kSzy-PNF3xcDJ_uIaWEZKVD-r5gzcPBZvr7w069O9pJyEjxkz00v8hRreKYLeVIlN39fzU-bRmdNX71m-xkQ3nSsi85nwjo0-D88uTuioSz2kruJvywW9T1rnMZXKXEZ5uWgBYlfCzXzvfRe1j9O4-_8-ANHnYioygQq-ofwAcE26kdvjbF031fXHQQNLODCBnZU6AEmNiv1moKKv-J-3w-NMv4f6uZ3eJ94v1CXjiPd96AnKqsmkDosR6ACzVCA4gF4JJuz5rH4xpHqzofh_uOlT6PBgpEpRSXF9GwdEYKT2XfnVlkkZ1mAJvsTTiaACCfgl7i8f1QIZz9CJUKhDWluB0TPhUprzL3QNoPNfAxfUskGlVAYkBw2-V1XlxKGE68OADa-d3KODMkForC1PnL4dNrFxsqjQUGWn9sfXhq0HZMOQ4b93RS2hP1ppn4cLzeBEiLNDsg58t3gnzgoFEOSC5--4e5S-r2vf38tzmldK1vk2P2dIaL40eWzO33QJ89OU1cTOCEK1MOdrcJzaz1dcn-7W3c_wdaaOWj1X3cv-WozVYto_zOaS6AYu9F9tASyPjsJe3Eh9uDQIDxix4D6iACh3jNaT6BZ8hsbtPgFR63n0PLGISKrldCK5b8Iu26lQZRO-ElpMmzNqhYkRTeOunNEtKg&__tn__=%2AW&paipv=0#footer_action_list,"1,228"
https://mbasic.facebook.com/story.php?story_fbid=1670257826774315&id=100013703400241&eav=AfaiPhvA77_m17Dg3hAH0lQEogTnq3iJAGTw9BfHVNmnMuIP29z4v2O9reWJloZ65Xc&__xts__%5B0%5D=12.Abrahz0yGvDfZUUenZjW_zrwCtlsosySg4ucTx4XI9l5wyM4ShdmGZVa8P4FQEeFLIqVvUgrQF_hs5qzM7OTtNPmdAto2MVD-eIMPhySy2k68x2fOyfgsDoRMiekbTOmi1NISPN6Ndwf_S__H5_SSDlWhKZi8CfhnL7T9vHhFkyQOaDmKoNxZmuG4ya4XBE2UTsju--zvBb0wfKJHcOsYpZUmS7UpBiQ29grZCh2m1pW47SbKI9uCFdPTsDGUeLCODlhcd371vvZY4mtCesHig4m-4n8pVGDjPB4vncdt7wrbFBtHQBZFbBDeeDDVF1H1LSJQEmSLrWvYoXX58QcVVrFowugwQU0OT80cHytWTVJ6CB6d52T_tf76F6f-X13qmstPi_Jdw3ga9pW3wpVt8qPtwSc2-Y2gtPP21OcuqvjOPfPfPrWui5HxOve4pezkI8H9PUECR2m43W9lovidHAqMkFGtjfjTFX2mTJuhJSXtxhTG-2LNvrf7qYrUzUfQEBRj5dIwrj1bOY-stA_kFnYS1daDamNRLIkq11kljFsq3cx9v4-lwSoTle-J_aTvQquTeEWI_7ULr42PmunCTJnuWWF5V6zug4z_BiY3bXfUnTpWILf8vwcpqYQ7jBuYLY&__tn__=%2AW&paipv=0#footer_action_list,1
https://mbasic.facebook.com/story.php?story_fbid=599122302385081&id=100068619496149&eav=AfaSFuiuVbn8Skf12YQDKFPdKq06IUlIzVt7ko_tFZjvYduexGhh7YD0b7sR3ipeaqI&__xts__%5B0%5D=12.Abp8hD3aoXvs35Syv-KzaL2KmKFy5-izS53b_IsrPwG4wmRXiQ-LrHFTgftpg8groVlACcS-tgfYtx7AEQbCi0r1WG5nB9eEnWbQ0GrVyeAjJYKz0nSRkL2zrW8bf6-XVxIk8ncXLtcxcTQcLpJMro0Ml6tMxXWfruCGjInYDE2R8t0P3_SyppdxU-Bpsofl6fZzspxjwZu4RV9iv6FmHv17D9vlKeR0oUFgzpsuuNTCoCPErkAridpuxzpE1_V6FSH-GEzn1mtRJDS7buWo3nJ6rYbknV6v9oTEyJZf6Du1bozA-h6KUtsbznlbKav1tEqpEFwekGkTyBhZ2mkIDYTFxwU5JnvIDPguUdDWd7GNCbLopEkmsWGU0QkGsbY846J6JsjjmedWkIOzXMzaTbZNl1V5spgHNB4CbNO_Jn0QtEfoqxc1xwvk2aGZacnkpEMINGyM8USPpZXUqLwiccfIV6ZSbas5n9o4B5SpbwvksiUfsQwFKLItz0JnkiOOekn6WkEdDum_Rb8RMf8fOGBmkqLmm_9UuY_jBKkEU8wqzIrnH9iiQcvQbDOy-1IfuDlnU-GXpezMXYMCtrJEYGA-ieAPygmmDrN8nw7oAW1MRwWsbqs0S-exmEaJE-5k76M&__tn__=%2AW&paipv=0#footer_action_list,"3,876"
https://mbasic.facebook.com/story.php?story_fbid=990318848610617&id=100028975344993&eav=Afa4LRr9qObArPKDOm43V1e3TXP0R2I1NCprQ0vf-XUrJsKtpQwMMYFQcp4jefwR2fw&__xts__%5B0%5D=12.AbpM9oT1T3YoAqaDOz-m2ambUA539ItOsxdlKkTGaZ5g_CyqT6uFyRvs3FkzZXw1mzV0qpzVAYUBohNIiuetRBunRfccT0Y14k5i9mPzlqTsUVyzp0X8ttEkRP47UPoMbMYdYK5sIbtrrDYjKUpHOxQeopcptQwzrrm22ULO8bunXrVic3Qb_gwTXFRSXiRjv5oKOGW1pkyKcn31loLvi0zvJ9ll0JHXwlJ3VUg0iQi-fJ2dYKMF_mVl3Xpj_WOMVm27zF39gFfv4-GwD627vX30qANsE3TMMgECDKAZ1Ex8-MhFseiamc8eHOG9S1SjIE2ESn7DYpA1YSg1FU8Vz2XHDnLGx9q5lzg2h0i1k7Ftc0N_GvnjAj-SxaiH9TXgud7k0_x4NFQAaQ3Rf_tvKxHfFKMO-7cxCpdH6PFa7bnKNlgwEy6MNC7izNeCZKC38r-S_VD4TiqfNQ-lUUYHGlPdPaMvEBX85KhT20JRK_sxlgjn3o3iZtL5pkTg5qaxlSD-ECZdrfzWR5EmE_ix3ftO0vMAoXW5ojYECwXZTZgmuJSdHBOfRlKm9ngxLms1gQ_CiFCxsGhwNI5-STyg8JdUdey-TOWX4TlUdO1Y3Gu57Zy_bziO2YYcauAP65mjUbKXH3QmyIzgiw_8by3neKG4fyLj6Ch2hQj0Qc6AFTzXd3AYfqjmalYBypc37yIHu2w&__tn__=%2AW&paipv=0#footer_action_list,"1,940"
https://mbasic.facebook.com/story.php?story_fbid=985519416029247&id=100037135921729&eav=AfZCwcXIALflwDbzZOJszGPSnS74ja69NTkPyGMU4GXOSOH513vr-9OCyf2-8d55nIg&__xts__%5B0%5D=12.AbpFJj8T7iKPiudfilw_I5OibUepEJ5C3MLpXuk5n8RMqoUmFLH0bardpmGe__s27HyrZmZf86o9hN8D5tyh68cL6MgudK9_yOeL7e7F-M3h76YDLyDaMctqe9gLdX3hWlBD4fKK83Ea2uDYVq5j7_A_DIdQ239z6tkXag9_y2Lw20Tua2BdF-QnuB8vxa-cv8GJyXEn_KLmP4OOyTw-Bmuxca-ch7FmAdYr_grTjyQ8FYmve05CujSWth22o97HRDsQoHw0D6o68BBbpbqDbdNRdiroyVLVUFJXAaUTha6kEu_ZwGn-gr8ft6Sof2pVRbfbXweQRXOBeh6NqK9q4QZSQTnBclRbwjtdxnCHhaI5Qln4vE2giiQUfJzIl4f7DQxC7-ur3fzAc0kPZ_ocviOtgDRAGZLG2hgtoGd-rKGFCCqoAQVpkTKTv9ZYdrOqJPtg54U-Y20uLrVjIKHNNJxov4lzWqIY1PMkar1tuXINXTPmgttt1sy-rObAzcmEJ3XZ43kTHfjhqk-Zy1aWRN48JvwJBcLpfrz0G5C5OumEIZLwOO4Ko45DLpjsLPyAmINtVGy4l6ioSgrPSMDRYLEoQU2CnpNteCMy7YRdSy2RP4svdHvGUtT_G9FHAQD2ruAEOLxFiXlpUZNicW80sXcgfjwLHtvvnRcMQf0QhnGqxnhUzbjwks_4GXpD7LLpFAI&__tn__=%2AW&paipv=0#footer_action_list,87
https://mbasic.facebook.com/story.php?story_fbid=985499726031216&id=100037135921729&eav=AfYcTbHuXKCqeWT5waV_3ez0o29CEQH64o72osr0HKGii6mC-D5DUNI4Fj8QHyOR268&__xts__%5B0%5D=12.AboIygiNE751zTKHB1vIiKTIlojos74VXEJj9oexzUqaumfPGC2MlOHnvwKoIV88a3PGM0JxTnolZKjge3dQ0DAXaJstglTotesPM2By7nuhI0fL_0CNy58KyUlYTnPNd6gnSssPatU3QBE5oZWNK7gAr3oCGvZrC7M5KHWU2Jpyxmkpaxss1dXg6QaE57rD6MbEgv0BmFrDiHQ67-jchmis8TGm0RmqR2hzg6t5gcBlEW0AtGlN_Fy17en21GXZaRPgbfEe3iML01vWnK_EpSnUN1vciHGkYTiBg_moWb-IASsW3gCh5J9k3xQbKbst0ZkcZh15tTd-PZnGVvAhajL4kXaWYFxg0Ufd8YbWJNcH8ld0oD-3Jut5I4o8pbE0QzcuMQYXKk-glL6VZAVz83y6D6GJyhBbj9ZCkALBrPEUNprcuFQ9w5MvLce9In9adm_VkL50UXu28MiBePpq8mUSgMoYCCJWH-Hb9yGiWZyAc_wxEThAUAC7DvMase-EkVaLe9Pw2rEofXIvyTP581_dxw98m7a99sFJKUb-y_ne4EdunSOC8nbM3g_4-MIohTyag3bU-d3tOTbooMr0Uj6EIUlKSYnoN54-P5mqPQD2lHj4YBSON-WkqRJ1NbRBa5A&__tn__=%2AW&paipv=0#footer_action_list,31
