Full_Story_Links,Number_comments
https://mbasic.facebook.com/story.php?story_fbid=pfbid02nwP8QcHzUAQTkMgHk8u4gFe2S1ZZhuWQeM5gNjLx8UiRtWxsXCG6ZZTDiear4TAel&id=100044495141415&eav=Afa9WRR9PmSM_-i0Btd-t4P2eVgvABXWY8jaVCsQNgtiaoUFrzCxM2-rhZH6eVQ20Dg&__xts__%5B0%5D=12.AbrCr8QuGycRT97n9N13p7xUPrhJTzsF9wkvW-VDc1V244diP6GnhHh_1q0gEIKFeJXqzGGcwydj8chII5CLHm9_SwrgVGUp8sO9D5JezG2buoduixZM9-8sEB-EesEnUn_2fCcASceLG8REYLFFEsgvaGqcOm0oDP8W156iHHzmVRoZF7ryqUEk4Lf-XhWE7huuC0MkbfV0ueg24LsksPGLgUBtCMmwx5TQe5V5lpXcJNLksQSuu0AIu0V2pkOsv38YQrBTcRkO-YJJEuguaMRkB_RHOPA9j5_By7fcIAPaqh_wECY2ZUlPKuucyvWhsRBcTqtNUbcepBjuuZyuegykLkiVzhh5UNKcPp7fJuaCfWr9L6sb_7tJi-tLl9O-02zyO23edOu_45o6XaLSJiAvv5noL5uRjlwPOPSyZj79bRq56MyndeinHvwxewlcEEmBys3Rlcuf4tGlzn3moa8k_lsoIMJIa4InSUw-Wx2gcwAD2sQCbg_34Mz1T7BRmpHsJYTRbDD1h7wMdoYa8wPjF-xAgc-MijQ4FUJ1BXVwbs1KOKl3qc38bz4Xfz8FgMoPofR5AbZU-gYSwxlGRwx084jTSPWcBZ3SlF4r-tWtUXGxiaYw77oaVz02k8Nlp75PLUjAakSyUCXqofaYtiU7SxC1gb9DDItoKgCr3JZ9C7wgPAhDUK9HS070uYjVIk0&__tn__=%2AW&paipv=0#footer_action_list,53
https://mbasic.facebook.com/story.php?story_fbid=pfbid0RKm4fQbD9MSuBiuFe7nmVp8w6ERy1DUm88YVawEZ5BHJPppsftfrb2vN5DbeA3bvl&id=100085340333963&eav=AfYjZEuYqiuN_IohN9tfB_5-wRlYh0KAN2zf8V_kZcxnmKfrnc_8BcQdieyaEDpRXUI&__xts__%5B0%5D=12.Abocj8H35mydV0u_2vBh30kym2AEawPjny5Nrljwyer9EizDg8T1FW1NdWlxzT0zftnfG9W8zFrR0K4QDfiW0m5lTKSt96Few8CSzCyRNN2YZ6YwiQAgjlMavQHpiWR-QVWN6XyGx3Ap2KBYUskJypbZQAiQtftZrj9-ybD08uQ2tTh-dKhJ4-aCH-A3hXm4IUNeluZypUYTzS-Vl4uxxlY6NvP_CSDMioEuJ9GHLVYddut_et-clPIut47SkdBGhXuXwQfkRqBQECEsqCQs3V93aRvG_OLxv0lmj_Xekx0v-FSbxreieK3rvQpLeUPCSyaANqQC_BZ8d9WwYG1_GpWleVYVlddk25e9xCoUVnaLMnir2Sxwyw18egs01UI-eqFF-XxZ_sP5PzbGI1Q71OKojGj8Tzrz4aLOuOCZruYOksREJjO2Y01B8B0calzZAZWM1ur6cSlTArFXbacewGaoIZh0no2g_g4qnXORZJKLkTjaY_QAYj0bEsUvUuyP0Mw2NAJpQIOCz_zprJRhk3qlVA0V2_Upo0hOsqAfabQrYD8iJztdUgDejuNwIXIYPaql61Fd0end6UYb9XhQFMAOBJo1o026XRN0pCFRndY6h2z6upr1BycVkRRJv7ILKfo2C5eubLi1ChZplWxsK07JPB97uc8vPQSAxoxD5KjA5QJptXLdwVK6iq-QkvZmbYk&__tn__=%2AW&paipv=0#footer_action_list,1
https://mbasic.facebook.com/story.php?story_fbid=pfbid0U9FLioRpv1s4jVV16YMrsYmTSQUto4TAtMC3ssPCcevFvEJqbMjaxX3L2JZovjHSl&id=100056542850143&eav=Afb1zsaQWxsOtZCfoImdxpv2-yPSfbcexoBB6N6B1aEcRm_z8MHBuSypOSAJhnooGfw&__xts__%5B0%5D=12.Abo5XtOrSXBPgSTcsrPLKMrGCTzMGNoHqw8zZFr-rzWsEHZYJP7E7cuhEYSjNHL6YUVbbuhFIp4SlXu5ki6siZyA9sBYB2sf-LwJqOmCfx8cXzvQdAd9zFq1ppVDvfF1J8mC2tRexQ6EWB84f_T_PR7N6iTf3z_Oviap_jqWMHAet3LVR5BHbI9rY9iq42I0n6NDZPaRxg5YiPgMqzxdXHP8jtKTQ2EKfbTdje8JAXgE2-T7Q-V__L3qi5su_kOh7E8HMYvtPDGMCQuuDauQYjqrGrteDLcoMXXUYv16dXrjzUqzm4ubAHoI0yOwIsJ9l-1vHBUSbcTPkv4oU7LgimjfiHlNh84_FAmxPbafv49kzTA1A6CB6zDBSEu0GRU8PkiDzYTUHVPA91HVFKtzV9KpohHPtT9Eyki9Shl_Elm1S43k4SDg8DWFY3nhDxiiLXb6D3oGIqopqjy9arlQxPImYeTiKK_IYd2qXmFxvDNpGSA7FqUzHyFjxERYq_EltcyY6pC1868okQjOAwLHwvPF3Lovoh6VOUIIEy7eKeqn8TsAnhBMGtNNu-pWu45ZpXL-2M39y0BIgtkmNcKMgXuK6d1PrauIkcALFPFSRZCW8QbrqBfS0rztZQcRBw0xO9k&__tn__=%2AW&paipv=0#footer_action_list,0
https://mbasic.facebook.com/story.php?story_fbid=pfbid0NNQj3RQpXz7NpPcmFC5Kb7WgffW22DH1LPVfswc4y1tvkn1w34P7mzGuGbSSrWoDl&id=100085610351431&eav=AfYkKEeUJoFWAmfvfSMeO84EI_xxT7m5N53qnLhtr2bu2Ddh_RZD_IWKFTW5Y_qdcL0&__xts__%5B0%5D=12.AbqMCgrN4LED6WgBhvIvxke6FuDEgWo66zEF40RSWHqvoUqZO_sfRYJ5a0oJZeyeDzLPk6hyMXtO55QFLrt5uo2I__dL9FfDdSRYMLYxqRqpEBEFVT514cHwIIgMlZfk_69byBzi_ldRtXjucuXsKmtCDwv6XOxA5She60EQlevnK7hLbGpgrPnKx3dGfHJLEJy8YSihKdH3i2egmEsfhifvlF7SJeM5qUC7J_Jh31H0qDfXJ-G_8r5EP09WYqUchvPTjtIrifXjULbDsftJ4x_BB3Ir7DCZWwolxi9peSeWnO3OXr9HyrXXXKaGBpxWNaljftydHWPUqAt4UX-U6b6hJkb46oJmv4MrfG28giyAVzRAqGOzDEzDrDEEoVt8UGtDBtDyk9lnRHPNsu6XpMrTjlFTgGW1o9_YoMKvC7lQAImVnEpfWdcHLmz02IOUo-xgF75bBEMYr-j7sfTiHxuB4hZguJkHrsg_BDyEXUz92mhTj4BWHxyytUjfaxEOgg5BeMoweLgJbX2l6Eur0tdE5R_RHi_w_fNh3ZIJnfCLM26StcEl5JvD1RRxXbqKj6H_0vMCybcsMgnegogW94GLuvt4r2Q1gu62Sil9MToZOORJVqpf_DZuy73qIhX3sab9-0TvvnrdNcXQllXqzbc5tk6jxS-vULtQjM0U0jeLhJCZlRWpjjkb9_Qc2rKykws&__tn__=%2AW&paipv=0#footer_action_list,0
https://mbasic.facebook.com/story.php?story_fbid=pfbid023Zj9W9yTUcSRYuqLkmnEvmuaskeeqnznHEA56cEB3YgUTZCt6SZ2ySdMqf5suX7al&id=100071093861616&eav=AfbYPvmDUiYA1Mc5Jdu3Pa1Ro8XUquy3fJbWxMNQv_FR6Tihg5Zn5NX-p89EgpWk3HA&__xts__%5B0%5D=12.AboIHSWCoqQ8QgbHZR70U4PHeK_fk8EX7JNd93mGSUA6UWt3Cahar35gtv92sQx1KMuN29RHF3caGys_jDA2G5CjctYSyiUsi7e8uw7u5PCxy6TpMPwmcz2D_OLix3xP5zO3UmeyJhJkuz04B9gzrhcdYZF3ornl_4uWQi05DkHHN6-4md7L1UXrYHoR2KTvKvzWdg4tmluZ7F9SGAZLKU6ccPaHIAk5iwp9ow8LaJUW5Lr8RXK6c1nWb9-4E2aQhAThkf-UndBt287lOgEdVWiHTAaoNvHeaQUjkPj8nvDejVAxFAmAQZGniQAVINyktHu3Jb6oLpbjBpLO9uV7W5PJQoGVX11o_AqsZHGQeo6fKpnqhZmJ2fy9K5c5Qo5qP8lF26yADv04SjBtUz0erjdW_Hp17F9GhZdHD_qewpgnzNtkv8W38V5mUXVev6OWcpZHzUybOOXVeroB2cVQbpNn2UwSZb3y0qWqBv4xEOL8N9XFlGbx2AS7MQacxFL2UlpYnPbsEmRgHhdcMKHWBSUw1APK5grNHpZA7O17LQ3U8SbmASor4JqJAOI0RTImJDp8RW0Rx5ZUC37Diyxo-geBbphoBdpVGHbJg3otmScdhKOqyFkF4_RfNpPuNgervp4&__tn__=%2AW&paipv=0#footer_action_list,0
https://mbasic.facebook.com/story.php?story_fbid=pfbid02p2HcuM2BDETbu2u1NZJ2NnWydVZ51HoRdAphyFto997b5aBLB7bPoNmqmtxverMkl&id=100085739312332&eav=AfbrV2pnOmyBn88Tb1yyAyJlj9L6srXnKXoC_ltrLdHw2Gr2BWN_CQsSvrXxozdeqrw&__xts__%5B0%5D=12.AbqRJERQrUn23AhSpA4mdViW4Q978w-DxoAkPoABUlfGIVuhyxhJOGoKDQKqZVu10uaCt6fOnPQ1nuYa1qLCV9NIeU5NnDn2tbsy5zcp9uueCL2Ef95KbXIJChN77KiA_e76W4sTd_e1ZnUzqFI5Ck-r0WlqJEHaU9kBWcP75KtT0L_oyY23Qcb-Kmn70Pv6uYP2Yk9L59JDfCojy7P5pjD6-LLdkELpTrnbTeM5XqPPlKlmg-SElntUvcUDN41QJ8QUZdqk8hSpvzNyc7mbd_x_g6bkmnqemEkE4sFj9787ImhOfpCNq3qIfLcxYE6-AohR5hYdNQZUdTONsPgmJ4pS-JvihrzsACKrFAGsF7pBvfGOZSGsn3XumOQefPwz9RpIlPcfKBoURhQ94jYadgCaHdAIWZzL1GD926sfrtqRVfnThL2qGKhAqhNgH9xWIU2s0UQ92Amu72D7F_Qn-OselizKyxrA46EqsPfWO6o23WQb9-lQwtnm9JJ-7959t01a_9BJ8ntUDhePJZhPlvzqJIxl8Sjjw6F5eyVK4v_RJEK8bS4xG35-4VU_58xxClb8Y2MP1gx9jO0RfO2ZYMH3KSmdzun7Cs2_BpTTvpyZU_1ZMv7dVSDOvYeG6w6rTc_G9EsWldAs_CqosuK26PhY38yPD48AkPpQXISWfGub3soEdmKWMq32bNB-FolrY5Q&__tn__=%2AW&paipv=0#footer_action_list,0
https://mbasic.facebook.com/story.php?story_fbid=pfbid02nyZp4fPV33gV6hikjTipP2nAqejoDa1KF1vt4kWg5JLBNhNquG4wAfQcWnaDtPCol&id=100028530222084&eav=Afb-dRlKUYNXZzShNa42xJ4jeNyup-Sn2VkaWwWtZZfB5iCuNK-6cXBzpH7mIJBC5J0&__xts__%5B0%5D=12.Abo_MQ3uYI5E8NTJRfnRebCFN8CJuFydZkAxFHixl2BbFqtSNy9rQkELGjTDiTFSFCYWBCvFHkb9u8EPQQ7f6p7IZhNxG77tVtVRvBa50_ef-2aZcuU7J7kAS0O_4HeL7-Q_1UgcjC9w-PJnjqm9n0rJS4iE4qDny6r8oil1OsldIrbRKClm2LGr5Okmh2k9_Z0h5GI7qQFXpjiwpYjGDMaHF6hXnsnkL1x2QQbx15gE6xNBXJRlNpIfMFLoYIRSB4sAuaToZ7I_vYt7mEdi0f8TGJnTp0JXdiml48quJq_awcpPKfsjDYDeAIfVOt4hIO263uuZjsAftPimkefkFAzcrqZvDFApyKBO6WzhOA1MTPbEWiYyMIeFDesIVr76hf3fBttXIfSD3QvK90zdUzVe380DUgxRZIvWWiATExsS0TH2xY7QQ-ctJk1EcLpebMB0GAXsjy0T3HB5cPDpJmHzV_pJAKTj7FzsMwoCY4KqpDYP5crvIK0XUN140M30BkLcCbaoDl2dRZle4L9dYmmZoWwk3s7V26mPvzbEtU1EDm2eND2kvZc0O9eHFU9e6f52dG1v2bKHohWtbvrNBJAMYYZnkAX7lapuGOJh-y12lmK-3Hd1efxPatsC-bHKTOg&__tn__=%2AW&paipv=0#footer_action_list,5
https://mbasic.facebook.com/story.php?story_fbid=pfbid0ZUXkpkqa4NjnKUWSMk5CTt8H1bXotjGQvJkabwQLbkUVJmDGNHmUAEdv55Mxm2qbl&id=100086340997264&eav=AfYAe9aHDkfmJMFHT_hFqtZctKAKUz0Bld2fFGF2pv-dJrxIgqES5PFNo91Kq-0mNcc&__xts__%5B0%5D=12.AbpwFx4Yb2kxK2G7l6D5F4wrcMixFT6UqDQRw83cdJTeU7qhtRxd5Vygs4PUqL7unEEvJP_7lkmEct4OxP5i24E5Y5dOBQskap3kFOwjk4fNNBEVgdAx5l51RyUOwX3jdxJbVVub9rYBhc1-DfrpTel4O8ObgRSORiHEaOv8XQaVUQ70-BwCmrUOOWjKUxPYMC8NHACAX9mALkcDjibDBP2fxynDXvsLl83bZ2EpJY59DAzsl3di8eHvFVJeFH2C_DODPZ-4f0rhU9tRt9Q276R3h8exRRsMlj1hQPHnoGVxpOw1BFYqVj-fntLvASKB-1gnH4gT7QcAyymUNEIP2ApWiKqxhZBLbTOgBDPErAywgOkMLeaWsKCrQUQb_mjB0aV95IgWiLEifgJZVfgn4Tj6xbJDTQB1bgu8NFk8iKE0Dj45xwV1GwU5Lh1Q76EBKD-M-sGXJJLugwCEiqTeElccZt5AvrVQhzsdZlWPT5FTz2EALsITmaa2v6oN3aEHkEAOyIeiCTGOJ_CqwBGvCA_S50dVGahDYIfUIHQO5o6irayKughB8o4U2YL_LUgxQFoIuBA6BW8PojziI1y7fN9gXwesHyaNBNB0mkrmguuZbO6d9og8BRmxb5Slk_VY1hZVWbscqy8W2zOIIaPcnWXCPaMdeq70X3t1Kf6AsyC7_zav37EihKJwTSP8OI8Ad04&__tn__=%2AW&paipv=0#footer_action_list,0
https://mbasic.facebook.com/story.php?story_fbid=pfbid0hv7uwKKDwUzq4dtJ76oNY8vyzrPPQVMJ3xVveJuTHvQbL1PU8EZsdMgCwnNynP46l&id=100085938864757&eav=AfZy5ofUkyzTMkDZS95jedOVPe9s02HhxFw6eDIRUHtjaCYLNwzPuC5ZRMiYy_zEy54&__xts__%5B0%5D=12.AbrC9b7_vbKKn-La61FiTBh1IjqSZqQdQOGYDJeQ6SM7BqSxirH_XVJcKX5BwzFaubPQdBfKp1ERBMBQ8MSUNcCpzsMpoNCABvazU8JKg3W2Hj9NFVYWucJxLamqy4u2nDiDOuJs08tQHHdjPbuMEslFTUeiQPl3LOzcKB4jyhlNcjop459EXEzAltxqr_PwPTx55fTB0Mk2Ok4M9IJ0bYS0Zez5CJ0bYTp9OqEGB_ZMke4x8OO9vmUsJGco4tT22-lcQdQg07i85fl5aRAiVpgZMZefVfHZ0y9Ju5gdynbm_KnxvMyPl1f8Q2Mev_AN9SCux5msAgWseVQ47Xf5ez0d8bchfz1y-Ut5GTaQqX-CnGw8fKe7rCHGfch_rAuqe2ieQhHktWjfHdxQJKkKq9lJUW-ryeEn_QxSE5i8jf8PnHzrwTRD77ONofExX4CxzhuF9OINWLQDVrgj5OxJ4a8rcpWSB7kX97sUXdfQ3Al444VA6Pq_BRrHO7h66mU2N-JE4bYNZujPmImlEf0C7XxBBLaUoenMrvdQjkNwMJO8yw6_kVCJAsYXHsPqlNNId-zmPSnhDJOZMNU6FPhpAlLe1Yjc9a3L7hQ7XJOioxsOlavslSWr4YMcyEmBIQ7MLOIhMT6sXUsT0FilVhYIm0nsunuGjZ0DzQBA8bVMPO7liYhuZ2LhElWGPRhQHqvwjzg&__tn__=%2AW&paipv=0#footer_action_list,0
https://mbasic.facebook.com/story.php?story_fbid=pfbid02iBQcdESQe6uiEGX4aJH7yZXcD5J4MF9xqdZBrQYdPfo9SiXFtWu7LeBTCupDrY8kl&id=100070260780681&eav=AfZQmSy4k5aKf3P7340rN4uM2BwXAIZjVyjd3CPrsQeMIa4ZGmxFGk75bNvXjtP9OrM&__xts__%5B0%5D=12.Abr9WbVYmKI_NweLEqqvD8O9YqWMwvGavSzyCDWfjnMxDEfaa-BlMJEACAvy4SwtqdlVH7f2DGE5ZmEZc2Qp7OWwsIn0awvu0wnncdZ1H49jBi9l__ZxP9qB6J_Q_DNDPYuzzaGu90sRkauczas-uOF8ymubmIveH6uYrMaGN0J3Ab2zQuE4r4-yiJSJpMMpEtInAHGzssXlK7EByMeown8hTKqccqDooc3gU7WKakei4Ms7YsqZIVgTVHvMcwFe1Z40jHxEvRVWev_CIG7guqi6ESKrSWzd6rrRDzN12hR5Tq01DFgFJuVNSzrPj3v4hcr8v8VDI-CO5S6I5U4XOPeUyOGSNRiWDeTjHTBVGdT2H-DZjDJrq1xAADkmXMVIXTNR-Ik8H6YnVS2ieTw0qXik5f5zLZq6A2E_rrjFC7kPLdSuNLPg-i-Rykc1WI7NCGe59Vh4IumwpUoROWKqAtSR_Ka-2d0bO28ptLcOEIEWkQ27we-INyzybKRyXU7EVJwQ9R8kaAlNNgmz5RneYXUTWhvd8PaGXxhHQ3MvSpSJveASmwxzSwQa8O_MobfrAAhjmt7CgiZbZrLwMwrOZ-lxaoiWuhy2qBCrHAK8JueTRlymjrQJrBLHlS-wdcLrD-k&__tn__=%2AW&paipv=0#footer_action_list,0
