Full_Story_Links,Number_comments
https://mbasic.facebook.com/story.php?story_fbid=pfbid0uVeoNHYJeGcFSmZQzoPLXxnaiAjBAhSiUoR3uaqG2BFchza72mmpZQDS9faFZWg8l&id=100064535418879&eav=AfYkuyhm_FXIRcuEPLBNVl5i9XbNNgga7nUS-hlmWGRK24nL_6m3X_3PHwOxcHN5MU0&__xts__%5B0%5D=12.Abqkbmg8HeQCWYvoJUSNrQWdJuh6LBU-BIBK7BiQl7Fh2k1dtShoMdgmiGRSUbUrtjLYhVX5CqftZRCAsMjo0rcPV3HfIEa-bBIIghSmdenONz9OauaeXnMzHeB3VLOhx9OpK5kIrz71ZIuVZ82sCBnsj_40OaHLyp98eIrEy-COmyGdkIgisKqs6SMF8Gprrgny760FEONxIoSRTYLrVooHvDOkF0MimEb_kzj7FnwNmyt5E7Cc0B7G35N_86gjQyrg5QKvyJxUAKGX-sk2MTynEy9Hr0iQNiT2EZUBT9vawA_ipTUOF0sDrjAGBP5yskccrSn3UhbnrFssTwdwMZW-hmaVGq3gWVGDhyqNphYWd4lyv1lWqmtUZBAngD9rZZObnwXFuK8xie7GnqGDko1MxpWECYoSppzn_a6gIpeKr7pX17_Aa-dTAas7H6My95y3RsklzzPipbWOU4kxFLpinZKTQ4fkVyI9Fv9UeP-b0xfd5-lLI19QFthyiRFPrrAAv8i4gsvm2xRl2cKVQZe7Vpiq5vaIL04nBOjt1wY2TRlHnKpxPIF_ElbYauvm-oli1KxQ2ZvLjfLfpKWC0yOGqdDP7rbcIKfccPsnbGpj9MT3nrrVZ2rRxVX7CnndN-o&__tn__=%2AW&paipv=0#footer_action_list,340
https://mbasic.facebook.com/story.php?story_fbid=pfbid0Q1y8zkocrm9Sc3NbWzg8DzM1t1d1FTQBNrgVNPrv2oafZbM4tVHsKLNvMmcMaFmLl&id=100013518285955&eav=AfafjZvOC71Lpi3XbfJgDzV4NOgPl5AW2jRe4znMNlVfbVId9Xs6zlDkqMFxm-rOSvk&__xts__%5B0%5D=12.AbqNVGnaWnjq8XS1LLWTV2DwyYyXIFm6cOh6wVKeCdfEGE-3ktDnyNUsMx8BKmqT5baALtHmmyyU1jY6Q3plVMMJOeDJKPqgQ6c0DB1IhQtHqRWK05RmMziTWA2O4OL4-iHSAVcFqYqr9icVUxjBFKevwKEnoWsmBN1BGOTHEyKIhd3wfgjTca9pdeZhx184O7lzIW9pXafDj8TbaPha_lteESmTjzRVI7qKAVYFWAPMXASC1LHA6klgDQst6lQlrs0TzlklXGh-fFhkWyAcI0gEr4VESHzgcXrF0TgzlpuUkCIE-YHFbIU1ZPVhoJ2RG-n3xzsGvzG0KHUIOjLg-ByFCrwxLE7r_jJj5ySlVQ5hbWOvkjUyRXT1zlZic_PoxkVU8XSE6h5_oth3zLRajUsUf9sJPy4QhiODH7AOTQSNXwjRh6s1HUFj81MqpMTL7Q5Pnmbq44_WL5BAE1juH84XpWv05t3aWkvxTokYYi8usmv44EQYoZdt-XuUwPk7rquwyME5s4E3O4IUEzwgjQYLysw2hxacgsOX6dHDGyuIbJ9W9Rv9xHln70QuT0SgFPUoqfc2vU4xfktq1De9eiu6qEgXR0deOq4jbm6xgTAXt-p85XQSMexcZUwKvRqIGm5aE8ukykZ_WbYuCdNJr0WXATBMSpE19Dx3s4zg29z1oMdAyL0cfoshGiddAp7-nfs&__tn__=%2AW&paipv=0#footer_action_list,86
https://mbasic.facebook.com/story.php?story_fbid=pfbid0XQ59bDNA4mBabgLQ788LzFG3yw41YLTVUZbLa5BFTWtxy6bQJsce7FmZz92W1sQol&id=100044106323019&eav=AfYygDiMp5s0IHvKNvlHPqRCy6pxDQSTOks0Uy22BMMxWNA99qqsBVyI5uAQIQ6yF40&__xts__%5B0%5D=12.AboBamHMZvy4Q7kOw_tXfmyClFUdUqAyWRhnhc7-1gnEvf3rWZ0NkUVE0qgGs1AeaHSwIb-Lkx0Y9S-vvS6nHC3GxQEtk0D3bNERucMtePbZH9Al_4Cc_9fhkdSO8FRjDf7Jfr3fHpea1peklDCd3BLeOljEKdUWQOgSK75ZrdAUGc_jwFF7_-P7AtesYKU7vOSdUu5D5_Hi0UHmDJr2LB5JCwDBJCg48isd_c65pb0I8mLVX4xrzzKjdmq8uU-GkLHpEPvwL56gz-T9I4AYOuayGlYJ601uTyDGkOxZ0Pwjny0CmaxWe3pEi6Lx6Qe0C_uAuLLVbT7mNnoAUI_zze900l_uvzoiXT2wuEp5ls-cH96E6APZNxSFpAyIBFfcmxqhx_0XplsZ_RbGoV4k9VQ1gRBnrf7gQtpx8ckuapKgBxmf-p8grlmkPhu8SOPAhPVviuQIoc9duePbVrDgS-HlaYJwPQFKXp_y9AVIdvmVfl_CYLmQgMcvTzbhABVmrehtcVRSYWghhknM-U0iQfkXw_ytSpteTBHkDXYdjewjuefUnqIRR_sz50JvfWHDNnz-q_NlIeWck6H67kNHZGruW6DNojQsVbzjeXD7xU9hPqlSIVMOmYyFXjcvTIObepY&__tn__=%2AW&paipv=0#footer_action_list,"2,794"
https://mbasic.facebook.com/story.php?story_fbid=pfbid0Jt3UhstSGLdeu6qjwZueKrBEFdEShHB56CnS7Tw2EaVffjXBs9sZEyWnePoRpnTpl&id=100078260902718&eav=AfZk9o9NEtqEVBePPo52-43_W18eQp0shWVYlGI7ynTmztaJAR3GhSFmcGirxLLHA08&__xts__%5B0%5D=12.AboJ7cTcL_B8ibk0ZOUkJp6n-PKkFf-KCm17P5G9h_d1mHueYnxOdydGhKXaWrFJSLiWPqvdTdtwbB2W8Bgw50f8UewTynaCkRceOpCd_Q6tULHWeTI7REG-Qxz7i5ahgtAW2UmmiqRzzNeuRtlKTXcMN0VCtLhGkKODy5rgyYSXY88rwbehuw9eesVaYXsd82FgBoPnRp3SJNAIP2mUwe-2BrFmI-SRudLKruUi_-CrWullSF8_SP-HITOL__IR_gORgDG0N6HNooeyxKy96TSyOAoOMUPvkBTqslCzJq5PSZx9Spa3Ytmo-WRrVB6Dq7_PhZK8wF9czJWlOyU3Ajj_eW_E4TtwR4Zvn0-tvNJlARPrIJoj0iQrqjE7UxvGI_DC8UHgf6ukK6KkY40tBg6J7PKOQ02WaivdJLHpxjdTmO2-Rm7eHx4pkZ53DjUDekzykCf3LBDlo2MT1j6ASPC7s32H4t0kjoO3V0-RTYcHwll1oBNoUQPacQfxPg6LNHvcyuKicHw1y2B8EPZodZgTL_tnuSR5_HBIHR-i7QG61BHBEyNPNxW4UNdnqkxGVs7wKeFZakQQESaO90s4WX3DmZ32-W3rGhbwwdn6eFol7jLrjZfSGyklwi-SIgWgYT8&__tn__=%2AW&paipv=0#footer_action_list,6
https://mbasic.facebook.com/story.php?story_fbid=pfbid02L45bHgYmNNSkuGKNYrFf33BGHvsd9stNPTaBzBkr5EWzvTD4FYLtn8TzYzjPrswUl&id=100069717669870&eav=AfYNaJbUaZy3HUF0RgtlZlz4l_LJwTv4aNVW9dNfDyHDiyzhWidqmfCv8VCTGtyPS3I&__xts__%5B0%5D=12.AbpOTcQnsfDx4-2F5itDsSXUdqjRbXH7z3VkZIMXu1gfTH5lBlPCj-VCVwgcu6qs75kOhGZhDnfmILixNzAPkeMh3--49p4ZQAu88DylIAWilL9Z4nJlnmSGWvsLqx-NFm5sZkHqfFg6NpcW0TMGE8xTTDjoON7jj7nbkCC4Q7I9O_3qwAE_gJ7-kws_WV4wu_uqjebNTsinyB3zCOQ5qaQqGKh4vbZi5cdfdBIkNvZVOHOC6t-40csWaC9S-Ox8EW7H8U-GEjGBONjcz89WfVvg3LIOZy1IYWvNlV7cv_UgWYsbCjdobmEIO0CJhnHd_qlH5WTj-k-nhG6oJOKaTqXMLDnuP-LbyLBIZhYxFTCuXBh7hiDGAlmaaH4NPGjNVYymjyfN6o2QJ18kNs0lXYGvv4X1tTUerrw6gxtod7igBvgAAY5PWg7dCtK42Jt_AMXBe1tddHn5HM0y-uPTfUtUBw0jhMJTryzx7d23AAX61slXra_vWLLmzCjfjRTEvuez9d4Z_IPzuFPbncTeJeXoaqmh11iy8RdeVn1eTeDAodN1ADTW7Bxyj9Kjci7LutD_pirYwI1Y6nP22uD23GjtjbtDqFarI3X6_92mZ_8gQHh9_u_3hyuZmnQNvbnjidtrJW1uwgtMtfxLhg1F1WDxjrrQcPtgip_iF_pJFYznQdJ7bAtz7Jzt9wadFG656h4&__tn__=%2AW&paipv=0#footer_action_list,0
https://mbasic.facebook.com/groups/congdongtainangtrecfvn/permalink/1357100948224701/?__xts__%5B0%5D=12.Abpd7zmSjHKwlKPXnsQP4K0Z10JMpTKxKHdZ2ScdY0f8ZxJa5tdrcJ3ciQktmuK7jw7wXBKfCnDDSqOAZyx_u8-dNMF2rMjrzZxzFDvHCWzgk-yGeEKxTG-ocJevrNSpOiKc2W-tPGQRe5l4qZGx8FhmR-NEuB-bHffBU-z36bQSYh-AH9GCE_5BTS16k2BMrslhoWagqrUYVGyf8QJABxoS_4IIpw3RqGBNmnwKeDub1QnUTkdzuFWTmS2iDEkxXTmkYqCMvf5G-WNqXIAFdIYWuBCz2RQeK862ub4gGQMLN2HRx3rEP_lblAagTjZEO1oddg_GLKY5990A1u3NUgVI8m9qJxVbxO_Rznu2FVgu9iQgoheUsXhJIVvDfmN7DwCQ5R6JVpT1B8oF2b9GcNK8ethdIo7hVcxhN4x_RsMlGx-LJV7Xk28m-b4GrSfz3skqBATWQeB_4KIBvBjVYvuQIIqS9ETklvnSrGH7F4x5HB0qCaAvUMp9nv_nGfZsS65z_caUG8d-Ng5_jKIQ4EMiuPffBUIN0y8OGuvQSd0AA8mIdHzurnWn2Oje_VOxWmiOf5TuH9LDVCXQyg__R8X9LUl4kxe8VkIHfSemqoNPCWBrTXFrmVqxdwpvqH8LA-N_8HqS5jPgEN0GLaUv5gjpaGajPWMajubw6UxjFxEtvbxoafDZkLg8eTVuJRrwNTU&__tn__=%2AW&paipv=0&eav=AfaPsFmJMUALiKt77U6el6MdJREsIuOFTFzu8iP4zdS07sZ85xscWE1zRlbyokvZeHw#footer_action_list,1
https://mbasic.facebook.com/story.php?story_fbid=pfbid02i37Ey4idvVHrcg1Pzht2MUFLjg5HnGSLJZAqk7Q3nWJ2fGfgB5RsrfGCJD2bgtZkl&id=100064690086574&eav=AfYB9U0pQX7hCAWPqWs7E6wV-GsFwJ7GJKsLwn-wBOKy9Kt6gIagYO8fhtwRh8zlPVE&__xts__%5B0%5D=12.Abrp-ZXFnn7e-zN19K8CBxmWq0nXZ6cQfLxkg228BJ4uWCOY0mW96c2GKdE97e_FrmtgW_d25lFRwE7wMx35mv2lmVm-r_a5kah7E1EBXJJIUfX-yngrVroR2sffc1dOAITkHduhOhrp12uYQ9IgEoEh92ECNb0OouY-rml-g-vqgsdVEggwVhHgdJr1EX-gOF7vfLJUFszAazilyDeS1zh4y7i1Ps2nUc9Rt0FDzTznEAgB3MEkCuiAq5gQsGa4pYIqISluOTZhdiFkHrtCE1GTEh0YdBTTVCkdlpLomaApzkY8iPoxkV-Y6XRhjTBcgi6PiIXBo7BdnfOxudWvULfXG9QILvxU1sNpXHrHAoxlLwxr75m74SVyJLEaTmrP_jz7tcyt103MHTqaWlOEs75-MS9348yttr4jl7d__UnzXza5gdrV7UaQ-4gwkFDK16FyZFtUZmrS4Sd6epCam_3SFRePlrJy5BGuUJAbclaq5coqK8LOPFCV-1SpoYubKZmw8BLGrXVoLmbmakJVYhSJ4egx2p69eQKlZ5fNwFU13NetlLbw4Pi7Whxr4Rk4Jvm04YdVHEGf9Xj--spNj-Hi5_sGvKVpGbkRtbC-rIWchojjIEAiaUA2Pv66JM_xR24&__tn__=%2AW&paipv=0#footer_action_list,6
https://mbasic.facebook.com/story.php?story_fbid=pfbid02LLF5NutWcFLRuDpunKc4bWLEozDBhDaT1xAsxKZLGyDpBFhLWX1nWpsgKx21eoP4l&id=100006624248634&eav=AfZ6YOczjtCAX_8P9cCH0O5ueTI5b2eVJBOf4kJkAJS0C1Ys7q1-qwJrkdy9U2YJTyA&__xts__%5B0%5D=12.AbomrL88t3IIumLzD7UUQDA57cXW2ZXjZy9-uc_3jiZQ4sZ0k6P2C6T24X0EDtbMIBf0PhIjLrMea7vPT275eDqnZR5tKET11dy7ij7CWqsI5txSj3dO-FY72umYvOR2ZgdH8wNaNvmNrlXbdQmajjC2VJTirjMebzT5SQymMRKfO5V35Uig4bPrxQQzA4K9bQeYdqigSZSN_P_qlxg0hliE6pZs9TkJB8PZqs8_KEDwu6Z4-9atqy_edFYCZn6YJSzF0ZKuzP6YroDrnaiu8-75UxKGs43tscLtEnx0K4ILYBNjOKVWgoIFawIWTAprRV3PRETuOezl6F-w8p6bOhWcYTtZP_tdCbaI3gUbIEP-G4t_7jrR8AZba6nPQtEKA9hXTFru_SS13nxuMYaxAkJdAJ5aR_itRVjfzNtBRuR5Q3-0ma2ESsd9-W2RiIpmXqNz9EL6P4zQVHKWQXumS6xxwQnC1WZ1w4imZ_G2e6zJlztmZ8B5Z2Zh36UBBKkK-6HEbVDx_HFCHJLYPlVfqQYK3kzCAzPs5yoazeVZSxHwtH-7-lHzsXxJ2nlIonia7cz32yba1oKngwEjJyFjig1XckcWVwN2CL_cWG2srWY-q6puXS2kVyvdxsvMo4Hl7_4ZG2_Hx5znSK1wO7ht4s0qKmIBPoSn2E0INFL1BMxWuLmtQR_D6LSzfjtb6IIdvhA&__tn__=%2AW&paipv=0#footer_action_list,2
https://mbasic.facebook.com/story.php?story_fbid=pfbid0keh9mbByw2NBvuEjWhYKcwk8BL6iGNB3Bbun2kUtpXQ3TcbFfuUW8ZNZ5yZ2LkYCl&id=100068856796756&eav=AfbPaMmtwk-aGN6O8GbM5JtSIFdBs74En1ujWKt2OPbBc57D_TA9LabjAUq2VVEj1GI&__xts__%5B0%5D=12.Abp7uF2xWXoqSNSfiyNhz25dkvZMRL9ohByKSX9tVtXgZKjkjKe4hrXZax4Xmjob2NmwMckN8rRJWZVAygieKPDRLVwxJdsMX0fl_zssYg0kfgjswF7Prwn3OVFDh106VpcpN53aAbb33yxytqW-0pL0S-SXUHNjsPJzKakwm1idTz3eo4SH2qTq4LFSPrPU8HpOk86IGBv_GHg6Fpz3QDuoNBl3apPkxLhSxSyzJx3DBn4cXlEsqvv3OddXTsloERMlaBFM2_emRkqzIMfAqTGvai2yjSjfrQx6R7ZYhcONjmIDokCouQYWYC7h4POOaXNvrkrXCPY6lAsmZX2xbFzwYlPJdnSvqRgrYmu7ugEq-xZeST1aVIRKAaAwW33Odff9cu19n4Mugap9zfLsH1q-TmJb1KOoZcjjLToYZD4iFb2-aY0hwQgJw16qVo9j2cP3F6oXd6GisNVwRVTCOj8LHDHTT0LDbV7b--P2-7j0WCheWLdJ41cuKXwmmZ9eDxOG2S3149Hgb_8dnd1Zmq-lSMsv2o5eEUeFWObidPb_ITJy_C0hM1qSc416MAztWqDWZCdPEtPqnx7E8vTv5c_JlBW9uZEHeSZAG4wElEvXqB9-Nr1nQGLkezpfTR_-P4Q&__tn__=%2AW&paipv=0#footer_action_list,45
https://mbasic.facebook.com/story.php?story_fbid=pfbid02kiJ7w4CP8mQynt1NDBeViT6dVJt5d9g2PBFLuNBvW1ndrWd6dhFjvpcbj1sDzdAfl&id=100081101745847&eav=AfbV_TaGHrD0-JELTI7loBuUkklzu4Jle5mCVNgUl4ppjb7ahf5oVewbl3rqeqx1j0M&__xts__%5B0%5D=12.AbrmqVoMnIt4SB-yzqbi74OK8rpN0JcijoqFkOet8Vyn9kmgsbMX5moQIcZaw6nbtD-GqIBOMNqnrfAViwceMRVfuGGuzQzxCVetkaYg8JLZBwlNxgkl9W3HLu_E-VeQuMtQxcmzyICxAKC4tR3g_uj5y-nd56iMpflLhcI0s-no9nn2GxM36IEw3vCahLcilqVgvI8DJUgjAurZiKrNIDHTb5kxJl5Un91udpK22btr1dG_vLAmX6RpAEnbBhwk-HVDbzvuZgR5SjWrzNt1en78guZrdxobM35vKqtn_TBJMqUiul6UBV5CTZBl1L1nWHzfI_-uKLYCmhFgsGOgREbrgYgEXtdxEKFTgmIbNJuu5IFB96I7uiZTM__1Imh6DyB2512SlVEJ6AWYoF64Fmnf0FXt9BDjcM2FWu2tN-YCI3gGjwjKC5nAp7Lt-ADFYiWaWz5uhUKxdsEvthtJUaXS2vCNw929tGYhJIYwZdZhg2iqPLi41LmpYLs_SpY4KnNKCxYRsxVgjAPcecXeRecc29Gtvhh40q5dl-SlY_W_S8cNUcanTklyLJhxzZkKAAlvHTR61T18rmgt7zCxT1VpKCp8pm4QOarzFIGWYZ9iGmIzZOmxilTgx8_sKHoUYDA&__tn__=%2AW&paipv=0#footer_action_list,14
