Full_Story_Links,Number_comments
https://mbasic.facebook.com/story.php?story_fbid=pfbid0qz5uFkMW1BJuJrSpjQpZfmMgd9FNAuCcGiMpPnYfLrdq3DxFzACN8pV6wwjNq3ktl&id=100040481169141&eav=AfbG4-Xq-lrUJWL1-CG_atoIE4iYV5dSFLUDATg6NGT_RhKN7guPz5p0TdAVN0nac_U&__xts__%5B0%5D=12.Abpc8KrWxCTi8aYvJXz9VwJJifub_TP-mz-VKkaW8mSE5dsEUapR-X143NkGqg96lajlurtLuM4ldLlfaixJ1IkajdriHcs_yQsu4CdH6O9lt2lVSP7uwTIBS9tru95IYZZBzaXpsCL_blp_OJ8nOKW2dlogiL32lOBa9rxrdwhQsWKWoK7R44eboHxS9YfRmFSi3roa779ZH04kSEdqdA7q7oq1qX3mpxzYReCqd-42juXreJdK2w4-m5oYp6hbCw4VzRdzthYd3akc6MPpqezms4cgp4eMQVuyqV9UXiZVC97Eji0DX3SsSF8QKJMgZslg9Cp1-VP1ws-gzd0tPGk2HH3SemaKKaFBVpB83nbWBe5TcXClkCVCC6jkPAEb9FlrK6RJAyT4t8WStAaRBjI4lw7uSG86iH_49qAGL4Vq4SsMYcNTrrug2FxBgrOlQuWCqY9LkdWRNYSOcdbgxudecQSWPZ-EFPh32gVcESWwK3mIlDhNw7EzHeg2I1z9hGdkhePbqx8mKzWDIQSux-7w0eQNQWtvSLOF3MrFRTKsUqxSyaR7BM_54yrdR3419Z9C1rDVyf-PuwTbG7apjteVaTXcH4syU3DmI034u1YBq2wqL161HAJI4g1vJ3G6oAU&__tn__=%2AW&paipv=0#footer_action_list,0
https://mbasic.facebook.com/groups/792434257818096/permalink/1853599665034878/?__xts__%5B0%5D=12.AbpY41pHzxPRqt9KjKtRwjrcskW6R4WakI359LGBVEvwUsTEz3f8YF-kjAs0_dOaL36gj6SjtdV7o1-2K79dSlO0uVG7hwQ3Colt_kIYiuNiwB__RTZgP6vsv7BFLXk4PHlS4QTLw-IEcyT8-wsirn-dKt2ZGLo_EE5yK0l_ifB1bz1UbrGclT3R4ZWmQySS3piPmsVKAG2q0gB1Ms6HVixLlWs7euwp7WBjmJqgk0RJPIWgM2HGGRcH8PA31Ziw2SdNPUBkEjOp5afoXoG8Rpzrk9YT99hYtEcpOAxRiOSt5rkrYbtgu9EpX_UpeMN9T5SCfQB6CZFHj8V3uhZMpM6WGjrl6hlzCxiJ1c8fF5K-bcjzNeO9QRRWJ0FtY5XOGw6VAI2VgxVhih_YQ4ziknuXzWAXAEujvsf0ZfxYRUcDJttKFUvTu46g7YpHA274tGp1R_TGtn5Y2gGjTa6IIzXllxeW5-Yu6vzvNqcqYVmxVNV7RxY_-zcZDCdvmupGVVtu3hwo6OMXIb5H4fXuK0D0Vb6XJCPFIgFytp_oK6NobxPQvdzHOY_0LiElELZOAHlTOoCfVk81AV0aKg7nBG-1STx85xIMQ22lMcNLFJyIpwoRUENiqN7H430URCh9osU&__tn__=%2AW&paipv=0&eav=AfY-Pv3q1ZqJLnlcNOhceBm1-IfUiLiglDcJ1QaqlvQEE2tOI07S4d2jypZNJU_7F0I#footer_action_list,4
https://mbasic.facebook.com/groups/225534025708983/permalink/800345181561195/?__xts__%5B0%5D=12.AbpaWwcmds6-jwPyD2fE8n-BQs1_Ms368bGMNnDRhxxlUhc7bo6W8l81sd44C7BoSazsJFuzP7z0UVDji5nvcVgW6zLN5dBPfQ5IBKJa3rnxDUBRMmYfGxl6RSZ81SGl6QHs55wlAwh8ycHlDjX8kCi8bbdJhfnoVep2PIAtzZJQdVcs6JM3HSw-GfE8HwZ1nZJEMHkjT2sdFGBzStPiwsAIG6bCwI9dhj9iHRuHZkLzSQsYHH_FzTcbAlg61tnrKUP0QY-xyftYCNaH6n6pRPK-865fEgPsY1KBRQpPlTaaax342aP40OoHhFwIZMPoo8104pFsndmHw8bmW0mb7S4cZMy5ThBYbYwkPSyn-exWqjeskfHxnSgcQSxPxgbrTLNsrnuaWjqpU3ZSmpVberK7HJxa6B_CI0kHBNTCoW0yVMybIwTB6-PjpujagLI1U7Y3kDiwR0W3sa1HxLu4RL9GUA9Nk9E5fElj21uHs91UhpcfzfDtoXJYMIeqbaNMC6_H6_y6yiobSZlOSo8-7xj4JWuN8aB9a2YY8z40GcJadNZwxKmTKXNaQLxtO-IoIt7iiJo1WyS2DDWg78GeytMmKW-WySgR8AUdYJ_0isgNuHyV_EzMWn5RxCeGAmqOR3I&__tn__=%2AW&paipv=0&eav=Afa8u6RbRD7-4PdX2_bprl5U6f4sWSNrM-ZOQBxxp_drXRyxoNU5i43f1kQeHCKUAdM#footer_action_list,0
https://mbasic.facebook.com/story.php?story_fbid=pfbid02Ys9RKsQRqPgsfoynxVCReFjNuM5DunLwpqZFEA5tqGos6q2z6WiPtHWzjj3yaSKdl&id=100001981274852&eav=AfbMb7vWdo8jmR1qIvwg-MoPH_e2dpocEufiepRYkmC1U-QpGbSCguMzdKzAD0GWw7k&__xts__%5B0%5D=12.Aboc17WhU-R_G-QCfMg0g0Z2t5WU7aexKbLQ5kwEiOBIXUETyu54tWwpqppJ6PgzOXsSniyEYInnpip6PRPibYpez5--h33RoNiZI65ODBhJk3DkTXjJnYQwaJqdS9bk9slyMIz237BZJfCNH3B7jwgFvL8-yhnXQkXdL4R6xmz9uO8sjl1NvMU3wbl5cC98RRHm9F-HTPLVdjR9HHVFhC4f_nB1mU8AY89b0_DRKRtw_SOIUMXY-4MH4bcTJcUcfET3OCVdOlJ43qzXg8kv49DjFUGn56C3JKPdDPcPaPZRQ9gKdQLS0opEFr7OvOiYtxenboQRGGw0NGhZwPvBCPtsx4E6301AIuJMc6ycjsNC2ozVEKieF26HMwz7s-nYgfvOlndR9iLaMPmdCoUVHVatPx73_t_kW4UJ72n8ALzDKW1PzyD_R-Qlt4cZ_X1rYlRCrn4jQ1I70LwijRRBM26Dm1ZcCmosoqOdq1m_xyxixCgyS993ZIbkfGb2ZT7AZDn1c_Px2dRa2S4v4vmgR45H3IjItEzBq8oVAsuubSqUynX4cIi5ZRvkaGsM74aS1oOUQIFBmIJOi8hL8nEBKvqbEu2cOHOr2B3gA8WRn6nEabiG0NeJnerZF_z8iJbrB8c&__tn__=%2AW&paipv=0#footer_action_list,0
https://mbasic.facebook.com/story.php?story_fbid=pfbid02dFPQVgRm5dC5KmgU8W3YKPd15KD1HeytZNSmKMEkZDExGrDh8X6tooyqhLBYf4D8l&id=100064800486526&eav=Afa8oSivdGeMNRQJ8U7sGQFM8Lp8EsX6r2NbVPltLcng50U89DHhI30lgprN4pJqyrk&__xts__%5B0%5D=12.AbrnOXMe53cHJ2oqbIA3e--6Q7wv6LubQHQi8Uh_A524SzZFPjLf5pG4yDL0eaANy1RFJNzdBNFaa0BZ_Cg_NFEqtN41_JdRX430-qA8ammKiwUKNqz0Ov7uAIPgyBQCS4KTYbYsRls5Q0ZwGNuCbhO63uPDq3U4AgWdkhM-rduasJYmK3-fK6ipXRqxa4Zwp9XQ1LG-Ve2b6rzkq79HPVzPR86sN5pB7ItyEgwBh8qxJiQ6wZrImURD26XXzSP8m44RfEKd72haNF1MR6aw0pQtk4zinwbPx_QsDjwknibCPqbv1EUZJ2NiIWNBAA0zouJeXz7-43YDRJuXt20-oJYc33HT0kISqycl2xOvr286Ar-LGi9T59GRSahtr5QdrEG765h0lsP2UXa-NYaSNobTMv1g7HjGSbGZBxFr0d530AON0iFYepavDDmCtbu4ci99Qdh1B5sAUaPwF8Rb7YB__841rRhueMmhj8hz15NFlesnf6yEP5LzKo_9yLBfq_l2g6EB2Rw7seJxA8Lml7W0KYsMi2tZxTlPi_UIfvL2FOseXRd75Fcd8ZOlTCfT9n69hTf1qiZTHLB-Gpip-F1vG1G-VDWSVwlhQMgJOecRH0Bfmqiqchy7Dsqlhe_r-75LpsPRZdntNzD57MzpClxEtz6PUV88zXmjJoJ_dMEf-5omyKEcIAb1epo0gHfZyAA&__tn__=%2AW&paipv=0#footer_action_list,28
https://mbasic.facebook.com/story.php?story_fbid=pfbid0yi4jX6H2BBMH48PpyufGA6urNfnSAANk8xfmWuhwLNbasdcK9b4acqX8oTgkZQbil&id=100006916843168&eav=Afb3vs4s0tsf8ONYjsyywUKsvPfbZ8jaL7wzs2Xb3-q-5toOQI3l5pFxTthIONV5JP0&__xts__%5B0%5D=12.AbqcPeRj_DkyoY_1E_61W4pZ_sp5qplIN7Iog137ivtl16CfzyhycJkOWZpWBhG9lm7hgoqy414UmoW48qndOVo1EnCB908-TDmOpv3BG2SchozsAhK4q4j8Y2iOi69pWRWuovKjYokR9yjcnzPIu-2PlhJ4LiVD7lBLGHBc212OYBzYPuDDVQtVzAIk47Pvyam57324iCD3uZS5QOj3B0III3S9SfzM9a_l3RLexvlnATud2yLDH4KEvE9ULHPagDSar3V-T5PbGSltbCUip39bFv4cjweJREtCJsyXdR1wwhffepU54H0iUz935Cf7XLHz37vGIEsCdfeFX4swCq2igC-nXfsNRZnFdQa1sG5eIQmOgrUIHZ66-rxvArXBMVZJ5UP3Dx7ePy8AcgQ9e8OEXFfo0h-w28B-clZxX4yNeNYCE_x9zw0SC4zJa-vJ6M0n3xNtD-RUtLA6fyRP2NO0vmIIUrmJNMwCnpn5ZtxxMr2_yzYwQ58lyvLMEqzYfD7sbOdkEFv_onhUB_Xc6dTxkBzYA_g3gI1O5W9sK4Rl5iXcuBm52j44Lp-zZcmE09LKtl7i6K3CdRGLaLtc8WxlYNe9gGVGnNWPnRM15yqp7Zw3Z7iH1uDN-WCmeWvdLOo&__tn__=%2AW&paipv=0#footer_action_list,0
https://mbasic.facebook.com/story.php?story_fbid=pfbid0rzx19kWvZBf5xqc1xqqdjfFWPB7kvRdR3dVb8gtpiKBm2f8fHhmGMMs4BsPhCimjl&id=100014159340823&eav=AfY0oviRuBakdtFHOy17o-qpkdoUcUKTO_GiNOVcOrJEs-2Ktg_PWUkXou0gJlBMSR4&__xts__%5B0%5D=12.Abp0-LywhQSBF6WpayxBJbAo8PFBGsWmw7Zn9CLYHVnLxvG1xt9KF2-LMYI2PHkmo3T_WSIaIAMpLS41mOrbx7f0VqD6rw-a_ozF2smi78WaxznM7RcCW_Zoupojx6_ZS_FZ9vnW_764i6QyZQL7mBtejplWLP8a5nx4gl6RNRORaQIM3BUeFatNcyqkaN-7ciG2kqgk6LoCC1ZeleIINiDBVQjF0ndDh0DA-Iz9bCD8NbWh-aCqpDAF3SpV1ohsyPzIZCM7hvIZA6jFo95_v33ky9SyynrH-JTe_JIjYV7vK1I6Ai4d4v9hwa__XWMXRqxPyo4fY-7e6mGC9dqhZ3ebuMjqI_ZvTzN5YoH51VBw8HSR6irjFESZsxhZFLdAu5Nqk3mzTp2SEDElea_j8CxnLCN6pIawU8KOFTaOFuKaHLjifpvOnU1vwLKhJdoOP4z5yytg1MSzTUSt00JsR347TT4s17Kp3Ks9bGPmE5YBzuHcSV0mmGQV7vVxCcet_9jFb3n8A3ERed0vIGZF3J5ywemOknIXCXlEmztbJu6UqARtuffh7CqkOo70hTCw7WEMZgjSFc4bLtrz4a0nEitSB8EooOwmPn61ewoHj3Mb5ptCpJYVH54Psd78N3-ADlQ&__tn__=%2AW&paipv=0#footer_action_list,2
https://mbasic.facebook.com/groups/963499211561649/permalink/994021911842712/?__xts__%5B0%5D=12.Abo5O8lpWARklgBCKDhiVdFrhuem83lgdFJ3CV7eRtrIJiV_GTM-9TuXQg14pbNK4Q4WiNW4ytQ90v-2fcQAiXQrdaoPwU9CbmNVMRDVPue6gFgnXvJqQctA8ggWw_6-gcPVTG6_KA4lY2Ro-mxa5wi89SK0q3aJjiU3HdRgX6U7x6zANYn6nDpflwIqK0kph0WaeEuhFBfn42BDw18ZkK9HYVwhMlN1JJGu46I4gC4ZoGrIs2UJLML7yAYGGKuV_831W6_Q4odX4jkOLnHw8x-mX2n5hTdhqMr8As2t9350APoRp5-jgEAgmaoxBPHxcGsNCQiQTiWJ7lxgq7YQhIr5D9IMcPtZFern4mmUzKoDq50RpG-yTGlg3AII4EDrUWXAVFMjMSCuckVfvMz4sOXKjBo7zmflcjTODKcct4xjMWfsOqWbZapgVLjwbi1OQ7l_9jslAy2QvPKsMrDx008eD7O_KAP79zCYdkvkzfGwpKmHgfQDnRctIG7HfS3PxCkHhM8jWas2V7IWTUCOtgIV-UwjLCOUEf2cwrOPZyMKJmLUYJ3NDrMGm6frBlgeQVnCQs6YYiNQNTLqhmCZw5wiNmGp5A0w3nEOdyufNSGOfALXK41hSAkeEXfGCZ4AuZs&__tn__=%2AW&paipv=0&eav=AfY0m2uFkare_kRM5QZBFgBwmsnxNzN4coL3O9d5WWUbDb58E4Wn758dAsYUZUN3p7A#footer_action_list,3
https://mbasic.facebook.com/story.php?story_fbid=pfbid02jzgo5qeFRiGBNnmx3Z2oNhcWk3gpyyu1NRwndpppWKP2tneKf8GFoa2PijHLzw1Tl&id=100006916843168&eav=AfZw7Mvcg2YzYFB0UasM6sBy53vwcOF4EJY0j6LZunY6HiRYKEldY9LeqnfdcfNceXw&__xts__%5B0%5D=12.Abr2DRCzTOva6bixGp8x0M4BPZr1J_ncEs2zz3WTKmmUAsgerYp6e7TLfdCor0lJu5BjD37PFRV2_ac3UJ2CDeeahDI8WOzlXBFsNiFqNgZPmlNU7sjLf7hlHFWfxYOgXr4BCT21lqssK70SmWEJNMmE0qyxqKmJRlvBEafkik9uswFoGkUHRkPrRwWxZcPaXXZ89cqQQyT57AhEnEgD5fKIvUNmYBnltwZwb_aUXMQ4dozIj13d4CA2Capex9utA_elLKafMGXINfgjJQFDF3O5YrHXeNWPKqh3UbJhLrHhxwQJToOyXH36LBDoIVFnKiMIhnn-IR2m-pr5e5Yiv9PxVYF1CdRtOwIuqlI61w8Dl98fZ0Kf9_uXrNNgYdmAB_2qTLy1OYhucuNtViidXUzKJdj5wfWNQErz3-IyioyOkRdICZJThIE9uIzJjC3Z9iofSFft73C-gaHO2LS2XUCFdiclW4iZOwQIUVjJqecQhtIzk3EO0W7JpdeC0WTamQU3ox9hwCywputO0Ocj7KUlzkVnMSJISz6-VjGTjahqqjhs70bRGMRvAnrXHEY0zVSABwgIwOnx7WZCcEKMIIWR3MO84rGiepOjSGljVamL7tQ2SYSdQVK5-Htv1bPBCBo&__tn__=%2AW&paipv=0#footer_action_list,1
https://mbasic.facebook.com/story.php?story_fbid=pfbid02ZxvZSzXiAUAbuyztjxpJUiFgoaujuiQ71bteL1yLSmrTGYWRSxpmjE3q6sSdrjnTl&id=100003566707977&eav=AfYhGhHfU6UbOR8KPadn2d284VuzJ9AiZKR7aWRjuq5bbLCBcZwETuJXG-O-_TMAgbw&__xts__%5B0%5D=12.AboTihb6c7Tzwg_qjGNQP2cloqqeVkw5nkALkQ7CH_xv6U5jLrEp4ZhgkCl0ar3mTwQEjYV7zJHOsMlKW5999_GRRbanNpMQgIgFd7CRn-K3XMxDkpzaKSv22kFvTWTMgoWm-wD90f4r0NFRGyHVw15oybqu8TJUoz8_M12Li2Xi7_2AYfNZgwVTI9-ZK52lWMgGPT_EAgW4u9AC1Op4qPdGKQxhLvIO8nsaxXswL5pDvhSYsJXjTlrsX-qYcl3o0GdPwpoZGO80S4ZEzVE3cimIgcEHJABAvbAaafmI6wjl4tbI_zOR8Eel35MUp-MNPW5lc0r0DMJ0SkgJtgZcxmcVoUzDM8iOuy7MDufZPqCv4Ob777897VchN2rLYN3YyAqCr5436Og6qaa3Ya51JAYnfBHd3YKjnwEF0SpDnGXsOXAttYp8LmmnoBFtTfMGKH-f33zXFZjLBvPOZl3QJJeatVWdH9y8Gnjg9FPvZextKTgDKItIvgdnYBMwBWpFHV07IB0IvjEgWI-MUGKlFnwnlb-am6_5y1emJp3fhbFFLDFRRsMV0cB32Fl_EB_N69-iyNkINA-DRqxYqrskSI85OM0-x_yBY9RtdjL1sXMfwi_GLrU6YicuQRnSPj_7CF0&__tn__=%2AW&paipv=0#footer_action_list,1
