Full_Story_Links,Number_comments
https://mbasic.facebook.com/story.php?story_fbid=pfbid0d1WzuvqSmZHCGaC382qAVMxLs6qKGe6hJqtD1wQXCXKtJbxkRn5RWYAbeqeqABQZl&id=100064390883290&eav=AfbZ7_dAFGolUL3WjQlU-aYhlGdjtSE-iiRKjP334b1OoOUisBKREsJYb3XuJEVYKo8&__xts__%5B0%5D=12.AbrinChWDyAUcJufhKqI9nAFEFMpYP0jLpdlbHaynnIhmzAEvv3gtJY47VuMXjvQLfg8oZbWfevVURiCMNpOYqcNrcUFd8gWXHiAETIwVvtVvNY8z8DfvbB1RhHLDwqN4jE3q38paZ5jFpI8uTgsilJS8gBYFMPUMfc42RqhqomEn_XjgVSlIZ8gJYLxv1qxjEk_6J3t5OX2y4xcjNurAXpid4yyXC87DD7-1s5D6czcqP0XwOseR5AkLlwviv-bE-TkEnUr7wYZ6r_GUbzp_Hz50OlT59EC9gYjxNOmJv705NlY-O_YqHVA-Kp1r7sS5nV6j8w1Sle1dskuatDbnuyyqk01gee8sfbflfm3xJlcNlXiaGMuXUcJ4aRO9yNJ5FfybQd3XhKYgb8sYecE9ZXta__wiCr8D7MzbX648h4CwiShRKxxJZaFsvWk_9FlWDFIkQfT4MvHk63lpSV93y1TxppQR_3B0DIO6sZLGDLOeVnnANmsBjyuhLYZOpqWdfFg0-Ro-bDVQgXefrGHzW7xB1-MnnvV9RHEVJS8eb9m4hOnamSTMjLMlw953tM2m7pU0WNqAIno4_Q4ECfN4kNnEwa9c-poHgAX4xZd56M4gDg8rKYq6WiPGDjnfN6hO-o&__tn__=%2AW&paipv=0#footer_action_list,8
https://mbasic.facebook.com/story.php?story_fbid=pfbid02ma6WVUMcULC2BRP5zsRw7EWeAW4qkug9tVLZaiEaPU8GcwDUrt1aq8FWhek3cQ4Ml&id=100087478897202&eav=AfZEbHf7xhwBz30pMBSAQyfYuVeZ1FAEsVxsW-x3W_Si7dH7ECH8nHm-xGRw07ZE10w&__xts__%5B0%5D=12.Abpp0XAjiQMKzZ0YjkDl2XC9SwllJ6fl9OOP3UbLxB0lxUs4w_lY3YVn-7L_Tto79m7wQsgyv2aq0OO5F7hSbEyhvDfKS8erwAjYVSbNh7EIrUS25G1rtjS8_rh8-lLlJI43slfGFMYS1Nf8EsYgCT8bRcspUEyOIuDOAT1YvKBcW0AdCwvB38xjOn15OQ8xchh-pPe39XUL1TfPl9CU5wY3IQ0NYOvpvG0etBxs1GFhmAjgVPXRMpVkS1FrpOm_-kn-N33O_NY7TSXt7wlCX907JJhVKJUh_VFOT_VYaqH3hOh7sT1tWV20Ksa4O67H1-t8dh6wVRa6QaCk-LdpXE6rY1SHjgCefpGFoDtPXqSbcphxqWOsK4km7oa1z8xCwlK1wjZqi6GxSKJ8v3NTbFJP6bXLU7NqEr7r_OR2OmssBiwJRriydxdkP96dqMTE_sEzoGR3lGu4dZKR56Bgs9qSe7aQDEPva33Kn7WI8uNi8J6-Vn5OsN3tGoXW4v3NZ78s9npyiB6azYtKu4Y9uHdNz3pMrIcJDOizJdZfvEWl1sBPWrxH7E9DLLJwF90dKyFIfEIvKZT1qg4v_roIGbusiRu5LmyWA0iF2maH_NLLIkxPKhUMV0wk2H1v3Ax1Y0E&__tn__=%2AW&paipv=0#footer_action_list,6
https://mbasic.facebook.com/story.php?story_fbid=pfbid0huaF2JYMJFNKHqoSMQboTF1Pwo1D3yTunm8evFrNu4u3yB8o8gM84JtqhHF5dZfKl&id=100063882960309&eav=AfYgwVLcsioMomvZORYnX_w-Mxo3f3h1UELWr35vnf2fDhiZiVUucMC2W3-n8xMzTfY&__xts__%5B0%5D=12.AboqXo08aPl05mS8WizezTAgxK-BMoy6vMbEcYNIOKfmUlt0xmiKYvhauJDIdQUZE5w4RnRgwxM3g9XVqJ50Frrxvg7nkaEXwF6Jdl9I72AientXdkq9kfgACy1A76W1pRrzDslOOCoGIppHrtKtV92SSH59PPuHf4lJdRDDcx9m9_JF86uZ7GLHWnuTQAuwlR-8WqJEM5xDpDxnHPdHyymyfUmRsTOJuSQir5KupG0l92XgwrefJpBcBgCvi8LuMk0jBCkpfQ6ZFBbxvrg7a2qqnfs5AdIBUSHfluBOsNo9BrCycMHxA2CMSbJz3GecAltdx_uqlCLOLCUlkVj9Xyxzt8LFIkHXKuS8zQCl34NZgIivdLbPPw2ACQmGVQ05E0RQQqUzT5pRWytq0iUeA_y9Hpo_ZoatCaVh5pgOQdjymIVTIKq3K5zG0plKL67tTJa5uzpce5FDuweEoVhMN9K0mmi2VQdjmbm6PHfdssQDOgz9hPDZC7YLEN3EzD8Phmel0Tx-9M2wZNMPJgHVsFdGRuMfHMf3yIAfoEpERM7eyNKNMhy_e9tOIwx6A3cbJ0OtLYDcp5XnFTgXeXpFzjkTa6ThzuUsBPCrWEoUgd7APdwBBQIb1Flc9qkuJLENzW0&__tn__=%2AW&paipv=0#footer_action_list,7
https://mbasic.facebook.com/story.php?story_fbid=pfbid0fTvn6D1ZN2fvS1HBFXAPQQf8FFYQtu7rNZbpej9QztSfrK7r5yimZGkrjfv4wao5l&id=100063690484655&eav=AfYWd_S_6Y19lX5ugGPq1mXZLKR90uFCwjasFBQtdvUnTjAPczeYlXoISYkhTcyFqAI&__xts__%5B0%5D=12.AboOhZziEsdNM_YNzIxpNyVm-4wKpzr8FLvj34n44P3MUc4b7mSzopsAdgtJJ4gxjTvNKIUIj_PQmiItcyAPvRndQFAyG5UDqMuOx-bpNOB2KDMe1rwhjTtc7YFt2b2JsrNUpWwOiw-nWnTSXWFDL_oqkKG0dUna85JVlmScqckk1YqVk_XVCxwML74-Nk1mM4jPDqYsX3PehONM1g4Zg_9wHYrfjdZcN9dCN1tC33kdy-JfRWF4YbG5nFaSI3JiffZcWHYW2f3chzV3sp3gZS41WbffDukfrMr3diCfGEhiTvH0n4Lp3nik8-6Ykrmgz_IYn9c-ufwf60FWkhDLDx7MNgSgqJtScV31DyG7aYjgeXALiph1XlLEYl1zSxHoRRWXfv-U4t87DwFk7xevyEiFtklbPPeBfjaX-8TO9nrtD-cBkmn4DPPlVZT9RMQehnLp_FPqtZIFq6RUXIz5ORLxEltcqNL-pfUizh0o2ufoYeiItzy3vC8D3P6icUWh9RrhtbGSpWD3aEzdEQOu1SZbQBJyjBMtnzy-T0Ua2E_Nu4kfIcySmRAQ3OdxbyJyiOlwBhf-x--N5f_mugWxXNEL_HDq0J4cmHMGk3OlIIZKdahtlRJQoF3Ts_zs1o3aVVA&__tn__=%2AW&paipv=0#footer_action_list,29
https://mbasic.facebook.com/story.php?story_fbid=pfbid0SoAQ1tny8bpdaiHU6iYr1WAsn9e8qFHEEA4D2ECSmof6X79YTHLS3XTPQF1Apmvpl&id=100064566946592&eav=AfbCknnkW-wklXDwBvmswaK8Uc32ecXKHBlTbn1SXdVKZ7AqBjIv8oPzhQOOYoM7y3A&__xts__%5B0%5D=12.AbqsOQRyXcGB4RqMwz-BRdYd-V9kJRVGDR5LpoC3H2Kl0mxXi9S1I1aLxCQT_krevz11sICGyRo7839_3CZAJuVUMGulGuTBVIih0vYl71v-sGMHpWkkyi43gOCTy3Vy5wRW1LqODQhaXKJ7aeJkUz1nSWh3EmdcaTWzH6w178xIQH8sb-HFkhP3uSo5Vfui1tKluNYKf7cI64U3JEtb8fC7kC6BG0aezcGZJWHDn6I2Ar7I0bRRbdGZiBSPcwWoLTlUUrtw1ewaZZDNyxulR36liTLWZR8GHeTyg3xXlkU_akJSmEO6tsIUgchbSSZLStRZIlzU2omGKKnuXDoDffs09y8v30xD6_ZKXnNvy17hKld9Ma__uUyzHprIlJtCBEg5ad0UkRXex6QjZgf7PpF6AGZw2Sdg-ANQwkk4mb8bIQdn9hnzJA8iMzBybyRiLtAdk7SNMoPkKS3KUoQVMDiZDxOk1nrW3et-J4lBUhRy8e8MlPFzlU7Lf0BqmIOhKiaQG_xIjLb7--xYhCp8wk-BDVzJOfSj-_WBkKKW3RQLKpvm8ddAGq8tt146V_CqmmJpPlSJCAn7TCHQey01iIEcf-kG-fDe0ehAfEx_spcW-KB-IjZOuk9KtJ3NDIFaGuifPV0M4co45pd1Eu4JCouir4Zf0aI1tUpD6r6WlhO12vZCZQeFPTxVVdhr4t_x2X0&__tn__=%2AW&paipv=0#footer_action_list,0
https://mbasic.facebook.com/story.php?story_fbid=pfbid02WPry5yC7p8qZmTyAYgM4Zd2oDpZEBx7SkQ6s61rCyXEuaYpVTNDttRPJwzLWLSHrl&id=1711290803&eav=Afa3J8UrwtYbs9Z8WrW0VSRFgZzCP_phzcUFyrk8d-JAKtMeMuIjM6Pvk5WIfpJ0lek&__xts__%5B0%5D=12.AbpSoPCiefS8wnPoRrCEMuedLh9_YRu6FuVJmEJGhPRpDR48ywXRTw0JhvDemo5allmpIAeXcD_yXWXtXccNyIFKYHhTwxeOF8HNPLZkymrhYvWx2xEO01LT4nSvnEN14RWX0_kKr8wDEUhdvIoQ4b8qmEi0NzyEq3xoU8z_Albzmo5nkyv6V9815ZjrykiJM0f_EdzMTdqDRpahf0A0-no-07WYku8-0LcqN1GqAGVeVsKbVW78WAXcMdxX14s1Tdsq0W1NDoM4v0-nhNvtSfqMkefAVSZWMplkAF0lOLHlMKwq4NgqKXpQMF0RhC_VL7CTTgRYJKVQWu-QZ6jc9VM8d-rNa6fd7OmKiOhDtcfJqtYjdevZ7-cThyzv6oxWDXCylVq3CKh3_uklOGuxC8fKJJSfI3JOED86HmUrple_YbKnfhZ1aLCG4RtmbZl1xADYsnSJlo97VHpFBlMUbJwWdvj2MkahvkzgU366_5kD8-6-JKdwGGanG0mkpnRvqBjnj8TMM7rMqm-ysBGOdALlTkBm0Q1MssljPw1dWJuUgwdFW3la6ZOKICybzG7eaxD_Qk2Akjv8Zo0gEjC03vjNraJXtivV2Wi_L1IsHdTZMgDVWDS9n19ZDmjGrWKSlkg&__tn__=%2AW&paipv=0#footer_action_list,3
https://mbasic.facebook.com/story.php?story_fbid=pfbid02LebDgxgeaBahr8M7b9MQaFXsybqzyfgZJpXT8gj2hpnJ4dfiZd6LnMdpD3mLTBCkl&id=100057131633113&eav=AfZhztxd7xfOCslXEP15J3-xFmfPuaNxiNpzsIS3OPTqdjASwbeSKRfH8maxV2EbDOQ&__xts__%5B0%5D=12.AboF3v6Wt9l0RrmY2Uw6pMR8k7ocFH3PKE9xGvVWabFfHwX_pekkhXdiBERNvJ-v1AbYg1sF0PGt5DElxz6l8Z39KT5HzfaMXn6DplqkmWzfs1F-mNW9hUdmQHmHhIJnsx7-_sRjW0U9xWE1VqLEJ9WmouojvEDiEyieDa6Xd6teHqIaSERN7C4kLb8TtIjb68rTmxAMeC6gxN_1BT25MTnd8IXxTIkQZeammPLTGvTDLEmQXAAo5jD2xbW4WlZGEaNYGX3viyQPQsuUjay_CLe3YiRH_RDNPi5gVxR0AyfRaVi6pK7sqfOlIFASPN3bH4jXhtpv5GbdMItSXMHAXHkSrkUfzf8MLrBv6spOMrBcfba6P3Q8rr3qIKepCfWMsKjbkbuJpvCdCKpvhBoJgJTlcAlPGhkJyYLqvNCxClGHeRqhzs_N6br-cGbt_M_SNtA5PfraRIMB01ZRjsmbtM4PqIHHw4ZYF0zW-aMfet7cZjexYVEwmt0HUllRQia1n_Nj929_qBOSwQcjfhtbY0lvRrx8yW3c8DossL__LbHxg0yTH1AgEkAb7gQXUAlfUhRArWqS-RvnTF3hxRRzPCUnRQypKV4vpVOYiktdddATL_yRhwHTEiXddEImyjJten1tqpUZtSfyIbfeROix0ehWOKDqI1YH18g1GX4hPblQguI7v7k4fTm5xHTvbaZaS-c&__tn__=%2AW&paipv=0#footer_action_list,2
https://mbasic.facebook.com/story.php?story_fbid=pfbid02uRB4dzLUzGgBCpGuGXSL6kqf4cEjc74YGQUq8pM4F3mN4Sp6HEdGaEgZrtFPsE6bl&id=100076374062275&eav=Afavy2hAOIzttNykN5h4rR234sIrOSqdWrieV7gSBkJv0MHTY9zqDESyBf7pCvOGeVU&__xts__%5B0%5D=12.AbqF_VtdQ_AU6AZYx71T_cDODupK7_66i5DxF6y8czND3U6xX9lcc3yaBsPZRdniMPZ_CQVeDFA-q-FY9wQCVLAV2yb3_mTMdnyBJTTC8vJNVEHMBJxkJKWsobnLhpfg2634TQpT0kvhPY2B4jwQ_xqf-1gM872K4zukkBFpA8AZiFI5p_bNL1ZumtSE3FguFeMZyG_p5K5zgvaOpIXvd1Te2d4UHO8Jzv1nckEfRcfgRtoA1m49qY2RGwFnX-GjM38eqx-9j4RLttiY4e962U3Hm28eADh-JuIEB4NS8ZeWOJFSz3SUQbw_jjC6vcsDLudXbF0iwDHtBt1XHSqjwGVDxWLOmePnoOf46de7LiZ3d77c_6XDTZ1ojywtpkmLEXN4i3er4vObaPxNB9CP8bd-qTSF35su2zllJ_qGMG4kh79ZDdKWI2qaxqOrKmcHFUU2QbhIhDFW4DCyM68tOuVNdqtiDj2IRDoQMdP5NgeU98YjGoPNvntDuypTNToRONScQ0j-wN-GcNoA29z0zlCkhEcradyDVE_9S_H7M5CzFfwgXEZgOcbuDV357I_YT9QeBAJh51UngWcdl3_JR1kis1r4ViYl_xzgMePce0Jn4XPRBB1PgudGl45mWV6IJeE&__tn__=%2AW&paipv=0#footer_action_list,16
https://mbasic.facebook.com/story.php?story_fbid=pfbid0UJkR2S6Dgimc71HoA8dAuoUJa5tq9hgLBR11V3GiFxxmKRkxZUe5ghKp213WPFP3l&id=100089783764102&eav=AfbAu7Svcu75IMR7CsePELf73NCb8w5CPFO3cvLn21UqaOAb50zq9iqHH-RouIQwJOM&__xts__%5B0%5D=12.AbpcjtTZK2cLPlRTHFHaU0dBUUNEoORGsXyfqKjU_1PvD4TLquxddZYzfj11bW4Yyf40tEx7mYYO9jkVTrGu2l1WgSY2JANdkzTKLT58rl8v7HoBm-oflL-enTdAIqysQhXwregbXRsinJcOrPpSG5VG703PdZP9ikB3fMWWN7mHjxMhS2P5CEC9s61wGDs0s7ZG2C2_sowrYvn8jH_0oAJfXXdnUo9nQJqDUI6KYOXy1BdKEJ5QIp_Kpa1mJv5iFYUooXnSP3XbPRkJqYxgIyrF4_scIrnSNa_AIsSEs2LU3xwKUg65Mrijt9OFoM2AP9jc-Cf3_stvS0Zklx_K8ZScpGFuiP4AYfVm5jWubWhX4j86jYa9Q3ZIvYscamlEi6BbY1aa6DKuBCySZwMqTXkGnan9aZrQWjM9ji7xJE5IoJxF51VsJnwY6bcDtk5NhfHPWsvcB2spl4korFNoufKWrF-5e4bhP5wUUh16VxnjEyVd5BMfO7HlH1hWt69S_AUoUklCZxk4aMbQcXGE7lXZMNK3shn_-4JcnNXd191rbqesDHi6gHGFModNDr0F1lXbDVoIWxkCnsMrYDzTbyKoaknR5QAdStrpSHoghIU0j24RWp-NKwnvRl6gmmE5ec0&__tn__=%2AW&paipv=0#footer_action_list,5
https://mbasic.facebook.com/story.php?story_fbid=pfbid0n9jVs7iMqmDZKioBM3wJzeeUcRystRo6jJzJ6MSo7nLCGVi7zwZsEAK6SCfkf4Bkl&id=100000207850695&eav=AfbbF800vJokh2zc7YEwrA6uOehYuTtSA_7diVZvKvmZHjHdvIfC1mZZ9LDnqdWbH3Q&__xts__%5B0%5D=12.Abq3XEAslDH7f6_Xj3glgeofO5n7W-e_hpuntyjIDCo14NHtkHlvl3tMPtOCIKRHHWBB7rlErmCNACYa3KJxN1MJwyg_iE3Bj7BLT16NSwO3dMlt0ROgl0K2d2Ll2OtMYDUw0Fd3ntKM_OFrp_25yUrsedfPHRZvkxSUXbedUAt_3zUO1fPUzwckBZwww81Wmj7heMSkJH6g4XURjYefgZIaPem0xWp370DZDUCcYz8MXfpKGuRLeSYWQBB-gzzTT2Lfi3GI9gq679EtAwJBGgd0PlaIq2x6ndFWUQAy_fTpqfUg07cynU_xCEf9e1_EpQ66JsNOW5FhwRKJooYQRE4BIvaeMUHxFE4YTvzr9HHI7OFLEMhMu3g9Jr9qGMeRjgP8UBIA3g6XbXQzcP6A1ytw50VXsbhh-WqotvgfGo-unMm4OfBAHadnlfNiVX8DkAsys505r6NzyjXMG6qtIGWvNziAU6hHPN-celhGC30xwIS-wmLHimdhLjl38hjcM1XQFM0YcFp-PeLF0k0UajL1m1l3DgiVTxmqKhQ4RtQnWkxxu_1rDZNpRc-Z2UPmLZ5kFfLOPWBaZbV9Hx5tA2lIF2LfwReOEICnvQuJS49vwLZYfpVeFCaOOoH2kfg_I5U&__tn__=%2AW&paipv=0#footer_action_list,1
