Full_Story_Links,Number_comments
https://mbasic.facebook.com/story.php?story_fbid=pfbid0TpgdPHgYTAqwPzB11bGoSQyaHnuKPL9z5ninCwTQdu6TtBhQy8DhErw5xZqxgtZAl&id=100064643681682&eav=Afa4PVlYhl5H_tvXUzznf-DbcODN32tKAyAFsSgfBm-fl9f6gIKk-UTuCTUMlKHPQSc&__xts__%5B0%5D=12.AbpsXB9YQdmnI3T8h9cbmoXA6fV0cvkV9W13BgCYIVGJaSSyEMPC2y7c43Yggu6kwKYwfBOJB6Hsuqibs5xuGKgBKag0ky8dcr1TldSVLyzpT3jCgIyqz5bCZQTTXf1dgVS8S7bKwpjUyRiuO-9PLrDJvAVgJpnjDwVDrosR78FUQaY61xil0vnr8hrBK-TDsW4EG9Od7yc_1xqMkOeZy0hxKdkp5omR3OvluKgun3to64x4Ax1bSC6-JaaPoNxwjC6s1kpNj9iilH2DyziSDcS3i-hWtJvz9UbYpCEcehSNtNWG9iIPxqDg6Bu-2s4FFETkEeYIBW9ON51LQHCICdp_iiG_iUrLdfir7CutNw1vpBJ7VWXLZux0fX40aH9eInZxHXyxcdM1ZgP99_WTgRiFW6M6hTnKv_exWfH3SwTaEkbu41PAWHYwQlRFiyGD8ew0GeQFTsMauLE3IUgb8JX2klADdjexhHrqVkNZHl39igPo8qcUCo6lmahZkx_uV040RK0u6Kj6tbL_ctOXW-i8flwXdzSvbtE4OnroI7gng7tlM_H_gsg_8h-cftCqEsMWzvUD2-Tanzh2ZGlOTD4QlKl88QJg3FBkjnkPYCVdJWbrM0M2mywW60uUo7K3asg&__tn__=%2AW&paipv=0#footer_action_list,56
https://mbasic.facebook.com/story.php?story_fbid=pfbid02rLHmLxe3gDmyibKaddCkP2vy8kJBqqS9LeoSfCsT8h5eUWHLmD1xLFRzeycmFC3al&id=100054221659673&eav=Afb0Mrqqh142OSWyOFnabsjEhhYlAdBI2qd-OEk8QpYlreab7k3ulhBb1eTweTRIZpc&__xts__%5B0%5D=12.Abp-UAYury-l_Jo6yikNhGfw3lS6xIMKRQPpFDsMsCYqtpwK2XufemHa4ZgvUb5PEJ6suVGROaIfFy-Vnvv0lD7BaHeZxmmRU_w1y-JEMpREAmw0fYYKhIzJc6c-8xOF_RqjsyJZUlZIEFcRIsbtMaVFV7HlZmCxUH4feWMoODHDALWdky5WQjUCTgkAo_KIzmUXKl94u9WGCsEXsYP6bJ90RI98_VNGT6eSYUJ9IsU8ALrNQtCs2UzLXyYCQuJIbMm62h9TfeP6uIZckgfNMbD2yeg6rC1HPooDF9WNYXgMYdEWcIdU8EMwYqeQHpf2VJo-_7X7mRfH7DLpBzePE38aqa-QQaqem836HEblELRz_EPrj1aK4eI1W261JpBNxlsvxO_DfkW1LrZI4yBETNr2DYVzX9x3XNGSyYyIJzjfikS-b9EEERk59adjOsEOQojuRN8iICQXTf7E58KHFAKJickr5r9o_oMSNRgyHezRXPmCXdgQTayLZNAbbnwJ9lxtBwVwZ8WmQecrGVVrE_sDMb57jkAZDs-6d-OJTJlPs7X2PCpaepQrKQEtvJ2DyATXzrfGsucg-8swEOraPcq1jBEMfAO6DMu9KmXvu8LsOrcNrit12_7WTimpSNaiX5GziI-Qz2723lpXVSwfgCKbxeSipE2EEaHaX8jNvdGdLj-KnY8UaLKzj3FzcyYKbA4&__tn__=%2AW&paipv=0#footer_action_list,0
https://mbasic.facebook.com/story.php?story_fbid=pfbid0373YmCQPD2kFcauoyPieZPNuNXNEkRCJYzz5ZWxpBQ8ngoRjmk8jFBozY4sr12RE6l&id=100081979476466&eav=AfZHBAqJoUiCY-SaxKmEU-DCjH9NePmEwbfa064uz8OdBiNRVUBIR1qFUZP4vd2uNmk&__xts__%5B0%5D=12.AbpKtbqb_7rCD7kQG_2nMJl7a00l87lMZAh-vjW7NhFZRdHwOOSl3U1arGWUPFtJxmy6r63zRvYaIZHbGOvxWZuT2MRFUwhmX_Eu-ctLZQTt4UapeGLcNiub1-0zcFK79GzTDsZS9X1AGq78tPie-WK49l5WXElSLibe8V0NcRd_1iJbHHr5Awu8gNL7Ub03IiZTk4ObOGus5oOKxPp1UhqeI8HbgvaWRqvsviSkZAjtn2nEHO2fAun5193y7TEb_ICFAdsWS02myehR_baNx-Kd5lNOhbSTZVr_HFlQmXJIKENP64hmr66gzvYf4fXHeP7BP4-ja_4QPNJTKgwFlMog03TbCodi5oKHjQpyiktyepINCR9zcq0uRMU0AeqwHIbAiRUh5ltKGy6f1lCXmZOBJgqEtCFhMFx7Y3AT9PGGtDg70khAOypgozM23BmQLEJwyhduTYjYLTmKRiWAkJQm1S5dmcJw1mzUz6Z8CIP1slt8_QSU0mWUgq4hPmRJ7ozarEzyHJ48xmENdRy5F9b4GnSMwKhJ0DBrcu8v-ob6yNvtUUF61iT0kkxB2tlVo5D4_Q7IFJF_MbFv3V8N8JCBDn0ajyVpwohip3t0eqt3ttOAU_0SifLEhzgUVUJUaMIgJHFfFqI5yQHnEG1BH95evAIS6jjiMn38FsEUzTa8UbY8m974srm1s5sHtkPGKO4&__tn__=%2AW&paipv=0#footer_action_list,1
https://mbasic.facebook.com/story.php?story_fbid=pfbid02G7cbdsqkR9aZgJUAfLPfx5Tu9uWzix4u8mqR9uEkkhxoA3uqWrzn32Xt5PxqfHoRl&id=100021280699768&eav=AfYIlntHCMgdgFAlO4xpVgoFFQjuiJs3OCxSEgRSy-094wuSWzuusmphPnePW4TDIgk&__xts__%5B0%5D=12.AbrxgX90cWCdadHOQLGN_kyfLPo_6KpYfJzhwH2auLK_eG-Vb-X9NKNtogI2phw3uQTUgjOfuol99KUF34yhPB8BEvC6gDzh-N8ADNGLSLFsLEVUPhu1sxUf5ozHAi-T_8VXb5X4O0VAvXOp01oCXHdEMmUcJVWhq15tGTZjV4Wo7aMTueh1MWNoOGil1J_v_ExPeChGH0mHXtwCOBW00tLuErMDx7SUm7iCeYl4za3auHcnGoSQ0Leq9rVBCeMXW7GMJUsv45XtdVCkSqAUXRUeNmZiaFf6LQT3DCbD6seATdmTPxfm9Wl1oeCe8M7_9rQ-8VXHOuGy3KoYcGFKBg4j8P5HqFMMSBX00a_xY0LJYsYITQ8FaJGo2uOO7aCHFzU9aDVMqBJ3iMsfDOlDXST6sng_l1W5QkB4XLZjYv_hdDa_FNvLBRHOaNbvyCB35Xly-MyPgEmAKqcNSmTJMrj0a0YxbPI1NoLY5PWkgRelc045m0JlRPpzQkX-F5wNfYcaDuW07UNbdr5DSuMK8wgUvvWZ_n7JKZryGRXi5IG4h95nMRhyMtm_G6LkNysTpEyCLB8nadfTjPNV3i8YaxVNMCJv5sCvPJo7-fKdD5Xxvlao6Q2F4YMzD5cjwocoEE4&__tn__=%2AW&paipv=0#footer_action_list,0
https://mbasic.facebook.com/groups/khongsodoi.vn/permalink/3641280742823105/?__xts__%5B0%5D=12.Abo8XWl3PQXX2__0qLEEZQpyJJ4uaSTT_XjPPZT6IlFd172kaxiij85PNgeexKpkpXSRC3MSBwHtNZkYgUS8_WdRYPgpFo15LlhzO4F3P1mIz3lPDFx-QK9NHHsj3VuMA99I1Pux8sQMX3gEkbKRMUWp4mbAJT5bE5gX_kNBtg-i5H-k2dkKdTw7M1VgBcuAUw-0OaBAZY0UehZAAnO3QgLOBdi0TMgKOb4iw2Nx8BUrmnMuoP6eVMc0R5nZ8o7ZI2zOIQmoXHHPMQT65_LWJzNfTflRG6-oWSIVgwIgSce-zwr3lE9hPgbhxJKtQ9u31fbf6BqgOPekwlv82TaBbkBF50Vuikox3tToxGhZuiLj4dvjfNT50yDfkOy0Im6L17tEpGgRkwPFO2ldb8J0Bo022VnolAHcJcxZ9W6U1JL2V6pTHsPlti-G2Af2yEa5vgrWq8eFbpQfaQ_UUFTkP0tiREfnQZonW6QJsbzvlWSQSawOI626_mji-DOlxOkAIeY55yttUN6SqPVWkf-LfpC6piQLVcE0t8ghDwDn7tIIqLbwDZN9xmL7Jvkl_Y5VK7pY7ZSj_tgbrDr5rnfN9dgJW658vK3yZZk9sHlJdjNHU6ItRkLljAYOrLVQfSAhx_A&__tn__=%2AW&paipv=0&eav=AfYB6P2ibBwszFXVMN307W0O1unaV3EqdYdXwYFly-v2UE_sPCMyY0EPMsZdKvdPSDU#footer_action_list,1
https://mbasic.facebook.com/story.php?story_fbid=pfbid02V83A3uYsbPjAJMi5jJaVR6CrJiAzaFCmYJoDPafjCXsQVLqkVfHU74NEob3bVWY6l&id=100004679384504&eav=Afaa4kHRTAy7QppW3ZZHgwsGLBPrGMRRHCCAOq842yr0-BzdVeMvf-04PJeAjQTULF8&__xts__%5B0%5D=12.AbrK11UYoJ8HFAy8kckJchZHDm3BRzWG6jnYVQJlgAPubWu_sBcbiHVRpPfBtxBq1Lbxe9v46EACrvRTYq1HxLgqQmtrqNZonVUHXxs783s6MkVo7SM5vm__8qU1qJJEv5uSF1bQ7MBNe1O8AtekLZiY-F-gp7oZ49v8bmYWqkzNgB7yX3Iyp3QFWALmoHRTssGBeSeSz5IZuuC_JhcQgcuYLzceLAy81Z6tC4Py4zpk_KgbLHaYTmM7kvSThrynrhua-kHfCLulROcCfzO0tDd0YSNkHsrMFGUxDDOVEE6OoJy-5JLpSm3Levoh5x9LefM-q7e6AdI4am29O1Mh93l82oqbuf0K7LwFJznw-bUvn_rIfCHyt8-dV6eoPDsX3sgVSmLvcWN1PwGqZ2ZhIs8OdbxyyoXnKQMiV06DpF4dgdvMUhvyu9ulEunWuRJanlvye-utK0MFry4xpZDC0HpyxXUlUdUAXXY-aUMOp2mh9EwUlNtLA3qwfaM2smDTY-W9CfJ407gHiz4_enZSJy-A0q_d2kr2wOWRnrSdMqCrH_U-t5IbHGV73_G1S4qwe2n1aBq6lJxgIcy1AgVM7HzEHjmi2BGaCGFyqB_l2BSYKQc6y6Op8SzPpgEhvPYwDwE&__tn__=%2AW&paipv=0#footer_action_list,1
https://mbasic.facebook.com/story.php?story_fbid=pfbid034gQtQfyKQQhDJFnRPAjyqRahmAosceoxw8JxsXRpqw32c28QJHxz2DnBLpkkUNUl&id=100069153349307&eav=AfaHyWBhPzaCYYy1HHJ-xUhr2Ui6rUN6vA9qdaagvpbyMwnyDYuIXs0aFFWHEvp-hG8&__xts__%5B0%5D=12.AbotF4oa2OWpMJplfqHUvaKUj851HLzO7cJMjc-ghmUXla-bKHtE_PdXz8xCQBUMUtTLQkoKJpk-anNkAw7B7DGFaC3FeuIFwY5s6qC6diUPqeDz7LsrolTCS6fjUvMr02AGnGpDsEMVEzkoYv74jsXG64hUfp8PVtkASAf6vh_SUd2v0kFgFDFY1B5-2oKyTIbpP6TYlxEpUeUWFmlgLnHYIlI_BM_Fg5xAExJ0vmiBC08Dfmrh604QZvHSIVZen9O4cOqhAHLcLglmnoiM7NZSbZ1EiqEW7Ovs2yN_RMadV9qlA8eqwoWLN65QDuGqAJpD6ZToHK2GlZLU5j92OWWuoIFUw9-G_kt8wRbwIQiNy-Xr_5jJ64V0cOZEyZNjZc2S32Dh0X_j8xk9jgCzjK-qNCjMiCs4cfS1hSyL0fKsrYWYIQaDX-tEEXZtkeIA_SYQEPaVVciVCKhbq_lpGUxGfFz1mj-MsJXd0UqljZ7sfUkBu9saDUBkoqRCVpYtQE4awKHB9zBwY8uTVJs3ymOIu_YB-WcafyVV6r_bNDKugraRQJ6JhhSe80bSySGSVFwehkwk2iMmdMJjiu4oTvTv9ttzXC3pLUkbAuhO10QVf_8W4PgPYaJiHE25o27NHan-YmrFH3EdUdLjbzUxG4Ac-Km5E1rN2IEJCt-VwT2N87wgHE1itB95Lf3MQydSD4s&__tn__=%2AW&paipv=0#footer_action_list,701
https://mbasic.facebook.com/story.php?story_fbid=pfbid02n5bGNK8NFo96XdggxuR1o3jH6mSepTueNHrwz9UCpnc4TuWf1uTG3RooKFyLPnPl&id=100091265063866&eav=AfaXAwmk8K9hlP1TJuzcqM4cY77nMdp5otacNtye5EnUv48yK2Nm4gWqdq8spKD6yRA&__xts__%5B0%5D=12.AbpjHIz_z1AzqEEUnEy78LxXdFO4NCZ0q3Fl5SqvATVBH5T8V-VaVerDXENnq5JmFToADnjQ7_2wnP9mesW8cJU7_sLf1Y8AWq71C3TvzPDaYbXWoZo5wr_sDc2tDmBewUPDxvLq5zfb_LPwLAL5y73ZorQIqPJ7S6gaV0bNSvRDK1r3fIfyglnAbaZW2ULwTaXG-S5BMPGkEf_0YIUKqZdfUY3PEBcPxfivf3BV-ZABFTutZR-f05hEVv_nIz_dg92ZNFDEKjpp_uD0ZTtCXHv6xMYitxfAV2vzgVd4wpbhKGHQVnxQRKC8AF4W28vYlOOj1QAr0NHkka0Y6upuMWCbx2y-dyWaTHIlAmLdFlui9Dxby785bS0wxdq80xjU0DUDj4pNfrdvpHOThciIEc9XkxIfXrIo41Rve1TQL1gD81PYCYRsPQb7z7lOOqCUeci2G5dzxmASHHAKJd5WNlX2EaPr_j7wfYfjH5FaFN10RVFqaXhZK516zkSyB-GFidwKuI16FSBbwptWa3OgZdbsjk1h2EIbKZy2g77tZESskCz2ptgvvDNgCICyZkK4A6qLwvp7SfDLt9h-xjYAZPQDXq9s_Bmr871tSFIJ7HWJ6hmXfOjBOAGMmD2YdLit7Sw&__tn__=%2AW&paipv=0#footer_action_list,0
https://mbasic.facebook.com/story.php?story_fbid=pfbid025qSGuWk4SxhnPnsZA3oh8xycKopbzFJRTeTc7b7RNHeimnBctCGsHx3d7MSFCShbl&id=100064785844173&eav=AfadyMD-c9vnzUPHM6aI_3SJ3dF0dEVVWBravWY84I9bAvfFyA2N65T6vUV7CJXoxSc&__xts__%5B0%5D=12.AbqRq0AKgrzEboCHegc5QK40m-wYCUQ_LtkV9hlm9ZVwEFRKFz3pW8PpHJljyyn0L51ZmyVFWjzKiXj9crUTy30fd7ONDlYmoDrxnFoTfPPuMSo2cnKAtWrqvL6dhCY1vPql6qonfwB9R_Ok52Xul-9MiiLfbcSNEEnYZieRA2u7eygcJ5hUzifgu6ad4wZm7E3_h-hprk49UPUOpOBXr2mPrZ7zSIsF3ICB38nkhzzAfGZShYNgjGpXdJLrhqemaQn-FzzPc8z0bfR625yOyMdIYccCg1SPYEp3Mvm8p5GZHXk7zeT087fQKKTJhZTxT-rLKDdxyG4NYTg_5DLGymaKcVJU0gclqKMwEa4N5IkMlKJTEvAuJpZah2C94pVxbt_7qC6Q85iV_lZ7HZ7JEngNX7yb9S__LFsE2QZ4d5iB9ODKn_L4HpHOcsgcN9NdsmuVSrI5l1I74eIXYRsWhL6tXSmEcAlabMLHE7WCSv6EQv_fIzQz75nPk3wYnYbyLQ0GXKd8cuvupc4oE-2NgSUjTm-ANlJnKrCe45abM2RqmfdwmZoj4jrDYjlVsjRWcht8QeiVgt4PJwrvFwu5oOqPGJ2465yIg9C-MItKEsNcFSnR-667-7a6pMtyI-U5cfM&__tn__=%2AW&paipv=0#footer_action_list,0
https://mbasic.facebook.com/story.php?story_fbid=pfbid0SxED6RMZhuK3SUi1foBFNGz1L7PTmLn3oS5HGAJUuRfQNZQVEdKwNv5UJCTzeWs8l&id=100070459532233&eav=Afa3plVGEHmDwEjggOH5eAvoOfXvL_ARSqfodgQyBrDV8OCeaZSht4w176JRvgEbOwI&__xts__%5B0%5D=12.AbpbARFJI-R-hr_ElZFAfQi31hRSg0LL7jvZuidHHdNxInhKu-7a6Gv4rp7QXSEWV2zAiIHqcioWWQXW8JGiDw_XOxNHM3zAH6vYxOUPoEgrusoSunlp17_wrhJzX4ndp7KicEDHNcNpX-h1b5VR2x83PGopvT2-DS3XwBjlaxiaAceHpEgljZFa5STk-jVpFGlsE5RWDdb-kzRntGdhUxxhcJYZLKQfEisNW76atoODD7t6MSSYdko9z1N83CKjyUZ9GR2ZVkkjijVXyrvRApeLrxXMywakIc2E01wIV7TF_3vgsUYTc4AoQBSUiKtumkMWRyrGgvM9Rn591vKfsaK3mEvXF_T0Vo16zmgZBxAvUYW5cS8SEJ_rh-dvUFbZixUQ5RSkAtQlUzU0NlSlT2fUAbDlkWfdc-fDakYdD31Hsil6KBzQ5ZJ286KX-Gr2JHaehHjDO83oQTetwRw0DWPUxv2wbtmkzvkQWtX68yNFnl58hFhN-UCfb_UEzI3aAAKC3ye6TSnOFT6uEgY7Llpf20PTCZ2MaQ0qAW9Z2gaLfkek8NRu54Zrld90iHbCDKJ6eorq4PbOw7VJbpc17fZXFGwk_3zYzweeuL4bvxW9mEjhvqY-mfkfmSpoqSXj0So&__tn__=%2AW&paipv=0#footer_action_list,0
