Full_Story_Links,Number_comments
https://mbasic.facebook.com/story.php?story_fbid=220233091018663&id=100023175840501&eav=Afb5wXtd8WXJYhBY-A2Do47xxqlvas6Rd-HC4qTUalJOF5uaGq6SXQav-uy0LU59G78&__xts__%5B0%5D=12.AbpQ3YSf4LM4C8ys_lSDAFXwwZFdKV6GgcJxLdrYk6VI09BJ2w1qgiG4REqYJWjYi05_VCeji7dtSAiLHtrw_TKpLwHguRxCiLs_ez0Gcm35C6-piur5o0htUYjxA-gVIydjKwLRyfee2sQTz32zKMXARrpHASpft52UVFEJIm8dbymPxTFfTKb8wRWGmeDlHdU5nrFtHddxLlILS9brJEY9UTKwIiDdRKxPWg5xauYsOLkhthAWItkZFfufKJXKHVRZmHgM2QRUBozkkp9yXwL3QRyhO6pjRgjg_3lQssm7ArX1jizpNLrod4wO0oUqqVkXnFP_vywixwWMDJjT5NgMiiqW62LrMCPdYTHdzqu58mGDbuywX2lwedJzx2_778wrM0UDQhZhc8Ozc8pooCH3zs6JAoQP7ruJqxQY3_BO4BksbGrKSgRs5WySM0o43ePo0HzW-FO635h7L8Ym9a9AjPvrmKafxQAnIdoJ_9egSOTOrnc17zXUq50DDctxSR7w1-ZkVbqLFgLCbtSSbAy7W4ZDc-kP8XzE97NduYrZvAznosPg_Z0Cb2T-h7v9OXdZ8w0TLRTddQ7qh1GSsgHJm9EJUVbVEMfFrRdMw6qXdEK6VDRizHSEcLZvmxdRftQ&__tn__=%2AW&paipv=0#footer_action_list,1
https://mbasic.facebook.com/story.php?story_fbid=pfbid0GHfNtWY5RGuWCoEdnB7TSG7LjfcpSFfhgjcxTg4734rXjXfVYim4cY8yCyCYWXFvl&id=100062305840112&eav=Afb5DL2i_ECV0W9mHEy4lXlWSAYqeodWIhz7B_xyx1Pdp33W7A9sKfJAD74c7XmcyNQ&__xts__%5B0%5D=12.AbphAqlzJJSnDJS7YM5wJQq8UURexRmPflEA-4kC4aBOg8gP4iZxxPuXRFZURtJ0Xt4w40luPP9l2vBNdu50vma_rcqWkkFaEQuY9-LgD7nYTr_z-UFBiluFLe-RHbKQLUwluTkYYvMHFyNxjaQAijKtRxM2umpCYciqC1XrzPZy3nVSp7MYhowyhKeQFtWKUM5qiNBRgW0FprZ--MCaHRtQxgS0QLJyIwKnEeaMLVKXXBniC3Rci3m4u37PTj2LgPnf4pJ05Ff_ib96_58v9U9ZVWtyU50ljx7bhXPzArsnLfhMvfSk1EWiThPYbIKnwBrEj-fBznqk1N4Ao1tEhxt7PQdq0SqAh4esJpymElWQOtk4kC2uZ436j01eDJvcfAa_xq2fOfx06E5-4hp5Vf3cOw7JGgZqRGjv1BfXoQNIsQZDzh1cDcoi_M7o9bghcsbipqIFXbMPX6KomEXiqyn8431QmkzPWyS5BKoH3xRDOcnTl2qHORFmyXcn28l1xCIOwasV_BxX10VymAQCtPEfxoUPx3R-gO_KO6YpHXLApQ4OYZvztn-g7m3un50Uw5UcVNhtNs9mzp5twCKOhbkve6xcopSJo2XigHkLiWNMrbPS4KxZA2qS3_C9wmJzbxM&__tn__=%2AW&paipv=0#footer_action_list,0
https://mbasic.facebook.com/story.php?story_fbid=pfbid02oQ2mZ11QMB5yuvEGku7GvLdWP319mz31eRDqB9X4PQ4Qez8ujvJ6mBsSDLPgNr7Ml&id=100085412587990&eav=AfYdk60MSPcvBzWWKuPnvwDKSokJgl5M8PgK_NnhM4qgb8HXOd6tkzpKUZC2LjJzFY0&__xts__%5B0%5D=12.AboIa-WOPIxKv3JY7SO58BvfdIwMXaJsHav3ZKn61O8qfsrlQCtqRCnz-DB8m2QlaHUwi9ZjhXaSBpDtwuobqwVKUvyqGZCpNOGDeA2knAVGBcH9P2Fu8XyVJvyKTKE81bi-npoftXWcefEKHaqTaQO-Uxyd0ihbYVcvFHmLg-KF4nAGARY5xtFx57RcKy7uCGAnYSddx85jkDLfipWRBQhuZ77oEwCHSrkYesNeM9b5cjStkZybzJAUmXQxhL6ISVwicf19ExigCkAh9wzM1TcniRP-hpHejp9oR2NckOSzNJivmpVPtAUb_H_In9Z6vKQr-lTzzuih0HkZF8hzYIDWbZrNOS5pmr-qt2zOjBIcbTR8Ui9DASnHYbVrW3fdk3LkuV_zrv0Z1MMYQSo52ubA1lYaQ8jIYI6YLkfbzj-__VEMJ67lglDBD6zpekHVXcWbFOr8rOBpTAIVvbvmt4cA76-sTdeYEy3X8rzn6Pmtq7XTGerqPB2_dr28ilahyKF7J-_JBfyDg6I6TaNoMeI-xnmdgj78hX2BbEzQ9BHm_vpYGJUuoy3pfTSBlKTxSkR1upEQoST8LbDYSUtdxQZBzCH7opeAYkSeJqCqLZfRMuIqFDzGvqYuaA2HMxJwDu8&__tn__=%2AW&paipv=0#footer_action_list,4
https://mbasic.facebook.com/story.php?story_fbid=pfbid02sLPXZYX3jHqfKoqMCWCQBMVaNAvKdBZX1cWBLXTgRXu7tnFZCSU7uwS6FGfsBoZWl&id=100066181166467&eav=AfbuhN0MUYGHqvF4wy_41t-zPxJteEtdF4e_TOzuKoFbKRAHdDc0xThu5LpvQuTKsVs&__xts__%5B0%5D=12.AbqNKdl967X5RVEN09yQj7w-IBuqiTIP7CTwTR__qvYkZd0IfQFimUfB7F57JdXeLhleXGFO_9n0QHtYMSAlDdNoV-MXDi0_G22L0RJeSS5m7SFG1qchE-qwCQhrreuGIVeMeF8Fl3le9X3HN6GmmlgXbOAXlcDg7cd7B2M2sAka-UvN_Xk4O0M48IM9lFyl3NPuccfGedHflVehVd7zlpOo-60Y9GwS2bmnmLUeyTEu1EwTZ1gRdj2WPKSB1xJeba8DvdK946-Xr4d1eHDNnahtZfT4CADBVt4bcVDpZmpu64424Q6IHUFFmUTfFt0LxI8pgVMc47OEZWONjmdA4mtsZPwyLAQGzgcYp5qJtvCKflbrVaC806f6_0upGHQf25RW-lXmUYYIAQaa3Id6GZDiYxZVbK3EgV7DU6eFEEDraCDNMcv6oe6Oo1UZKd5FiblNNSoVfxzNoYfiyiU4F3soCN217kIHm5PBAUD6CnMFADDvvbLDCLxQNezmw7ooZAZmVU4xekBF027HZT2aIX6kXNEW0VZsxGQrjagMhBsZI5M22Q6PN0hIHAmm-5W3Vl29i8Quy7YG0aacYGfgkcc2JlsR5K3Q2lR8090IW0TE-ZzrmHuyKxzYqcgew9IX6UJo6fxm_1QR_j7JKTMUQfe0DlcKJhRjxD_JtmXZ-yGGiEQxrCHVGG5wzB6NQ579DHY&__tn__=%2AW&paipv=0#footer_action_list,4
https://mbasic.facebook.com/story.php?story_fbid=pfbid02aorQ7xrFGaYF4vz73pK63LJvAzYr7RvSzJz19XjBkkpjW5wnEQJVzPkuEwKHbwJbl&id=100000454856937&eav=AfahJUkbtWdNCtQKH_RuDnLATi0gM1eH23obaoeZN88IZ2NAV0YYCcjy3OlWbzalTgQ&__xts__%5B0%5D=12.Abqaed3FoYeLqSY4acaX_AjqKGcsRBW3hL0lzyX2Mm4w8iZa2sROyEDnbnEZ8aUWoDsXQIHQklloi0icd0kz7dVQdBx_7zjQ1gyZZvGnN9XqfnRlS97G1B0JmLOugACEXLvW1MrRw9DVU8BtBILpK6rwPZrHJQxU6dsxKwcovJNTlFGDXIZ7dEz1WpxYq2qbH4DHvL7nK2iWDfMvkgnxUz_FnP2mMG0qRTCQfmqd8LsADl8tlrQHB1Z7oOI2DqWv4Jjes3fmAa4lYP1QaK_xp7_mee3-vkril4_9JQOSJQ1QFuAxnU6R0h3zQV5zAaOcFi_QaNd1Qex-cjglsUj6kViu80eZjVssQtxGDiXEYL26Jc_xP-ta2SkrRxXlyR_PtvPvSaDXJBTAw-aErfPYcCPSnwoIglRUwN7GlOMSchtRld08ETgZCxWMFNhBJPW1tNBDmyi5s5smo_j3Ah6QXbPX-PKsqj56X7KEuanloUvOFF3fBEBAJGqIEDtZj6_06MRmDffXwsbUJ5L_Fer6SXDdWIz5-g3udfy7ugUhtnRiUevxICXecYvHT7QzQeGROqrG6tsLSedaW-Rcsa3vTpQPkEjDLk3qEin-BtuMby-epKYfeDqFgE3UK4m1uWhQt2xbCtmS3lLfKqs6WB9oK49p0P7j_shjMRzjIK0609m4v-B2P-oCvdhqvR13Cxk1L94&__tn__=%2AW&paipv=0#footer_action_list,7
https://mbasic.facebook.com/story.php?story_fbid=pfbid02jki7pqbVxJbpzP8h5krvDC1uqmPtKpGHtw2ChHE68zFM5BeKPGcpecWRnsECLeJNl&id=100006951428957&eav=AfYQmcFM3-QxIDo9GPRIUg8lf3MCfEcj41nIJQsV5OLLM1dsrWgWED8zGzPhRPmW4IQ&__xts__%5B0%5D=12.Abp84Etgf2byGBz0O5pKbcfEkQ8Ym2z02Ps1cNTcN3zMr4djksmHpc_sLOftesXJ82YRVsq7EE2red97jqlDZ1mt9vMXxRxqMmyrbwQ7LnTwP7XA7G7x6sRM7GVo2aOgCMhaHBTr2rSuNjludq8dFW075ba24_sDSUqPhVpNgkPdSN97BeAS14eg_0VLEIgmfhbda0t5B8QtBnkzirFiwy4BUnAhgwNs3Z0F8ZfPcUP9uJ7YOxVYg0ls9Nr55mDQmOuOJuauiMmeJpA8YVYPZ8GujG9jx-mU4X2Puktn58OOddymwhqIYQvAFvzlE3yW9F8BhL-Zp9Fbb1lTeHWKwJxKHlvlFPZeEpKGHFfYG5BP5BsPvj-wjE1n5FIbkRju6q1cVyRLPgORHRbOAOyDP01Z7-AvlCjJrz2kKgcCfQOKG0tJAAFiCb-I4RHL219a1mP9MgD7ntWSHdr0qqDiEEOnzOzJkWC1_TlDoVnZaJwgDexqxgiS0MlBsLMBZJoVdz7gFTKDd5ycHOoa0XiFPSFtpXkVlqMjgT_AldCniNSbg_lqmZe1VEeGogLESZUAHSpiTe_uhx8d1h9ETDE3VuBvSElz4FpWDvoe5I9tf0cCc51Fk4Y187-ResE4M2XvCbk&__tn__=%2AW&paipv=0#footer_action_list,4
https://mbasic.facebook.com/story.php?story_fbid=pfbid02UFamCGrzgj5zvmKXUx5SGyP4z3zYnEgGrB2ac7NiBexXHqrK7dpGifb61unhqC7Bl&id=100007917248304&eav=AfabkjD0c57OOqqJK3gzEK7Q9USKgZBNfFXaODzmjsZWoNIQlaElbv3vMLe5QWdTtX4&__xts__%5B0%5D=12.AbrNqGEGtergkCWyhQ3azBMM8b3lPmBFM8T9O7oW-Lz1NnIVSmRryQbykAnU-cOGheqiZX5s5Pp09P2GbSmzEy52YGyMPkhMF9Xd9Q-fegjiQCX8gJHaOWAYDcJz2aghzoSRNiTaso8GnT8olz4U79_CiNdXlFflufN7Zsm482FOjGajHc_FBHIi9CgVgx_ROuGszrqKCNGYkzf93X5vBr74bIaMCbxlghvVH5UvW7s0RotzTQI-CrAz9oLludJ-GI74s2-4YNXRhuqkJWwuxc6BeDCtUV0Zi1PYz_3qZwU0Q0ushcLOnvQs3Lu2fBH4luArBQA_aE2h9oOecEITr2XK-V3nKWIII3RAimO-HJ3D-472tBIZQQwZqc51RoJsIpiHO2sCRqoSw4Xpl1-u64MeBqdWHoeru_pSdUrLpjWF0puGyYv40ZXF0zyorswYWbUyiptjJVdAafjBoDCe2Nrrw-xg_8spIxsrVbKbCs36Sh3YHIs2IP1hhRBSrSVMy_eUOraWUYV9UM3whH_SfyblJ79cS2qZdaxV_RFNZi2MbwwBlbCj5J7diYvH_u2LhT7jv3E3aAsi6U-Spgtg3QYpUV_Uni5ZUTmqKwwt0Oc41gZN1fedtg1q9y9BJ8Jxuig&__tn__=%2AW&paipv=0#footer_action_list,0
https://mbasic.facebook.com/story.php?story_fbid=pfbid0TpgdPHgYTAqwPzB11bGoSQyaHnuKPL9z5ninCwTQdu6TtBhQy8DhErw5xZqxgtZAl&id=100064643681682&eav=AfbWmIChjdW-7XXGBTx6BSf6Qzwu0u6BnPpGLn76XLtuPqu58rpACo5XbTSvRCqxvtQ&__xts__%5B0%5D=12.AbpdRCAx2KgwZykIh7XZ1c6xVSyozxXaf2klef8Fx0DDibaIqRSiqjrxFAcGO1efFzxfpyTgXXrvH8mxJMebWF29AguupCUiu1FovTj2O6jdfNK9tn9z9G9U3_UWU3I2Ua-OOF5UpbdbFFM_s7qg1NxBTppng2ppPHhqCiNBgiIDYkVAQRIxRrKTKyqaowVV_DnGYexFzJZQDFS96syKzKrYGk4-BgJwX56ovrn-ZANr4ufVrSa1XQPQxcIVZPdqbpPFDztfmHSRGnk7DzDDWYv6jZo10NNi21pANR5kDXTpaiUMfXr-apksVBMrlnApbyXoHzuTH0FTz6fXcLpEh5BBil4xHOoLaQbOcifhtTjMf78vCe8h64jASdT9YGyRzqeR9Yly4NEi3M84CEXdw_4YbyVZnT97Hu_lOJQEcqySOqu3AUCVvULAtIv9kT_gDi6o_SS2-juvpdoyghPbB-7RcCfyw4ark76scEt-YJxm-O_DSEmWsagJ-QrollBp341uNbOGaupq5t4Xcjnz0QuC55w-5A8_Iu1SPxo1PJo5qZevo9YS9TcZe5HBf50OUzW748H5QXSKgVp6B9OnK9GmFYzdc3pbE14w_7DkoNKKsQB4h70Wq2AvHBf0nEYbxiM&__tn__=%2AW&paipv=0#footer_action_list,86
https://mbasic.facebook.com/story.php?story_fbid=pfbid0VkWowatfG8rsGAcQwXwvCuVN7W2pNHeUuAUS9d423LSxNrbejnD1Y5ziNRuVFDEpl&id=100050487399854&eav=AfbbddMLBvdmH8RI-kyECWdGChvm0mKMjgUSZxxPWA7XKlM59daGZfnQiNdQ5MxTq6w&__xts__%5B0%5D=12.AbpSCT7nK-a6RHfVNPhm4jIprwsYa8VYMQnN4wm8AjNKWHNLRj_CNziD14FaYH8BAJRteNsKaXy3L4gJ51TRlHCgs9C9k1j2m94tihhJ2f5EwV_REjWv-mnLnz__daa1f0MiVt-jqkoYIVQOAVvbU25c4s76-3QlDfQWNOZv2mYIL_u_1jSRglawFV4PGY7a0det_MVO4C0EVg73qRpbdCgigTpKgs_RNaRAHnknTAV-KU7GtlPR9ZQfV9YrQ8UIQ8UeeRYmd9dptHM2qJ8EVYo12-IX2DmASxQvXvvdW9yabpb9iwc6BOHVmpkSJDFqNH8tUrKAQowN58LNtH1CSsC4FdztHVJxNZms56PCPl7SpECdk2x7wI_K98--fzglA9BHO7MYiuvCFDV4Bd3Hboai7TjYnJRGfpQAeRaU26vVEeFICZtaoerj_TYp3FQu-gBs_DTE9tnx4oRy1ByLTkX-wkbV2NAcIROEDset8Y2iTPK-vcI31_kOHQki3HQkSX0IDZFQtjHnsojTL07pXBw7lV9i6aIQp9JlI4ogBslYfjydflA99VHVbatY40QXE0ipBu1YIKs371pPbnS0-kbrGTs_Zzk9xby18HG6G2G2eI4rL5eYaSgVNfutH1nl_0A&__tn__=%2AW&paipv=0#footer_action_list,7
https://mbasic.facebook.com/groups/1484006375227015/permalink/3178493022445000/?__xts__%5B0%5D=12.Abrptg2gVFVbnmSNt60F2IvLNvl8efYHRGdCA3Kaqb9qQ_eKWwDFwi6dyEqFASdjpattnaQkTFcf_ToR17ZB4bj2g-s4CfvuWUcKRC9EHWeTay-kH-00xjPpDmaJI3Gf6tn0wRso4x6i_aC26kC21Sk7gHUU4WQ1g11-NLOEKgDOGCN8SZrT1sgHR3HMQkVGcE9yQeEWor3TvkImLZEOAsAWKpTjqlMYEwJyLn3-EdLpZ4I02YbtsZzb_RVHGmP86sE8ZekTDmYCgyQ18r2CNRFXiHPlqkh8vdJqjuxbb_HsJmBkWvff20Zj5bic6oajQM78BrS5tABAmR7YzsN15VTi8fkZc1XncBERbplR0QJc4-bNi7gQoTxGm6b_GgNEA8vh326ojz4MBTlo-5Jll1_ptFJ-OYJstuu05JHKm89kyd_68ZGlTiFws-ClakPgO3bA-zTl27vvLZ7KNiS-zL1CBPIFESkNm6sE-K4L9Gy8a_Qsfy-qy6vCZmRKJKSy-GB5uPfSoJSBMCdIV2trYD09pv7TF_Ea0RmUCyR31TmI0oMJEyUsc6PHxk0XdYTv_YXRKNb-SwzUB9fJI6firtqx8dAociGw9pbPguzjyugwSVd2EjU-uannR9g5lB1_CjY&__tn__=%2AW&paipv=0&eav=AfZZeIvNKygjHspyCsTUeLMS47VJbW0jf2BuXZKIoAozxChV1Zd0HnN_e4AFsfHWSaU#footer_action_list,0
